title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ride request: albany, ny to ma  (springfield, amherst, northampton?) (albany)",albany,http://albany.craigslist.org/rid/3417782975.html,"looking to leave 11/18 or 11/19, any time. can chip in $10 for gas. 25 year old male looking to get to northampton. (2o3) 449-8654. thanks! 
http://www.zimride.com/ride/share?ride=539772",2012-11-18T01:46:41-05:00,emailnotfound
rotterdam to amsterdam and back (rotterdam),albany,http://albany.craigslist.org/rid/3417328088.html,"leaving rotterdam at 5pm, returning from amsterdam at 615pm 
email with number to txt",2012-11-17T19:40:35-05:00,emailnotfound
ride in a mercedes benz (rotterdam to ???),albany,http://albany.craigslist.org/rid/3376201112.html,"i would like to offer rides for anyone in need. my car is clean and unlike a cab, you can choose what to listen to. 
a fair donation will be set before ride is offered. i use a gps, so no one will get lost. 
anthony",2012-11-17T18:54:09-05:00,emailnotfound
need a ride down south? (nyc-tn-fl),albany,http://albany.craigslist.org/rid/3416356568.html,"hello.... we are offering a ride in a uhaul that is traveling from nyc to tn and then on to ft lauderdale florida. we are asking that you share some driving responsibility, help unpack the uhaul in tn, and pay a small bit for gas. 
move date is set f [...]",2012-11-17T12:32:17-05:00,emailnotfound
daily ride from clifton park to troy (cp to troy and back),albany,http://albany.craigslist.org/rid/3416120712.html,"older, professional guy, looking to share expenses for daily commute to/from work. i work m-f from 8:30 to 5pm, but can be flexible. maybe you are retired and looking for some extra cash? maybe you are coming from saratoga/ballston spa/ballston lake/ [...]",2012-11-17T10:58:57-05:00,emailnotfound
ride needed to boston sunday  (alb to boston/bc),albany,http://albany.craigslist.org/rid/3415964854.html,"looking to catch a ride out to boston or even bc. planning on meeting up with some friends and family for the holiday. 
male graduate student here, sane, normal, clean and friendly. clean drivers license and have done rideshares before (usually the o [...]",2012-11-17T09:45:08-05:00,emailnotfound
ride share: baltimore to albany on sunday 11/18 (baltimore - albany),albany,http://albany.craigslist.org/rid/3415390995.html,i am going to albany on sunday after noon 11/18. i can drop on the way. share the gas and tolls. i have ford mid size car. non smoker.,2012-11-16T22:50:08-05:00,emailnotfound
car service/luxury ride (columbia county/all),albany,http://albany.craigslist.org/rid/3415235528.html,"we can take you anywhere in an audi a8l. visit our website and/ or call today! 
www.countrysidecarservice.com 
518-325-3505",2012-11-16T21:04:40-05:00,emailnotfound
reliable and safe driving service for the holidays and beyond!!!! (capital district and points south),albany,http://albany.craigslist.org/rid/3414761433.html,"reliable and safe driving service for the holidays and beyond. available for scheduling and booking rides. available for last minute rides. available to give rides to and from airport, train & bus station, concerts, gigs, shopping(grocery and clothes [...]",2012-11-16T17:07:35-05:00,emailnotfound
"albany to richmond, va and back (albany)",albany,http://albany.craigslist.org/rid/3412618566.html,"i'm driving home to richmond, va for the thanksgiving holiday. i'll be leaving on saturday 11/17 in the early morning and returning the saturday or sunday following thanksgiving. if you live near or around the area i could give you a ride and we woul [...]",2012-11-15T19:02:30-05:00,emailnotfound
"one-way or roundtrip to boston (albany, ny)",albany,http://albany.craigslist.org/rid/3412027643.html,i need a ride from albany to boston leaving november 21st. would prefer a return ride to albany anytime from november 23rd through the 25th. able to share driving and bear reasonable travel costs.,2012-11-15T14:47:27-05:00,emailnotfound
ride offered albany to boston (albany-boston),albany,http://albany.craigslist.org/rid/3411771338.html,"i will be leaving albany saturday morning (17th), driving into downtown boston. can drop you off along the way. 
email me if you would like a ride, im a 29 yr old guy heading back to boston for the holidays. have room for 2-3 ",2012-11-15T13:11:57-05:00,emailnotfound
albany to ft lauderdale fl (ny-fl),albany,http://albany.craigslist.org/rid/3410294587.html,"hello, 
i'm moving from ny to fl and will be renting a 16 ft u haul. i'm looking for someone to help with cost of u haul and gas somewhere on the way. if interested give me an email. 
thanks, 
matthew",2012-11-14T18:50:45-05:00,emailnotfound
ride offered - albany to newton on wed 11/21 (albany),albany,http://albany.craigslist.org/rid/3409402836.html,"i'm offering a ride from albany to newton. 
leaving november 21st returning november 26th. i am still not sure when i am leaving albany but will leave between 4-6pm. return, i need to be back to albany by 9 am. contact me on zimride: http://www.zimri [...]",2012-11-14T12:58:01-05:00,emailnotfound
looking for a ride to nyc for phish 12/27 (guilderland),albany,http://albany.craigslist.org/rid/3408184056.html,looking for some phans heading down to nyc to catch phish at msg,2012-11-13T21:10:36-05:00,emailnotfound
"nyc --&gt;albany, cftn pk, saratoga",albany,http://albany.craigslist.org/rid/3389205051.html,"responsible professional with clean driving record driving from nyc tomorrow (wed 11/14) around 6pm to saratoga springs. will stop anywhere in between to drop off. 
$20 to share gas and tolls. ",2012-11-13T16:37:24-05:00,emailnotfound
why do people post rides available or rides needed the day before? (all over),albany,http://albany.craigslist.org/rid/3407220099.html,"if i'm looking for a ride and i don't have one 2 days before i need to go, i am going to take the bus!! seriously! post the ride as early as you can!! ",2012-11-13T14:16:48-05:00,emailnotfound
ride offered - albany to middletown on wed 11/21 (albany),albany,http://albany.craigslist.org/rid/3407201934.html,"i'm offering a ride from albany to middletown. 
leaving november 21st returning november 23rd. hey there, i'm driving to middletown to spend thanksgiving with my mother. i have a reliable car and i'm a safe driver, and i have aaa coverage. hope to he [...]",2012-11-13T14:10:16-05:00,emailnotfound
nc to albany ny needed (chapel hill ),albany,http://albany.craigslist.org/rid/3406825883.html,i need a ride from nc to albany at the end of nov. or early dec.,2012-11-13T11:56:10-05:00,emailnotfound
"ride offer: driving to baltimore this thursday 11/15 (baltimore , md)",albany,http://albany.craigslist.org/rid/3406493722.html,"hello, i am driving to baltimore, maryland this thursday(11/15) evening ( around 3 pm). i can drop you on the way. share the gas and tolls. 
email me with your phone number and best time to reach. i will call you.",2012-11-13T09:40:07-05:00,emailnotfound
reliable and safe driving service!!!! (capital district and beyond),albany,http://albany.craigslist.org/rid/3405604448.html,"do you need a ride for thanksgiving or over the holidays???? i am available to give rides to and from airport, train station, bus station, doctor appointments, work, concerts, gigs, etc.... i am a trustworthy, respectful, punctual person. i am availa [...]",2012-11-12T19:57:53-05:00,emailnotfound
rent my 2007 toyota prius for $41.00/day,albany,http://albany.craigslist.org/rid/3380079980.html,"rent my 2007 toyota prius in albany our prius is a little well loved (stickers included), and clean and clean running i guarentee this is the best gas usage. it gets double regular cars and triple the mileage of our van. there is a place to play your [...]",2012-11-12T16:07:41-05:00,emailnotfound
i need a lift to nyc (saratoga/albany area-&gt;nyc),albany,http://albany.craigslist.org/rid/3404655759.html,"i'm looking for a ride to nyc on wednesday (11/14) morning from the saratoga area. willing to split gas/tolls. i have a bicycle which is not allowed on the bus/train so room in your car would be ideal! you can reach me at 518.588.5749, thank you!",2012-11-12T13:45:04-05:00,emailnotfound
anyone going to springfield/northampton/amherst? (albany),albany,http://albany.craigslist.org/rid/3403083410.html,trying to catch a ride to western mass to see my girlfriend. car is being worked on. can chip in for gas. thanks!,2012-11-11T19:26:08-05:00,emailnotfound
need a ride (troy to albany),albany,http://albany.craigslist.org/rid/3402649182.html,"hi i'm looking for a ride share mon-fri. i need to be to work by 8:30, and return after 5 p.m. i live in troy off of pawling ave., and the work address is 2 northway lane, latham n.y. my name is kimberly, and my phone number is 518-542-4460. please c [...]",2012-11-11T15:47:04-05:00,emailnotfound
tuesdays and thursday ride (galway to albany),albany,http://albany.craigslist.org/rid/3401050736.html,ride needed from galway to albany on tuesdays and thursdays to be in albany by 745am.,2012-11-10T19:19:03-05:00,emailnotfound
ride needed to (or near) northampton ma,albany,http://albany.craigslist.org/rid/3400478008.html,"hi! 
my name is cam. i am a 24 year old australian who is wandering around these parts. i have a friend in northampton and am trying to get there early this week. any help would be appreciated! i am happy to chip in for gas and bring along some snack [...]",2012-11-10T14:43:17-05:00,emailnotfound
need a ride to chicago or close to (chicago),albany,http://albany.craigslist.org/rid/3399259607.html,"hey, 
just trying to get a ride to get home for thanksgiving. i am living in albany and am trying to get to near madison but will take a ride anywhere in the vacinity. chicago would be great. i will pay! i live and work in albany but have no car. i g [...]",2012-11-10T00:09:02-05:00,emailnotfound
gloversville to albany (albany bus station),albany,http://albany.craigslist.org/rid/3399163625.html,have to be at the bus station by 730 so was wondering if anyone from this area was possibly headed there or nearby,2012-11-09T22:46:31-05:00,emailnotfound
"sunday 11th, driving to worcester mass (albany ny to worcester mass)",albany,http://albany.craigslist.org/rid/3397832108.html,"i am driving from albany ny sunday, probably before noon directly to worcester mass. 
i have a 4 door altima, reliable ride. 
you will be clean, respectful, have valid id and the back seat is available for a bag. 
no smoking or anything like that. 
i [...]",2012-11-09T12:33:37-05:00,emailnotfound
organizing weekday carpool (from rensselaer cnty - downtown albany),albany,http://albany.craigslist.org/rid/3397244480.html,"organizing a carpool leaving route 2 grafton in rensselaer county to downtown albany. arrival in albany around 8 am - departure around 4:30 pm. including weekdays monday thru thursdays, but actual days carpooling per week could vary from 1 to 4 days  [...]",2012-11-09T08:12:06-05:00,emailnotfound
