title,postingFrom,permalink,shortDescription,postingDate,mailToLink
brian setzer 11/18 in green bay (oshkosh),appleton,http://appleton.craigslist.org/rid/3413946953.html,lets keep it brief. trying to find a ride to see brian setzer of the stray cats on saturday november 18th at the oneida casino in green bay. i have been trying to see him perform for years and now i finally have a chance. unfortunately i have no car  [...],2012-11-16T10:58:44-06:00,emailnotfound
ride or package shipping overnight (appleton to minneapolis or chicago),appleton,http://appleton.craigslist.org/rid/3412931154.html,"driving a 2000 ford windstar.... need ride or ship package overnight 
either trailer need to be hauled somewhere... hit me up then we talk the price 
thank you 
subject ""ride"" or ""package"" or ""trailer hauling"" ...",2012-11-15T20:53:45-06:00,emailnotfound
ride offered - oshkosh to madison on fri 11/16 (oshkosh),appleton,http://appleton.craigslist.org/rid/3410324669.html,"i'm offering a ride from oshkosh to madison. 
leaving november 16th returning november 18th. my ride is 15 for the round trip, not 15 per trip. let me know if you're interested. contact me on zimride: http://www.zimride.com/ride/share?ride=531233 ",2012-11-14T18:05:20-06:00,emailnotfound
i need ride to milwaukee 11/19 (to airport),appleton,http://appleton.craigslist.org/rid/3409596054.html,"i need a ride to milwaukee to the airport on monday november the 19th. can anyone help. 
thanks",2012-11-14T13:07:53-06:00,emailnotfound
ride offered - appleton to colorado springs on wed 11/14 (appleton),appleton,http://appleton.craigslist.org/rid/3407213476.html,"i'm offering a ride from appleton to colorado springs. 
leaving november 14th. let me know if you need a ride! im leavin tomoro! contact me on zimride: http://www.zimride.com/ride/share?ride=529279 ",2012-11-13T13:14:26-06:00,emailnotfound
"need ride(oshkosh to colorado!) (pueblo, colorado)",appleton,http://appleton.craigslist.org/rid/3404514507.html,"i will pay for all the gas!!!! need a vehicle big enough for a 46"" tv and a few other things. i'm a 27 year old white man w/ wife and 1 year old 
9202041461",2012-11-12T11:57:26-06:00,emailnotfound
ride needed - oshkosh to platteville on fri 11/16 (oshkosh),appleton,http://appleton.craigslist.org/rid/3399178427.html,"i'm looking for a ride from oshkosh to platteville. 
leaving november 16th returning november 18th. i will negotiate price. contact me on zimride: http://www.zimride.com/ride/share?ride=525494 ",2012-11-09T21:58:09-06:00,emailnotfound
driving to msp sunday  (packers game to minneapolis),appleton,http://appleton.craigslist.org/rid/3384065528.html,"heading to minneapolis after sundays packers game. could use the company and help with gas money if you need a lift. 
professional family man driving a comfortable lincoln towncar.",2012-11-03T12:22:37-05:00,emailnotfound
enter your zip code here (new london-greenville),appleton,http://appleton.craigslist.org/rid/3373242821.html,like driving? but cannt stand the price at the pump.looking to hire a driver. let me pay.,2012-10-29T15:26:53-05:00,emailnotfound
looking for ride from appleton to north carloina (appleton),appleton,http://appleton.craigslist.org/rid/3355066601.html,hi checking to see if anyone is going to north carloina around rockwell im a 33 white male,2012-10-24T12:57:58-05:00,emailnotfound
