title,postingFrom,permalink,shortDescription,postingDate,mailToLink
athens-&gt;nyc needed (after christmas) (westchester county),athensohio,http://athensohio.craigslist.org/rid/3410459787.html,i am seeking a ride from athens to new york city (or as close as i can get) after christmas . . . i am happy to pay as much as asked for gasoline . . .,2012-11-14T20:15:18-05:00,emailnotfound
need ride to new york (nyc),athensohio,http://athensohio.craigslist.org/rid/3409956441.html,need a ride to new york city. can help with gas $. looking to leave for the weekend around thur or fri,2012-11-14T16:23:17-05:00,emailnotfound
couple driving to bluefield va area (logan),athensohio,http://athensohio.craigslist.org/rid/3391786074.html,"we are heading out on a trip this weekend and will be passing through nelsonville, athens, charleston, princeton, and bluefield on our way to a place outside of bland va... if you are looking for a ride to this area we have one or two seats available [...]",2012-11-06T19:40:20-05:00,emailnotfound
ride to grand rapids dec7 (cbus/athens2grandrapids),athensohio,http://athensohio.craigslist.org/rid/3377873478.html,"ineed to get to grand rapids mich between the 6-9 of december. my truck or yours. have licsense and insured and have gas money. my truck is a total pos , but it will probably make it , maybe. so i would rather get a ride. ",2012-10-31T17:03:11-04:00,emailnotfound
need ride to new york have gas $ (athens),athensohio,http://athensohio.craigslist.org/rid/3370427991.html,"hi lookin for a ride from athens area (i could also get to somewhere within 1 1/2 hours or so, columbus etc..) to new york. i can help pay for gas and help with driving. i'm hoping to leave sunday to beat the storm! give me a call or text 60seven-342 [...]",2012-10-28T11:29:26-04:00,emailnotfound
ohio to los angelos (piqua),athensohio,http://athensohio.craigslist.org/rid/3360328857.html,"hi, i have a motorcycle i need to get to los angelos. weighs 300 lbs, and is 6' long. a light weight bike from the 70's. if your heading west with a semi empty truck bed or?? , i would pay $350.00 cash to get it here. kind of a long shot...but hey yo [...]",2012-10-23T19:27:35-04:00,emailnotfound
athens to columbus  (athens),athensohio,http://athensohio.craigslist.org/rid/3349192180.html,leaving 10-23-12 at 6:30 am and returning 10-24-12 in the evening. leaving 10-30-12 at 12:00 noon and returning 11-02-12 in the evening sometime. have 2 seats open. need gas for ride. call 740-517-6563.,2012-10-18T23:18:15-04:00,emailnotfound
"athens to boulder, co (athens, oh)",athensohio,http://athensohio.craigslist.org/rid/3338389420.html,"i'll be leaving tomorrow morning probably 8 or 9 am, flexible on stopping for the night or powering it straight through i have a new, small 2 door car, so i have space for 1 other person and a bit of luggage... call or text 858 two zero five 3962. i' [...]",2012-10-14T13:19:35-04:00,emailnotfound
athens to northern new jersey (northern new jersey),athensohio,http://athensohio.craigslist.org/rid/3334613084.html,"ride needed from athens, ohio to northern new jersey for thanksgiving. 
can leave tuesday night or wednesday morning from athens. need to be in new jersey wednesday late afternoon or early evening. 
will share gas costs. 
please reply to this posting [...]",2012-10-12T16:20:32-04:00,emailnotfound
"need ride to charleston, w va airport sunday am (athens, ohio)",athensohio,http://athensohio.craigslist.org/rid/3318033395.html,"need ride to charleston, w. va airport this sunday am, october 7th. can furnish car or you can drive my car. 
must have clean driving record 
call 704-905-2202",2012-10-05T11:01:24-04:00,emailnotfound
