title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered 11/19 (kalispell to cheyenne),billings,http://billings.craigslist.org/rid/3416757997.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:08:17-07:00,emailnotfound
billings to tacoma/seattle or in between,billings,http://billings.craigslist.org/rid/3416521693.html,"im driving back to tacoma...i have a full size truck with xcab, looking for someone who wants to pitch in on gas. i will stop in missoula or if the roads are good i'd like to make it to cour'dlane before stopping. might even drive straight through... [...]",2012-11-17T11:35:08-07:00,emailnotfound
billings to portland and back t-giving,billings,http://billings.craigslist.org/rid/3415288207.html,leaving wednesday night 10 -11pm for portland. coming back on monday. if you have drivers lic. and some gas money you can go with.,2012-11-16T19:38:02-07:00,emailnotfound
rideshare & driveshare to seattle/tacoma november 21st (billings),billings,http://billings.craigslist.org/rid/3360592920.html,"i am leaving from billings on november 21st and arriving on seattle area on the 22nd and returning to billings beginning on november 25th and arriving on the 26th. 
i am driving a 98 dodge mark iii custom conversion van with a 5' x 8' cargo trailer.  [...]",2012-11-16T07:31:30-07:00,emailnotfound
"rideshare from billings to kalispell  (billings,mt)",billings,http://billings.craigslist.org/rid/3406126477.html,"i will be leaving from billings nov 16th or early morning 17th to kalisplell going through missoula. looking for a non smoker, no pets, no drugs companion to help with gas. comming back on the following weekend sunday the 25th or early monday morning [...]",2012-11-15T23:20:11-07:00,emailnotfound
stlone dog seen with transient please help $1000 reward (wa/idaho to missula to sheridan wy),billings,http://billings.craigslist.org/rid/3384826093.html,"i got an email from someone saying the saw my dog with a transient on the washington/ idaho boarder on the 15th. this was monday afternoon 10/15. he said he was headed to the oilfields in sheridan wyoming. he was a young man in his 20's, blonde, dres [...]",2012-11-14T19:26:04-07:00,emailnotfound
billings to dillon 11/17 (billings),billings,http://billings.craigslist.org/rid/3409991454.html,heading to dillon 11/17 with an empty 3 horse slant trailer to bring back our daughters horse home from college. will haul you horse or whatever to dillon or points in between for share of the fuel cost. driving '08 dodge 1 ton with a newer reliable  [...],2012-11-14T14:37:31-07:00,emailnotfound
need ride east for sandy relief (billings to nyc [eastward]),billings,http://billings.craigslist.org/rid/3409628833.html,"we're two travelers looking to find our way eastward, to new york city. we're on our way to explore the city and help with sandy relief. we've got two big packs, two guitars and a smaller (well-behaved, clean) dog. we're hoping to get a direct ride,  [...]",2012-11-14T12:19:48-07:00,emailnotfound
cdl driver to las vegas (billings),billings,http://billings.craigslist.org/rid/3408319112.html,"cdl driver 54, heading to las vegas. drive your vehicle, truck , bus, motorhome or whatever anywhere enroute. leaving asap. call me, jay. 724-674-0257",2012-11-13T20:32:43-07:00,emailnotfound
billings to ontario. or near there  (billings),billings,http://billings.craigslist.org/rid/3402205935.html,i am looking for a ride to the oregon/idaho border area . need to pick up my motorcycle then return home to billings anytime before the first of december will work. my work schedule is flexible so exact date is not really a concern.please respond thr [...],2012-11-11T10:26:02-07:00,emailnotfound
