title,postingFrom,permalink,shortDescription,postingDate,mailToLink
how can i help you? (binghamton),binghamton,http://binghamton.craigslist.org/rid/3400367762.html,"i have a van and if you need to go food shopping, get smokes in pa, go to the mall, wallmart,kmart, or just need to get from 1 place to another i can help you. promise i will not charge you more then 20 no matter where you want to go or how many stop [...]",2012-11-17T10:10:51-05:00,emailnotfound
do u need a ride (anywhere),binghamton,http://binghamton.craigslist.org/rid/3382774895.html,"do you need a ride somewhere? can you spare your time and help someone in need? don't be shy. come & help someone in need. be someones angel. try ride share 
http://www.facebook.com/groups/230532107060064/ ",2012-11-17T10:10:43-05:00,emailnotfound
ride offer rochester to binghamton sun. after break (penfield),binghamton,http://binghamton.craigslist.org/rid/3414936440.html,"hello! 
i'll be returning to binghamton from rochester on sunday 11/25 after thanksgiving break. i'm a college student and just wanted to offer a ride to anyone else who might be traveling the same path that day. i haven't decided yet what time i'll  [...]",2012-11-16T18:26:09-05:00,emailnotfound
need a ride? (anywhere),binghamton,http://binghamton.craigslist.org/rid/3413084011.html,"need a ride, anywhere you pay for gas roundtrip no drama just the open road. email for details or send me your request. 
just to save confusion before you call or mail me, gasoline isn't cheap, i'm not sure why that surprises people how much it costs [...]",2012-11-15T23:37:37-05:00,emailnotfound
ride offered to/from balt for thanksgiving (binghamton),binghamton,http://binghamton.craigslist.org/rid/3402025362.html,"leaving tues 11/20, returning sat or sunday. ride from bu to pikesville/owings mills. share gas $. 
email for more information with your tel#.",2012-11-15T20:40:10-05:00,emailnotfound
binghamton to parksville (binghamton),binghamton,http://binghamton.craigslist.org/rid/3410991753.html,looking to find a ride to parksville on december 14th will be coming back on the 16th but can take the bus back would be willing to help with gas money if you are going to the area at that time please e-mail me thanks,2012-11-15T04:28:23-05:00,emailnotfound
from windsor to binghamton,binghamton,http://binghamton.craigslist.org/rid/3410936417.html,im seeking a ride on monday wednesday and thursday nights from windsor to binghamton. i also need a ride every other sunday. any one or all of these days would be appreciated. the drop of place and time are pretty flexable as i can be dropped near a  [...],2012-11-15T02:37:01-05:00,emailnotfound
offer: binghamton u to nyc/li (bing---&gt;li),binghamton,http://binghamton.craigslist.org/rid/3410820858.html,"college student driving from binghamton university to long island friday 11/16, leaving sometime in the evening. looking for some supplementation of travel costs. driving large suv. so plenty of room. 
thanks!",2012-11-15T00:15:02-05:00,emailnotfound
offer ride to florida (ft lauderdale/east coast) (watertown),binghamton,http://binghamton.craigslist.org/rid/3406500501.html,"offering a ride from watertown/syracuse/binghamton area to ft lauderdale, fl departing late december (dates flexible) to share driving and gas. must be able to drive a standard shift.",2012-11-13T09:43:31-05:00,emailnotfound
"need ride thanksgiving day to oneida, ny and back. ",binghamton,http://binghamton.craigslist.org/rid/3402167227.html,"looking for ride to oneida, ny and back. will pay for gas and time rate is negotiable. would like to arrive in oneida around 10-11am and leave by 4-5pm (departure time is flexible). please email me. thanks!",2012-11-11T12:08:24-05:00,emailnotfound
searching for a ride nyc =&gt; binghampton  (nyc-binghampton),binghamton,http://binghamton.craigslist.org/rid/3396931929.html,"hi, 
i'm searching for a ride on friday november 16- nyc =&gt; binghampton (bus station) and sunday 18 - binghampton =&gt; nyc 
i'm working in the city and i would like to visit my friends over there. 
do not hesitate to contact me. 
have a nice one  [...]",2012-11-09T00:31:54-05:00,emailnotfound
ride offer to albany then on to vermont (binghamton),binghamton,http://binghamton.craigslist.org/rid/3396197156.html,"driving to albany then on to vermont, won;t be checking email so if interested please call steve 802-342-1692 only, share gas and maybe driving. leaving binghamton afternoon of friday tomorrow the 9th so call asap if you need a ride.",2012-11-08T17:19:36-05:00,emailnotfound
ride offered to nyc,binghamton,http://binghamton.craigslist.org/rid/3394534118.html,will be driving to nyc this weekend on sunday. email if interested.,2012-11-08T00:00:21-05:00,emailnotfound
bing. to wilmington nc. (vestal),binghamton,http://binghamton.craigslist.org/rid/3393965702.html,i've got a small amount of furniture (1/4 of a pickup truck) that needs to go to nc. before christmas. got room ???? $$$$$$ 748-0174 thanks.,2012-11-07T18:19:45-05:00,emailnotfound
going west (ny to ca.),binghamton,http://binghamton.craigslist.org/rid/3335051763.html,"will be starting out about the 2nd week of nov.need someone to help with gas. lets talk, leave # and ! will call you.will be driving on i 40",2012-11-07T11:06:25-05:00,emailnotfound
need ride to fla. asap (tampa/st.pete),binghamton,http://binghamton.craigslist.org/rid/3390360811.html,i need a ride to the st.petersburg area asap prefer this wkend can help with gas and driving call seven 2 seven 238-four eight eight nine thanks gary,2012-11-06T09:59:51-05:00,emailnotfound
ride offer: vt to dc and places in between 11/21/12 (vt to dc metro area),binghamton,http://binghamton.craigslist.org/rid/3386148602.html,"a friend and i are heading to the dc metro area for thanksgiving with my family. we have three more seat belts and/or some amount of luggage carrying capacity in my reliable, relatively environmentally respectful saturn. we will be departing from mid [...]",2012-11-04T12:47:14-05:00,emailnotfound
daily carpool binghamton to syracuse,binghamton,http://binghamton.craigslist.org/rid/3381961191.html,"just started a new job in syracuse, would love to find another to carpool with monday through friday, need to be in syracuse close to 8am in the morning and plan to leave close to 5pm back to binghamton. i am willing to work something out even if for [...]",2012-11-02T14:21:59-04:00,emailnotfound
"ride wanted: binghampton to brevard, nc as soon as possible! (bing to brevard, nc)",binghamton,http://binghamton.craigslist.org/rid/3379044292.html,"need ride for 1 person and 1 well-behaved dog heading south from binghampton to brevard/henderson nc. 
we need to leave as soon as possible as it's urgent. willing to help with expenses, gas and any tolls. 
you can find me on fb too, search for the g [...]",2012-11-01T10:22:13-04:00,emailnotfound
driving from binghamton to scranton daily?,binghamton,http://binghamton.craigslist.org/rid/3375385387.html,"i own a small dental lab and work with another lab in the scranton area. we are looking for someone who travels back and forth to scranton,pa to transport our packages. these are legitimate businesses. we have been using ups but are looking for other [...]",2012-10-30T15:38:59-04:00,emailnotfound
