title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed from raleigh (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3416950404.html,need a ride for one of my friend from raleigh to blacksburg on nov 23/24th?,2012-11-17T16:29:55-05:00,emailnotfound
need ride (nashville tn to el paso tx),blacksburg,http://blacksburg.craigslist.org/rid/3416143520.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:08:30-05:00,emailnotfound
driving charlotte monday morn (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3415184072.html,"college teacher flying out of charlotte 7am monday; would take a passenger. so would have to leave maybe 2-3 am. 
am leaving the car at the airport; returning sat nov 24th. safe, married driver. 
peter l.",2012-11-16T20:34:30-05:00,emailnotfound
ride offered - blacksburg to lewes on tue 11/20 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3411626376.html,"i'm offering a ride from blacksburg to lewes. 
leaving november 20th returning november 24th. driving to delaware which takes me right through the beltway area up through annapolis etc. probably coming back saturday but definitely coming back by sund [...]",2012-11-15T12:18:34-05:00,emailnotfound
ride needed - blacksburg to falls church on sat 11/17 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3410497255.html,"i'm looking for a ride from blacksburg to falls church. 
leaving november 17th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=521788 ",2012-11-14T20:35:55-05:00,emailnotfound
offering ride from blacksburg to baltimore fri 11/16 ,blacksburg,http://blacksburg.craigslist.org/rid/3410303814.html,leaving for baltimore from blacksburg fri 11/16 and coming back sun 11/18. i could use the help with gas. hit me up.,2012-11-14T18:55:10-05:00,emailnotfound
ride offered - blacksburg to ashburn on thu 11/15 (blacksburg),blacksburg,http://blacksburg.craigslist.org/rid/3409205084.html,"i'm offering a ride from blacksburg to nova area. 
leaving november 15th returning november 26th. leaving at 6:30pm to go home for thanksgiving break..can drop off/pick up anywhere in ashburn/leesburg/sterling area nova contact me on zimride: http:// [...]",2012-11-14T11:46:50-05:00,emailnotfound
ride offered: anywhere between radford/blacksburg and virginia beach (radford/blacksburg/vb),blacksburg,http://blacksburg.craigslist.org/rid/3396745858.html,"i will be driving home for thanksgiving break leaving around 5pm on thursday november 15th. i have an suv so i have room for 3 others and a bag or two for each. i am a female and am ok with music, talking, smoking, etc on the trip as long as other pa [...]",2012-11-14T11:37:32-05:00,emailnotfound
ride needed (rideshare),blacksburg,http://blacksburg.craigslist.org/rid/3408043776.html,"ride desparatly needed to northern west virginia, or pittsburgh, pa 
cash for ride",2012-11-13T19:56:02-05:00,emailnotfound
"ride wanted to charlottesville, wednesday november 21st (blacksburg)",blacksburg,http://blacksburg.craigslist.org/rid/3406836864.html,"i'm looking for a ride from blacksburg to charlottesville, leaving before noon on wednesday the 21st. i'm happy to pay for gas!",2012-11-13T12:00:07-05:00,emailnotfound
