title,postingFrom,permalink,shortDescription,postingDate,mailToLink
yellowstone ski festival (bzn-west yellowstone),bozeman,http://bozeman.craigslist.org/rid/3417803565.html,"offering ride from bozeman to west yellowstone wednesday night. leaving after work around 5pm. i have room for a couple of people plus gear. 
returning from west to bozeman saturday night. ",2012-11-18T00:15:34-07:00,emailnotfound
"bozeman ---&gt; portland (11/20-11/25) (bozeman, mt)",bozeman,http://bozeman.craigslist.org/rid/3417670306.html,"looking for a ride home (portland) for the holidays. my last day of class is monday (11/19) and then as of 11/20 i am free to leave (looking to be back by 11/27). if you are driving there at any point during these dates, please send me an e-mail! 
wi [...]",2012-11-17T21:43:03-07:00,emailnotfound
to albuquerque by private plane sunday after thanksgiving (bozeman to albuquerque),bozeman,http://bozeman.craigslist.org/rid/3417388598.html,"i'm flying a piper dakota from bozeman to albuquerque sunday 11/26. travel time is about 5 hours. i have room for 2 depending on weight and bags. share fuel costs (shouldn't be too much). 
call or text leo (415) 509-2084 ",2012-11-17T18:16:33-07:00,emailnotfound
let's go to walmart!! (west yellowstone),bozeman,http://bozeman.craigslist.org/rid/3417183105.html,"in west yellowstone for winter season without my car. looking for someone going to bozeman walmart. i can help with gas and treat you to lunch. i'm a good guy, honest. 34yrs old, not a bum. lol. i'm not crazy or disrespectful. hope to hear from you! ",2012-11-17T16:21:38-07:00,emailnotfound
need a ride to airport from campus,bozeman,http://bozeman.craigslist.org/rid/3416894847.html,"7two0 5six3 9654 
i need a ride sometime before 5 am on wednesday the 21st.... so really early. please call if you happen to be able to! 
thanks 
dana",2012-11-17T14:05:23-07:00,emailnotfound
ride offered 11/19 (kalispell to cheyenne),bozeman,http://bozeman.craigslist.org/rid/3416738331.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight",2012-11-17T13:00:09-07:00,emailnotfound
bozeman to portland for thanksgiving -r/t? flexible,bozeman,http://bozeman.craigslist.org/rid/3415997661.html,"i'm looking for a ride to portland to spend thanksgiving there. 
round trip would be great. flexible dates and cheerful traveler. (m) 
good at conversation. won't ever object to either stopping to see a view, or pure lead-foot. 
not cheap but need to [...]",2012-11-17T08:02:27-07:00,emailnotfound
re: bozeman to great falls,bozeman,http://bozeman.craigslist.org/rid/3415103302.html,shelby i got your email about the ride to great falls and i tried emailing you back. if your still interested text me at six/one/eight-three/six/three- two/seven/six/zero,2012-11-16T17:50:01-07:00,emailnotfound
"**) offer: bozeman- slc, ut (bozeman(leaving around nov 20th))",bozeman,http://bozeman.craigslist.org/rid/3414930673.html,"hey, 
leaving, give or take a few days around nov 20thish. split gas, plenty of room, reliable car. contact me anytime. i might leave the day after thanksgiving. 
630.675.4274",2012-11-16T16:23:18-07:00,emailnotfound
"billings/bozeman- portland (bozeman, mt)",bozeman,http://bozeman.craigslist.org/rid/3414777856.html,"i live in bozeman but will be leaving from billings sunday nov. 18, headed to portland, or. will be going through missoula, spokane etc. plenty of room, comfortable ride in my 12' tundra. 
-nick",2012-11-16T15:14:27-07:00,emailnotfound
