title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offer to oklahoma city/dallas (niagara falls),buffalo,http://buffalo.craigslist.org/rid/3383167160.html,"i'm leaving for oklahoma city in late november. date is flexible. will be going through erie, pittsburg, columbus, indianapolis, springfield, st louis, etc. 1/2 gas expense required, less if i have more than one passenger. i'll be driving a 1992 gmc  [...]",2012-11-18T03:56:41-05:00,emailnotfound
"cheap courtesy rides, buffalo and surroundings (buffalo and suburbs)",buffalo,http://buffalo.craigslist.org/rid/3374874261.html,"our ride-share service is based in tonawanda. if you need airport pick up/drop off or any other car services(shopping, restaurant, medical, dinner, party, casino, one-day-tour, etc. . .) feel free to contact us. 
40% less than taxi 
free iphone and i [...]",2012-11-17T23:10:38-05:00,emailnotfound
ride offer: to miami,buffalo,http://buffalo.craigslist.org/rid/3417615274.html,"hello 
i am driving to miami, leaving on monday. 
anyone need a ride south? 
dave",2012-11-17T22:54:47-05:00,emailnotfound
driver avail&gt; (bflo &amp; surronding),buffalo,http://buffalo.craigslist.org/rid/3417403812.html,"hi i'm dee. i'm 46 and able to drive you where ever you would like locally for $35.00 a trip. i also do in and out calls on back page buffalo under escorts (barbie). do your children need a baby sitter? i do that to! call me 716-548-0397 anytime, lm. [...]",2012-11-17T20:25:53-05:00,emailnotfound
buffalo airport to anywhere,buffalo,http://buffalo.craigslist.org/rid/3417063414.html,"i land in buffalo airport sunday nights 
rent a car and go wherer u want to go 
just call or text 718 775 6886",2012-11-17T17:22:27-05:00,emailnotfound
"ride offered to washington dc on monday, november 26th (buffalo)",buffalo,http://buffalo.craigslist.org/rid/3416669632.html,"ride offered to washington dc, or anywhere in between on monday, november 26th. 
leaving from go bus terminal in downtown buffalo at 1pm. washington dc arrival time, about 9pm. $50 
thank you for reading my ad.",2012-11-17T14:32:38-05:00,emailnotfound
buffalo to nyc (northern nj)11/25 (williamsville),buffalo,http://buffalo.craigslist.org/rid/3415606765.html,i need a ride from williamsville ny to northern new jersey which is on the way to new york city. i am willing to split gas costs.,2012-11-17T02:22:23-05:00,emailnotfound
carpool/rideshare app (ios/android),buffalo,http://buffalo.craigslist.org/rid/3345513360.html,"hello ride-sharers/carpoolers, 
app name is rideshare4less a.k.a rs4l 
best carpool/rideshare app (ios and android) 
carpoolers make your ride repeating! 
android - 
https://play.google.com/store/apps/details?id=com.rs4l.rideshare 
ios - 
http://itun [...]",2012-11-15T19:59:08-05:00,emailnotfound
anyone have room in your car? (kenmore-southern az),buffalo,http://buffalo.craigslist.org/rid/3412669282.html,"i recently moved from ny to arizona. unfortunately i was in a time crunch and broke. i wasn't able to afford to bring all of my things with me. i've learned to live without most of my belongings, however i have 1 sentimental item i miss. i have a tax [...]",2012-11-15T19:27:44-05:00,emailnotfound
buffalo to nyc,buffalo,http://buffalo.craigslist.org/rid/3406863996.html,"i have a ticket to buffalo to nyc, nov. 18th, 2012. it's early in the morning ticket. 2:45 am departure. 
i am selling the ticket at 30$ (it's megabus ticket, only one way ticket to nyc, it will arrive at nyc around 10:40) 
if you are interested in,  [...]",2012-11-15T15:07:27-05:00,emailnotfound
&#9654; driver avail. (bflo. &amp; surrounding),buffalo,http://buffalo.craigslist.org/rid/3411231778.html,"lady avail. to do driving. 
great for seniors, nondrivers or partyers. 
exp.'d, reliable & reasonable. 
$35/local trips only 
dee 548-0397 anytime 24/7, lm.",2012-11-15T09:27:33-05:00,emailnotfound
"need ride from buffalo to malone, ny (potsdam/plattsburgh area)",buffalo,http://buffalo.craigslist.org/rid/3410599886.html,"i live in buffalo, looking for someone traveling north for thanksgiving, leaving wednesday 11/21 after 3 p.m. i need to go to malone, ny (near potsdam/plattsburgh). i'll pay 75% of the gas. ",2012-11-14T21:35:28-05:00,emailnotfound
anyone going to nyc this weekend? (nyc),buffalo,http://buffalo.craigslist.org/rid/3410002459.html,cash or grass no one rides for free. will help out out with anything i can. thinking about going friday,2012-11-14T16:41:57-05:00,emailnotfound
"buffalo to reading, pa one way or round trip (passenger or cargo)",buffalo,http://buffalo.craigslist.org/rid/3347602160.html,"passenger or cargo. 
box truck for cargo or passenger leaving buffalo november23, flexible. 
returning november 25, flexible. 
driving pick up truck from buffalo, ny to reading, pa. flexible leaving dec 7th. 
returning dec 9-12. 
one way or round tri [...]",2012-11-14T16:31:50-05:00,emailnotfound
ride offered buffalo to boston (williamsville to boston),buffalo,http://buffalo.craigslist.org/rid/3409694373.html,"i will be driving from buffalo (williamsville area) leaving saturday morning the 17th heading towards downtown boston area. 
i have space for 2-3. chip in some money for gas and you will have a ride :) 
aloha ",2012-11-14T14:43:45-05:00,emailnotfound
looking for a ride from buffalo to state college  (buffalo ),buffalo,http://buffalo.craigslist.org/rid/3409415208.html,hi there i am looking for a ride to state college from buffalo on the 25th of november or around. let me know if you can help me out. thanks in advance :),2012-11-14T13:02:24-05:00,emailnotfound
"ride to raleigh (raleigh, nc)",buffalo,http://buffalo.craigslist.org/rid/3408604216.html,"i'm looking for a ride to raleigh. 
sometime around the 18th to 20th of december 2012. 
return date mostly after new years. 
i'm a student at suny buffalo. i have a valid license. i can drive.",2012-11-14T03:47:23-05:00,emailnotfound
south buffalo to pittsburgh (south buffalo),buffalo,http://buffalo.craigslist.org/rid/3408537714.html,looking for ride this weekend or for thanksgiving...cute little dog to accompany me. both very well behaved. will pitch in for gas.,2012-11-14T01:52:24-05:00,emailnotfound
need ride (buffalo to nyc),buffalo,http://buffalo.craigslist.org/rid/3408313673.html,"looking for a ride to nyc from buffalo any of the following days: 
friday (11/16) 
saturday (11/17) 
sunday (11/18) 
monday (11/19) 
looking to return on any of the following dates: 
friday (11/23) 
saturday (11/24) 
sunday (11/25) 
willing to split  [...]",2012-11-13T22:29:03-05:00,emailnotfound
"ride offered: buffalo to denver (boulder, co)",buffalo,http://buffalo.craigslist.org/rid/3407448799.html,"i'm leaving buffalo sometime this week, either wed or fri, headed for boulder co. i'm camping out / sleeping in my car for the 2 nights that it'll take. looking to split gas, or however much you can help out with. it'll be about $300 for the whole tr [...]",2012-11-13T15:41:16-05:00,emailnotfound
anyone have room in your car? (kenmore-southern az),buffalo,http://buffalo.craigslist.org/rid/3407232337.html,"i recently moved from ny to arizona. unfortunately i was in a time crunch and broke. i wasn't able to afford to bring all of my things with me. i've learned to live without most of my belongings, however i have 1 sentimental item i miss. i have a tax [...]",2012-11-13T14:21:25-05:00,emailnotfound
