title,postingFrom,permalink,shortDescription,postingDate,mailToLink
seeking ride to hyannis fr nyc for business conference 11/27 (hyannis),capecod,http://capecod.craigslist.org/rid/3417758675.html,"professional highly educated responsible excellent driving record willing to share driving split expenses from nyc to hyannis nov 27th 
attending business to business conference 
non smoking safe sound exclusively please respond here for prompt follo [...]",2012-11-18T01:15:22-05:00,emailnotfound
boston to provincetown (logan airport),capecod,http://capecod.craigslist.org/rid/3417518541.html,"i am driving from logan airport to provincetown on monday, november 19, 2012. leaving airport at 7 pm. willing to drive anyone along my route i am taking all the way to provincetown. cost is negotiable. ",2012-11-17T21:41:34-05:00,emailnotfound
need ride off cape ! wed 11/14 (bourne to boston),capecod,http://capecod.craigslist.org/rid/3408600884.html,"in desperate need of a ride to boston for an appointment (or as close as you can) on wednesday 11/14! 
my transmission blew on the way home from work tonight and i really need to make it up to boston without chancing public transportation. 
will pay  [...]",2012-11-14T03:40:15-05:00,emailnotfound
cross country copilot wanted (new england),capecod,http://capecod.craigslist.org/rid/3402078078.html,im driving a mercedes motorhome out to vegas in 3-4 weeks...plan on seeing the country...there is plenty of room for a travel partner...must like dogs because ill be bringing 2 bulldogs with me...after vegas im heading to mexico im a 36 year old adve [...],2012-11-11T11:26:45-05:00,emailnotfound
need ride cape cod&gt; nyc anytime,capecod,http://capecod.craigslist.org/rid/3400364207.html,"reliable nonsmoking, licensed and flexible . .. . . . need a ride to/from nyc. prefer after thanksgiving. to mid or outer cape.............thanks!",2012-11-10T13:57:53-05:00,emailnotfound
ride offerd buzzards bay to scranton pa 11/9/2012,capecod,http://capecod.craigslist.org/rid/3396565123.html,leaving from buzzards bay for scranton on 11.9.2012 in a conversion van. 20$ ,2012-11-08T20:20:44-05:00,emailnotfound
mv-boston nov 13 (martha's vineyard),capecod,http://capecod.craigslist.org/rid/3396331737.html,looking for a ride nov 13 to boston south station. preferably in the morning or noon ,2012-11-08T18:21:03-05:00,emailnotfound
cape/s.e.mass. to s. florida after christmas (sr. male only) (cape cod/s.e. mass),capecod,http://capecod.craigslist.org/rid/3394998922.html,"ride share available to southern florida after christmas ....senior male here/you be also please (min. over 50)....no pets (allergies) 
travel dates are flexible........i will be there until april and will be looking for someone to drive back with as [...]",2012-11-08T09:32:04-05:00,emailnotfound
ride offered - martha's vineyard to boston on thu 11/8 (vineyard haven),capecod,http://capecod.craigslist.org/rid/3394662891.html,"i'm offering a ride from west tisbury to boston. 
leaving november 8th returning november 8th. contact me on zimride: http://www.zimride.com/ride/share?ride=521639 ",2012-11-08T02:32:20-05:00,emailnotfound
on marthas vineyard leaving for twin rivers casino,capecod,http://capecod.craigslist.org/rid/3388639206.html,let me know where and when you want to trave.room for 1 passenger casino in lincoln rhode island retired lady 603 247 7452,2012-11-05T14:18:08-05:00,emailnotfound
"need to get to my appointment (hyannis, ma)",capecod,http://capecod.craigslist.org/rid/3386412803.html,i need help getting to my appointment in attleborro ma wednesday the 7th at 10 am and getting back the appointment is 2 hours long i do not have a vehicle and i have asked all of my family and friends but they are all busy this appointment is very im [...],2012-11-04T14:45:56-05:00,emailnotfound
ride needed. boston to provincetown,capecod,http://capecod.craigslist.org/rid/3380448866.html,"hello! 
i am in need of a ride from boston to provincetown on monday nov 5, give or take a day. any time is okay, and i can chip in 10 or 15 dollars for gas. just let me know what you think is fair. the best way to reach me is by cell phone, 650 703  [...]",2012-11-01T20:10:40-04:00,emailnotfound
"massride van pool daily to boston  (barnstable, sagamore, plymouth, boston)",capecod,http://capecod.craigslist.org/rid/3378196416.html,"taking the bus to boston? cut your commute cost with a massride van pool. give us a try; one week for free; absolutely no commitment. we're friendly professionals that commute daily to boston. 
van is ford e350 14 passenger van configured with comfor [...]",2012-10-31T19:52:23-04:00,emailnotfound
"w,yarmouthto orleans (yarmouth)",capecod,http://capecod.craigslist.org/rid/3377172507.html,"hi i'm looking for a ride from west yarmouth to the brewster/orleans area on a regular basis for work will to pay fuel cost so if your going that way it should help you out as well as me.508-237-0184 
rick",2012-10-31T12:22:13-04:00,emailnotfound
"need ride 5 days/wk falmouth to hyannis (falmouth, ma)",capecod,http://capecod.craigslist.org/rid/3370385443.html,"i live in falmouth, work in hyannis. need ride mon/tue/thur/sat/sun. pick up in falmouth 9:15 am for arrival in hyannis by 10 am, then pick up in hyannis 7 pm to return to falmouth. will compensate financially. please call 508-245-7864",2012-10-28T11:05:00-04:00,emailnotfound
w. yarmouth to ptown,capecod,http://capecod.craigslist.org/rid/3368128740.html,moving to ptown sunday or monday. 10/28-10/29. have 2 small dogs and small amount of luggage.,2012-10-27T08:18:18-04:00,emailnotfound
"leaving for new hampshire,when your ready (marthas vineyard)",capecod,http://capecod.craigslist.org/rid/3361912626.html,"call me,for new hampshire or boston going north,and then south later on. 603 247 7452",2012-10-24T13:40:56-04:00,emailnotfound
do you need a ride south? (cape cod to florida),capecod,http://capecod.craigslist.org/rid/3359183280.html,"i am leaving cape cod on saturday morning, october 27, and heading to naples, florida. i am driving a moving truck, which will be pretty full, and towing my chevy blazer, which will be empty. i am looking for somebody who wants to kick in a couple bu [...]",2012-10-23T12:08:01-04:00,emailnotfound
ct headed south!,capecod,http://capecod.craigslist.org/rid/3355709751.html,"heading to virginia on thursday! have plenty of room for luggage, pets, etc. will be returning the next week sometime. share gas, conversation and snacks :)",2012-10-21T22:29:04-04:00,emailnotfound
san diego or bust (pocasset),capecod,http://capecod.craigslist.org/rid/3345995720.html,im leaving for california in the beginning of january. im am renting a uhaul and dont have much stuff so there will be lots of room for your belongings,2012-10-17T16:28:12-04:00,emailnotfound
"ride needed to western mass... (amherst, ma)",capecod,http://capecod.craigslist.org/rid/3339061369.html,"hello, i am trying to bring a friend of mine over to western mass to show her the foliage as it is prime time over there for that right now. she is from san francisco and only a week ago she arrived on cape. figured we would try to get a ride share o [...]",2012-10-14T18:38:25-04:00,emailnotfound
need a driver to oysterfest (west harwich),capecod,http://capecod.craigslist.org/rid/3329669773.html,looking to hire someone to drive approx 6 people from west harwich out to wellfleet for oysterfest 2012. you can drop us off and come back for us later or stay and enjoy the festivities with us. basically we are looking for a dd. respond and let me k [...],2012-10-10T15:01:10-04:00,emailnotfound
need ride from hyannis to new york (penn station),capecod,http://capecod.craigslist.org/rid/3329562511.html,"i need a ride to penn station in newyork from hyannis area, i am heading to florida via amtrak i have a surfboard bag with me and a couple backpacks, i have sturdy roof straps for the boardbag that with fit any vehicle, i would just bus to the boston [...]",2012-10-10T14:21:39-04:00,emailnotfound
snowbirds! i'll drive your car to florida or along east coast cape/sur,capecod,http://capecod.craigslist.org/rid/3281534373.html,"hi, my name is john, and i want to offer to drive your car down to florida/georgia/south carolina, or anywhere along the east coast/95 car transport. i'll pick-up your car and drive it directly to your destination. i can meet you at the airport, or d [...]",2012-10-07T23:57:23-04:00,emailnotfound
adventure time! (cape cod headed south),capecod,http://capecod.craigslist.org/rid/3314843883.html,"blue haired girl and a tiger striped doggie trying to get home to nola before halloween! i can share gas, driving, jokes, and sandwiches. my dog will just sleep (shes pretty boring but makes up for it in cuteness). looking to leave after the 19th. i  [...]",2012-10-03T21:16:19-04:00,emailnotfound
oct 3 to s. carolina all or part way (cape-s.c),capecod,http://capecod.craigslist.org/rid/3311172680.html,leaving in the morning in a sienna van...508-776-3637 mark,2012-10-02T12:08:08-04:00,emailnotfound
