title,postingFrom,permalink,shortDescription,postingDate,mailToLink
in search of..end of dec. (nyc),cleveland,http://cleveland.craigslist.org/rid/3417290650.html,"looking for a ride to share to new york city. i don't have a car but i can drive. i am flexible on time but must be there before the 23rd. 
the earlier the better. okay! here's hopin'!",2012-11-17T19:19:26-05:00,emailnotfound
any1 need a ride? (anywhere),cleveland,http://cleveland.craigslist.org/rid/3417022000.html,"hi, 
im off of work for the next 14 days will travel anywhere u want 2 go. let me know how many people, males or females ,ages, and when u want 2 go",2012-11-17T17:02:58-05:00,emailnotfound
need ride? (cleveland),cleveland,http://cleveland.craigslist.org/rid/3364641497.html,www.clevelandtaxiservice.com call /text 216 856 0867,2012-11-17T05:51:03-05:00,emailnotfound
"ride available to philadelphia, pa on nov 22nd (cleveland)",cleveland,http://cleveland.craigslist.org/rid/3396599019.html,"hi, 
i'll be travelling to philadelphia, pa on nov22nd from mayfiled heights, oh...let me know if anyone's interested in joining the ride...am going all alone so need a company in journey (preferably ladies) ...i am 29, male...you don't need to worry [...]",2012-11-16T18:12:56-05:00,emailnotfound
cleveland hopkins airport (cleveland),cleveland,http://cleveland.craigslist.org/rid/3414775590.html,cleveland shuttle service is offering the best prices in town for traveling to and from cleveland hopkins airport. door to door reliable transportation available 24/7. call or text 1-216-534-0115 ,2012-11-16T17:13:32-05:00,emailnotfound
need ride now (cleveland2columbus),cleveland,http://cleveland.craigslist.org/rid/3414118361.html,the greyhound sold out i need to get to columbus today will share the cost if you are going to columbus tonight. you can drop me @ the greyhound station. call me soon 216-926-7829,2012-11-16T13:01:01-05:00,emailnotfound
ride desired:cle 2 san diego or close (cleveland hts),cleveland,http://cleveland.craigslist.org/rid/3413596410.html,"my fiancee and i are trying to get to san diego and need some help. if anyone is goin / can go to san diego or somewhere close please let me know. even if ur only goin halfway there but your heading west, email me and let me know. we have $ for gas f [...]",2012-11-16T09:31:47-05:00,emailnotfound
"can take- haul- or tow your stuff (to denver, co)",cleveland,http://cleveland.craigslist.org/rid/3413434968.html,"leaving 11/27 and can go either i-70 or i-80...i have a dodge 2011 ram 1500truck... call if int. no emails 
alex 303-669-5073",2012-11-16T07:38:40-05:00,emailnotfound
cheap cheap rides to any state or city,cleveland,http://cleveland.craigslist.org/rid/3402766635.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T18:59:25-05:00,emailnotfound
travel to any state for cheap,cleveland,http://cleveland.craigslist.org/rid/3407651710.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-15T18:54:18-05:00,emailnotfound
ride desired: cle-boston. tuesday or wednesday,cleveland,http://cleveland.craigslist.org/rid/3412074238.html,"hey there, 
looking to get to boston/massachusetts for thanksgiving. i can leave anytime at the beginning of next week (monday, tuesday, or wednesday). can share $, driving, and good company. 
thank you!",2012-11-15T15:05:44-05:00,emailnotfound
cleveland to canton  nov 20th afternoon / evening (canton),cleveland,http://cleveland.craigslist.org/rid/3411552213.html,"need a ride from the (west side) to the belden exit in north canton anytime in the afternoon or evening of tuesday november 20th. 
txt 440-three six three-1599",2012-11-15T11:50:46-05:00,emailnotfound
will transport your car to florida (cleveland to florida),cleveland,http://cleveland.craigslist.org/rid/3411482716.html,will transport your vehicle to florida from the cleveland area sometime after the christmas holiday.,2012-11-15T11:23:43-05:00,emailnotfound
veteran needs ride  2 pittsburgh (downtown cleveland),cleveland,http://cleveland.craigslist.org/rid/3409824041.html,61 years caucasian man non smoker asking for little compassion in desparate need of ride 2 pittsburgh did 28 years in usaf call anytime not all ways on line 4128538453 thanks cyril,2012-11-14T15:31:54-05:00,emailnotfound
ride needed - cleveland to columbus on thu 11/22 (cleveland),cleveland,http://cleveland.craigslist.org/rid/3409810572.html,"i'm looking for a ride from cleveland to columbus. 
leaving november 22nd. hey there fellow clevelanders or visitors. i am heading back home for the holidays. i am driving up to cleveland with a buddy from high school. however i need to get from ther [...]",2012-11-14T15:26:50-05:00,emailnotfound
offering rides to area prisons (northern to mid-ohio areas),cleveland,http://cleveland.craigslist.org/rid/3362733993.html,"i have a transportation service and can take up to 3 people to visit friends and relatives in ohio prisons. if interested, email me with your name, phone no., and best times to reach you. i've been transporting almost 20 years and am reliable. no smo [...]",2012-11-14T09:51:22-05:00,emailnotfound
professional driver can drive you (cleve to ???),cleveland,http://cleveland.craigslist.org/rid/3348334869.html,"i am a professional driver, and i have some free time now. i'm looking to make some extra $ by taking you wherever for a lower cost than bus, train, or plane. cash only and no smoking, drugs, or alcohol in vehicle. my car and i love freeways. buses a [...]",2012-11-14T09:51:03-05:00,emailnotfound
"ride to nyc from cle for thanksgiving (cleveland, oh)",cleveland,http://cleveland.craigslist.org/rid/3408372217.html,"planning to drive to nyc on either tuesday night afterwork or early on wed am thanksgiving week. non-smoker please. 
looking for someone to share driving and cost. 
returning on saturday morning after tg to cleveland.",2012-11-13T23:09:16-05:00,emailnotfound
ride offered to oregon 11/27 (from cleveland),cleveland,http://cleveland.craigslist.org/rid/3407903815.html,"ride offered from cleveland to portland on or about 11/27. expenses are expected to be shared and possibly driving. also considered would be dropping you off someplace closer than portland, oregon, but along that route. 
write to me to see if we can  [...]",2012-11-13T18:48:38-05:00,emailnotfound
luxury mercedes transportation! airport / local rides available! call  (cle - cak - ne oh),cleveland,http://cleveland.craigslist.org/rid/3394854063.html,"we provide transportation to anyone in the local ne ohio area. 
airport pickup, drop off, home pickup for local errands, executive meeting, or even an errand to your local grocery store. 
cheaper than taxi, and we can negotiate flat rate rides in ne  [...]",2012-11-13T12:11:26-05:00,emailnotfound
drive my trailer w/ur truck & cargo to la california save on u-haul (beachwood),cleveland,http://cleveland.craigslist.org/rid/3404825042.html,"hi, i purchased a trailer in cleveland too large to tow with my van. i need it brought to los angeles, ca. 
trailer has 2 new tires, other two have plenty of tread. it weighs 3500 lbs 
6' x 14' box so about 17' overall length. need a f-250 or so. i t [...]",2012-11-12T14:43:04-05:00,emailnotfound
ride offer: cleveland to chicago 11/26 (cleveland),cleveland,http://cleveland.craigslist.org/rid/3402801762.html,"i'm offering a ride from cleveland to chicago on monday, 11/26, probably leaving early in the morning. my leaving point is lyndhurst, and my end destination is highland park. so, i could pick up or drop off at any point in between. i'm asking for 1/2 [...]",2012-11-11T17:00:23-05:00,emailnotfound
heading east. ride needed. (going to nj),cleveland,http://cleveland.craigslist.org/rid/3400848091.html,"hi, 
i'm launching my year of travels in about a week, or whenever i can find a ride haha. going to visit my uncle in nj (very close to philadelphia), then volunteer for a while helping after sandy, and then see where the wind takes me.... 
happy to  [...]",2012-11-10T17:30:06-05:00,emailnotfound
need ride (cleveland),cleveland,http://cleveland.craigslist.org/rid/3400762081.html,"need ride this friday afternoon. can pay gas,other possible compensation. thank you for responding.",2012-11-10T16:47:58-05:00,emailnotfound
