title,postingFrom,permalink,shortDescription,postingDate,mailToLink
350.0rg trip to d.c. tomorrow (freehold/howell),cnj,http://cnj.craigslist.org/rid/3416978996.html,there is no bus for this trip to d.c. and i'm looking to car pool there and back. we can leave at whatever time is mutually convenient and come back after the event. i was with bill mckibben in nyc last night and would like to make this happen. let m [...],2012-11-17T16:42:52-05:00,emailnotfound
"airport special******service to / from newark $25 only ** ewr,jfk,lga (9736872170negotiable best rates)",cnj,http://cnj.craigslist.org/rid/3348165102.html,"need a ride? to work/ airport/ 
experience personal driver available for your next trip. 
ride in a brand new luxury ride 
i am available 24/7 & very reliable. 
with references &experiences 
give me a call@ 9736872170 
my cars are equipped: with. gps [...]",2012-11-17T12:43:04-05:00,emailnotfound
new jersey to va tomorrow early morning (nj to de-pa-md-va),cnj,http://cnj.craigslist.org/rid/3415062207.html,"i'm leaving from princeton, nj tomorrow saturday 17 and driving to virginia. i can drop you off or pick you off anywhere around the route.i have room for up to 2-3 people plus luggage. pets ok. rate 30. ",2012-11-16T19:28:25-05:00,emailnotfound
will drive from nj to los angeles soon (edison nj),cnj,http://cnj.craigslist.org/rid/3414883790.html,"hi guys, 
i am 37, male, chinese professional. 
i have a blue 2002 mistbishi galant which runs excellent. 
i will be driving to los angeles soon. i will set off sometime between now and december 15th but didn't decide it yet. 
fyi, it will be one-way [...]",2012-11-16T18:01:23-05:00,emailnotfound
* * * your personal chauffeur * * *  (all of nj-nyc),cnj,http://cnj.craigslist.org/rid/3414270627.html,"in need of a ride ? personal driver at your service ! whether you need to go to and from work,personal errands,airport pick ups and drop offs ,im your guy ! 
reasonable rates,one flat rate so theres no surprises ! 
offering (2) vehicles both fully in [...]",2012-11-16T13:56:02-05:00,emailnotfound
rideshare to michigan for thanksgiving (princeton to detoit and back),cnj,http://cnj.craigslist.org/rid/3414190756.html,"i am driving my corolla from princeton to suburban detroit, leaving either late tuesday night or early wednesday before thanksgiving (flexible depending on passengers). if you want to come along one or both ways, up to two passengers welcome. help dr [...]",2012-11-16T13:26:52-05:00,emailnotfound
nj to maine (pennington),cnj,http://cnj.craigslist.org/rid/3414113467.html,"i'm driving up near portland maine early wednesday morning the 21st. leaving from pennington, nj but can pick up from any surrounding towns. any one who needs to go north to any town i'll be crossing through. name your location and we can talk about  [...]",2012-11-16T12:59:14-05:00,emailnotfound
"ride to newark liberty or jfk on 11/17 pm (dayton, nj)",cnj,http://cnj.craigslist.org/rid/3413791115.html,"i am offering rides to newark liberty airport (only $45 inc tolls etc.) or jfk airport for $65 inc tolls in my lexus sedan tomorrow (satnov 17th) afternoon. 
ideally the pick up from the south/north/new/east brunswick area will be after 4pm tomorrow. [...]",2012-11-16T10:59:40-05:00,emailnotfound
"need a ride? service to / from newark, jfk, laguardia (price negotiable.24/7.9736872170)",cnj,http://cnj.craigslist.org/rid/3401796629.html,"need a ride? to work/ airport/ 
experience personal driver available for your next trip. 
ride in a brand new luxury ride 
i am available 24/7 & very reliable. 
with references &experiences 
give me a call@ 9736872170 
my cars are equipped: with.gps. [...]",2012-11-16T08:11:54-05:00,emailnotfound
"need a ride? errands? airport? designated driver? let me drive! (monmouth, ocean, middlesex counties to ??)",cnj,http://cnj.craigslist.org/rid/3413195206.html,"i am a very experienced driver (25 years) with a clean, valid nj driver's license. i am an extremely safe driver. i have a toyota camry that can take you anywhere you want to go.i am friendly, professional and will even play whatever music you want m [...]",2012-11-16T01:18:37-05:00,emailnotfound
