title,postingFrom,permalink,shortDescription,postingDate,mailToLink
offering ride to deerfield beach fl (columbus ga/smiths al to fort lauderdale),columbusga,http://columbusga.craigslist.org/rid/3413827560.html,"i wil be going to deerfield beach fl on 21nov2012 (early) and will be returning 24th or 25th. looking for someone willing to share gas and drive time. i have a honda accord hybrid; comfortable & economical. call me if you're interested. thanks. 
robe [...]",2012-11-16T11:14:11-05:00,emailnotfound
travel deals to any state,columbusga,http://columbusga.craigslist.org/rid/3384824549.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:56:08-05:00,emailnotfound
inexpensive travel to any state or city,columbusga,http://columbusga.craigslist.org/rid/3398833945.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:01:40-05:00,emailnotfound
dallas/ft worth texas? (columbus),columbusga,http://columbusga.craigslist.org/rid/3400761950.html,"i am looking for a ride to dallas/ ft. worth texas in about a week or two. i want to be with family for the holidays and i cannot afford a bus ticket nor do i have my own transportation. i dont need a ""hand-out"" only a ride. im no messy smelly pig ei [...]",2012-11-10T16:47:55-05:00,emailnotfound
columbus ga to rhode island  (columbus ga),columbusga,http://columbusga.craigslist.org/rid/3392556633.html,need ride to rhode island on the week of thanksgiving will chip for gas also. text or email. 706-366-seven 155,2012-11-07T08:53:43-05:00,emailnotfound
columbus to nc (columbus ),columbusga,http://columbusga.craigslist.org/rid/3390721525.html,im leaving columbus ga and driving to fayetteville nc on wed nov 7th and returning that weekend. ,2012-11-06T12:21:09-05:00,emailnotfound
$$$~junk vehicle buyer~$$$ (706-593-0129),columbusga,http://columbusga.craigslist.org/rid/3315550890.html,"we buy junk vehicles free removal 
call kevin 
706-593-0129 
706-289-3070",2012-11-01T09:13:42-04:00,emailnotfound
"columbus to clemson, sc (columbus to clemson, sc)",columbusga,http://columbusga.craigslist.org/rid/3376701537.html,"heading to clemson, sc this friday around six am. it is a four hour drive and a one way trip, i will let you ride if we split the gas. ",2012-10-31T08:26:31-04:00,emailnotfound
rides to anywhere in us for cheap look,columbusga,http://columbusga.craigslist.org/rid/3343616642.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-29T22:27:55-04:00,emailnotfound
i need to ride with someone to tx (ft. mitchell),columbusga,http://columbusga.craigslist.org/rid/3366281975.html,"i need to ride with someon to texas. i need to go to killeen but anywhere in texas would be fine with me. i can help with gas and driving if needed. 
706-223-4309",2012-10-26T11:47:33-04:00,emailnotfound
ride offered - auburn to chicago on fri 11/16 (auburn),columbusga,http://columbusga.craigslist.org/rid/3339783054.html,"i'm offering a ride from auburn to chicago. 
leaving november 16th returning november 25th. leaving at around 6 am. final destination is peoria, il. radiohead. 420. i'm a horse, but i have human hands so i can drive contact me on zimride: http://www. [...]",2012-10-15T05:07:00-04:00,emailnotfound
"raleigh,nc 10/8",columbusga,http://columbusga.craigslist.org/rid/3321423190.html,"going up to raleigh, nc 10/8. offering a rideshare call me if interested 2819780764.",2012-10-06T19:12:34-04:00,emailnotfound
