title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"need to go,san antonio (corpus)",corpuschristi,http://corpuschristi.craigslist.org/rid/3398986286.html,"like to get to san antonio this weekend can help with gas 
504/346/9998 ",2012-11-15T20:17:07-06:00,emailnotfound
travel for less to any state or city,corpuschristi,http://corpuschristi.craigslist.org/rid/3412630288.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:08:18-06:00,emailnotfound
ride to florida (west palm beach),corpuschristi,http://corpuschristi.craigslist.org/rid/3408565219.html,looking to drive to west palm beach for the thanksgiving holiday and wouldn't mind giving a ride to anyone anywhere along the way as long as they can pay for some gas.,2012-11-14T01:34:21-06:00,emailnotfound
corpus to austin (leaving nov.16th friday),corpuschristi,http://corpuschristi.craigslist.org/rid/3401487810.html,seeing if anyone needs ride and pay for gas...i'm trying to leave by 12 noon on friday nov. 16th...serious inquires. :),2012-11-10T23:59:46-06:00,emailnotfound
corpus christi to houston area and back (corpus to dayton),corpuschristi,http://corpuschristi.craigslist.org/rid/3398666995.html,i will be leaving to houston area (dayton) tonight probably no later that 8:00 and return some time sunday afternoon or so. if anyone would like to catch a ride that would be great as it is a long drive. chip in a couple bucks for gas and we're good. [...],2012-11-09T16:58:04-06:00,emailnotfound
austin 2 corpus (s.austin to cc.),corpuschristi,http://corpuschristi.craigslist.org/rid/3390658200.html,"my girlfriend and i are planning to travel to corpus within the month or during december. 
if you would like to ride share with us or split uhaul cost let me know",2012-11-06T10:58:05-06:00,emailnotfound
need a truck for 3hrs,corpuschristi,http://corpuschristi.craigslist.org/rid/3376271433.html,"please help!! i need a pickup or a ride to get a transmission from corpus to divine tx 25 miles south of san antonio, i have to get a transmission so i can get my truck running again. will pay fuel and food. thanx 254-716-3874 brad ",2012-10-30T21:55:08-05:00,emailnotfound
going north (donna texas),corpuschristi,http://corpuschristi.craigslist.org/rid/3374463474.html,"hi all, is anyone coming north anytime soon. a person in donna texas wants to come to kalamazoo michigan and is looking for a ride. please call 1616 635 6567 if you can help. he will chip in for gas",2012-10-30T08:16:35-05:00,emailnotfound
corpus christi to western north dakota (corpus christi),corpuschristi,http://corpuschristi.craigslist.org/rid/3370340352.html,leaving corpus christi 10/29 or 10/30 have a 2-door coupe w/ limited cargo space and room for only 1 passenger. i ask for gas money commensurate of how far you going. i'm heading to north dakota to work in the bakken oil-field. if you have a destinat [...],2012-10-28T09:37:00-05:00,emailnotfound
"need ride to harlingen on b'ville, friday afternoon from cc (from cc)",corpuschristi,http://corpuschristi.craigslist.org/rid/3363487063.html,"howdy! need ride to harlingen or brownsville friday p.m. 
if you have an empty space let me know how much you would charge. 
i'm respectful, a good conversationalist and could help you drive if need be. 
thanks for your consideration-",2012-10-25T05:44:02-05:00,emailnotfound
rideshare (new orleans),corpuschristi,http://corpuschristi.craigslist.org/rid/3349285087.html,need ride to nola from corpus christi will share gas expences by nov. 1,2012-10-21T14:42:59-05:00,emailnotfound
crew to panama available (corpus christi),corpuschristi,http://corpuschristi.craigslist.org/rid/3351568672.html,"avid sailor seeks crew position on sailboat from corpus christi to panama canal, january 2013. ",2012-10-19T22:50:01-05:00,emailnotfound
looking for a ride today to cc from rockport,corpuschristi,http://corpuschristi.craigslist.org/rid/3350711089.html,"hi looking to get to cc and back to rockport either today or saturday. will pay gas. please email me if your going,thank you.",2012-10-19T15:14:26-05:00,emailnotfound
need ride to dallas (cc to dal),corpuschristi,http://corpuschristi.craigslist.org/rid/3340449482.html,"oct 26 friday,,,cc to dal,,thnx,,jessica",2012-10-15T11:28:23-05:00,emailnotfound
ride to houston needed (kingsville),corpuschristi,http://corpuschristi.craigslist.org/rid/3337903707.html,need a ride from kingsville to houston for job interview,2012-10-14T07:40:24-05:00,emailnotfound
looking for ride sa to corpus  (sa to corpus),corpuschristi,http://corpuschristi.craigslist.org/rid/3337266813.html,needing ride from san antonio back to corpus christi. just arrived in san antonio for medical appointment (heart patient) and looking return trip to corpus next week.doctor's appointment is monday and looking for return trip back to spohn south docto [...],2012-10-13T19:00:34-05:00,emailnotfound
need a ride to cc from rockport,corpuschristi,http://corpuschristi.craigslist.org/rid/3336645539.html,"i'am looking for a ride either once or twice a month willing to pay $30.00 round trip.i will be in cc between 5 to 6 hours or maybe longer and then need a ride back.looking to go sat oct 20th.please email if you are going that way, thanks.",2012-10-13T13:57:57-05:00,emailnotfound
going to san antonio on monday and tuesday (west corpus christi),corpuschristi,http://corpuschristi.craigslist.org/rid/3323088812.html,if you need a ride going to san antonio give dante call at 21476975oo.,2012-10-07T15:57:24-05:00,emailnotfound
offering ride to san antonio and austin (staples street),corpuschristi,http://corpuschristi.craigslist.org/rid/3320484363.html,"i'm leaving for austin and can drop you off anywhere along the way! i'm either leaving late sunday or early monday. let me know if u need a ride and can pitch in for gas!! text or call 5i2,965, oo25.",2012-10-06T11:15:46-05:00,emailnotfound
cc to houston and dallas (from southside ),corpuschristi,http://corpuschristi.craigslist.org/rid/3315158984.html,"leaving either sunday or monday 10-07 or 08/ driving to houston, conroe, then on to dallas. have a trailblazer-- help with gas. 
can text me at 438-7380. ",2012-10-04T00:16:20-05:00,emailnotfound
cc to victora 10/05 early,corpuschristi,http://corpuschristi.craigslist.org/rid/3315155712.html,will be in victoria for a few hours and then back to corpus. you may text me also 438-7380 pay gas-- have traailblazer,2012-10-04T00:12:36-05:00,emailnotfound
