title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride to portland (corvallis),corvallis,http://corvallis.craigslist.org/rid/3417802752.html,"ride to portland offered in the am. returning in the evening, leaving pdx between 8 & 9. non-smoking family ride. be nice, help with gas. 
write with a little bit about yourself. phone interview may be required in the morning.",2012-11-17T23:14:23-08:00,emailnotfound
osu to pdx airport emergency ride offered (osu),corvallis,http://corvallis.craigslist.org/rid/3417791144.html,"if you need an emergency ride to pdx from osu, reply to this message and i'll get back with you asap. i can take you up, no matter what time you need to be at pdx, and/or even bring you back to corvallis. i have a 4-door sedan, so i would be limited  [...]",2012-11-17T22:57:53-08:00,emailnotfound
i need a ride to eugene wednesday (eugene),corvallis,http://corvallis.craigslist.org/rid/3417556213.html,"hi, i need a ride this wednesday after 3pm to eugene and preferably one back from eugene to corvallis on sunday. i would like to find someone that can give both rides but am looking for a ride in general both ways. i can throw down on gas and am good [...]",2012-11-17T19:08:42-08:00,emailnotfound
ride to eugene needed (corvallis),corvallis,http://corvallis.craigslist.org/rid/3417111447.html,"i need a ride back to eugene on sunday the 18th! i can help with gas $, please let me know asap!",2012-11-17T14:45:24-08:00,emailnotfound
need a ride from albany to medford  11/19 or 11/20 (albany),corvallis,http://corvallis.craigslist.org/rid/3417058251.html,nice female needing a ride from albany to medford or on monday 11/19 or tuesday 11/20 for the holidays..420 friendly and can help a little with gas.. only serious reply..i'm trying to see my grand daughter for the holidays...please contact me asap to [...],2012-11-17T14:19:58-08:00,emailnotfound
ride offer to portland today around 5  (osu),corvallis,http://corvallis.craigslist.org/rid/3416689763.html,"heading to portland this evening around 5 or 6 pm hit me up if you need a ride 
(503)three- five- eight-5-7-1- nine 
asking ten dollars for gas",2012-11-17T11:40:42-08:00,emailnotfound
ride to from yakama for thanksgiving (corvallis),corvallis,http://corvallis.craigslist.org/rid/3416123489.html,"i am looking for a ride to and from yakama this thanksgiving weekend. 
will hep with gas.",2012-11-17T08:00:11-08:00,emailnotfound
offering ride from albany to pendleton 11/21,corvallis,http://corvallis.craigslist.org/rid/3415666137.html,non smoking and help w/ gas. leaving albany very early thanksgiving,2012-11-17T01:00:13-08:00,emailnotfound
"ride needed: friday 11/23, 9:15pm (pdx to corvallis )",corvallis,http://corvallis.craigslist.org/rid/3415607696.html,"$30? 
about me: i am a graduate student at osu. i will have just one suitcase and a small laptop bag. ",2012-11-16T23:23:39-08:00,emailnotfound
ride wanted corvallis/ albany to portland this sunday afternoon,corvallis,http://corvallis.craigslist.org/rid/3415142164.html,i am coming back from visiting family and my sister only needs to travel as far as corvallis. if possible i would like to catch a ride with someone. i can help out with gas as well as driving ( i can drive a manual transmission as well as automatic). [...],2012-11-16T17:10:57-08:00,emailnotfound
ride needed corvallis to ptld wedn 21 nov. (corvallis),corvallis,http://corvallis.craigslist.org/rid/3415131215.html,"need a ride to sw portland from corvallis on wedn. 21st. 
mature woman with suitcase, book box and bag.. 
happy to contribute gas money. 
please call denise: 
310.993.1320 
thank you!",2012-11-16T17:04:57-08:00,emailnotfound
ride offered to north bay area or on the way (corvallis to califonia),corvallis,http://corvallis.craigslist.org/rid/3414802229.html,"i will be driving from corvallis to novato (north bay) on november 21st for thanksgiving. will be returning to corvallis on that sunday. if you need a ride that is on i5 or so let me know! 
asking for some gas money and good company. thanks for looki [...]",2012-11-16T14:25:05-08:00,emailnotfound
