title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"can haul loads under 1500lbs across the country. (seattle, denver, baltimore)",cosprings,http://cosprings.craigslist.org/rid/3396647221.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T21:38:37-07:00,emailnotfound
headed to new york,cosprings,http://cosprings.craigslist.org/rid/3417193392.html,"i am leaving for new york in the next few days to help rebuild after sandy. 
looking for someone who may need a ride, to share gas expenses. 
i am also willing to drop off donations and supplies. 
contact jimmy at 720-329-4078 or email roofingprofess [...]",2012-11-17T16:27:01-07:00,emailnotfound
seeking rideshare to las vegas end of november (2 riders) (colorado springs),cosprings,http://cosprings.craigslist.org/rid/3417185883.html,"two brothers seeking rideshare to las vegas for short trip with family. the exact dates are november 30 to december 3. 
can pitch in equal share of driving/ gas of course. 
let me know if you have something! thank you. 
-jeff 
two six nine 370 8178",2012-11-17T16:23:04-07:00,emailnotfound
"driving from c/s to columbus, ohio on tues (c/s)",cosprings,http://cosprings.craigslist.org/rid/3417011533.html,"i will be driving to ohio on tues, if you may want to ride to somewhere along the way, or to ohio, and would be willing to help some with gas then let me know your plans. 
i am a white male and a good conversationalist, love listening to music.",2012-11-17T14:58:02-07:00,emailnotfound
colorado springs to denver,cosprings,http://cosprings.craigslist.org/rid/3416692969.html,"cs to denver this afternoon, 11.17. 
call 1.888.236.5559",2012-11-17T12:42:00-07:00,emailnotfound
need ride from colo springs to dia on 11/26 (colo springs),cosprings,http://cosprings.craigslist.org/rid/3416522350.html,"i need a ride from colo springs to denver airport on monday--11/26. my flight departs at 4pm. i am fine being dropped off as early as necessary to get there. 
email or text me at five zero 5- two 5 zero-0 two five 0",2012-11-17T11:35:23-07:00,emailnotfound
driving from springs to vail tomorrow (saturday) (cos),cosprings,http://cosprings.craigslist.org/rid/3415491964.html,"im driving up to vail tomorrow. leaving cos around 3pm. i dont have too much room for luggage, but i can give a lift.",2012-11-16T22:13:49-07:00,emailnotfound
rides offered - friendly and dependable (colorado springs and surrounding),cosprings,http://cosprings.craigslist.org/rid/3415033698.html,"hi! i have a clean and comfortable 2011 chevy impala, i'm available to provide rides locally or anywhere around the front range. i am very dependable, friendly, my schedule is flexible and my rate is fair and affordable. i'm available anytime. 
thank [...]",2012-11-16T17:13:48-07:00,emailnotfound
colorado springs to denver,cosprings,http://cosprings.craigslist.org/rid/3414696131.html,"i need a ride to denver sometime this weekend. i have no preference as to when we leave. i can pitch in on gas as well. i am a clean and respectful student. 
nine two eight, 46zero, two6one8 
thanks! 
jaryd",2012-11-16T14:40:26-07:00,emailnotfound
live here and work in downtown denver? (colorado springs),cosprings,http://cosprings.craigslist.org/rid/3414240818.html,"we currently have a vanpool that has a few seats available. 
we meet at the woodmen park n ride and drop off in downtown denver. 
the work hours are 645am - 4 pm. 
if you're interested in saving time and money, please contact tracey at tafergerson at [...]",2012-11-16T11:45:11-07:00,emailnotfound
colorado springs to boulder  (just once a week),cosprings,http://cosprings.craigslist.org/rid/3414145952.html,"i live here in the springs and i go and see my daughter once a week in my days off usually i take off wednesday by 7 am and comeback thursday by 2 pm 
so this is my route 
i 25 to hwy 36 to north broadway and why 36 like you where gong to lyons 
i ca [...]",2012-11-16T11:10:54-07:00,emailnotfound
"colorado springs to denver and denver to colorado springs rideshare  (colorado springs, colorado)",cosprings,http://cosprings.craigslist.org/rid/3395548252.html,"if anyone out there needs a ride...... i tra vel to denver and colorado springs, back and forth once a week. 
on tuesday mornings, i leave denver to colorado springs. 
on friday afternoons, i leave colorado springs to denver. 
$15 will get you the on [...]",2012-11-16T11:04:28-07:00,emailnotfound
moving to fairbanks  (colorado-alaska ),cosprings,http://cosprings.craigslist.org/rid/3413671471.html,"leaving in early december for fairbanks alaska, who wants to go? ride along good times good conversation maybe drive a little bit, asking for 100 to help cover has can take up to 3 with me, prefer other females, driving from colorado to alaska hopefu [...]",2012-11-16T08:08:42-07:00,emailnotfound
