title,postingFrom,permalink,shortDescription,postingDate,mailToLink
carpool/rideshare app (ios/android),daytona,http://daytona.craigslist.org/rid/3375297841.html,"475+ cites, 35+ countries 5 continents and growing ...... 
you have car and smartphone.. post your ride offer 
you have smartphone and no car.. post your ride request. 
see the match... and connect right away. 
all on the go! no more wait! post multi [...]",2012-11-18T04:47:08-05:00,emailnotfound
reliable transportation (east side of volusia county),daytona,http://daytona.craigslist.org/rid/3380524295.html,"my name is roberta and i have a ford e350 van and can take you and/or your family around. it seats 4 (plus me. . .the driver) and has lots of room for ""stuff."" very cold air conditioning! i know how hard it can be to shop while on the bus. . .or go o [...]",2012-11-17T23:16:06-05:00,emailnotfound
if you need a ride call diamond taxi 386-253-9999 daytona beach ,daytona,http://daytona.craigslist.org/rid/3416565152.html,if you need a ride call diamond taxi 386-253-9999 daytona beach newest and cleanest taxi cab... 386-253-9999.....20% off your fare... if you mention this ad ,2012-11-17T13:51:47-05:00,emailnotfound
airport transportation (daytona/orlando/sanford/jacksonville) (daytona),daytona,http://daytona.craigslist.org/rid/3416408740.html,"airport transportation (daytona/orlando/sanford/jacksonville) 
- local and out of town transportation. 
- all drivers have clean driving records and are very dependable, non-smoking, courteous, properly licensed, fully insured and screened for drug u [...]",2012-11-17T12:52:12-05:00,emailnotfound
personal driver $15 (daytona beach - beachside),daytona,http://daytona.craigslist.org/rid/3359716494.html,"- $15.00 minimum pick up charge with in 5 miles from bellair plaza 2575 n. atlantic ave daytona beach - beachside. $1.00 per mile for additional travel. 
- local and out of town transportation. 
- airport transportation (daytona/orlando/sanford/jacks [...]",2012-11-17T09:19:33-05:00,emailnotfound
if you need a ride call diamond taxi 386-253-9999 ,daytona,http://daytona.craigslist.org/rid/3405551054.html,if you need a ride call diamond taxi 386-253-9999 daytona beach newest and cleanest taxi cab... 386-253-9999.....20% off your fare... if you mention this a,2012-11-17T09:17:11-05:00,emailnotfound
if you need a ride call diamond taxi 386-253-9999 daytona beach ,daytona,http://daytona.craigslist.org/rid/3405714821.html,if you need a ride call diamond taxi 386-253-9999 daytona beach newest and cleanest taxi cab... 386-253-9999.....20% off your fare... if you mention this ad ,2012-11-17T09:13:57-05:00,emailnotfound
desperately need ride (debary to daytona),daytona,http://daytona.craigslist.org/rid/3385139825.html,plz help need ride to daytona call if you can please help 386 576 4252 ,2012-11-16T19:12:34-05:00,emailnotfound
"long distance travel (fl,nc,sc)",daytona,http://daytona.craigslist.org/rid/3394176510.html,"for reliable, safe and comfortable long distance travel, call vantransit 336-986-0575. vantransit2go.com ",2012-11-16T17:51:07-05:00,emailnotfound
headed to chattanooga (ormond to chatt),daytona,http://daytona.craigslist.org/rid/3414532010.html,"headed to chattanooga, tn either leaving this evening or tomorrow morning. can drop you off there or along the way. share gsa cost. ",2012-11-16T15:34:57-05:00,emailnotfound
"friendly, reliable transportation (daytona beach)",daytona,http://daytona.craigslist.org/rid/3374635581.html,"my name is roberta and i have a ford e350 van and can take you and/or your family around. it seats 4 (plus me. . .the driver) and has lots of room for ""stuff."" very cold air conditioning! i know how hard it can be to shop while on the bus. . .or go o [...]",2012-11-16T12:41:08-05:00,emailnotfound
driving injured workers (daytona beach and surrounding areas),daytona,http://daytona.craigslist.org/rid/3377618765.html,"boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be customer [...]",2012-11-16T09:59:19-05:00,emailnotfound
going to new jersey to work (daytona beach),daytona,http://daytona.craigslist.org/rid/3413501055.html,"i am going to new jersey to hurricane work, looking for someone to share expensives: gas for my van. please call me at 409-996-0499. i will be leaving in about 1 week.........",2012-11-16T08:33:39-05:00,emailnotfound
discount rideshare to any state or city,daytona,http://daytona.craigslist.org/rid/3384826353.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:58:49-05:00,emailnotfound
driving to atlanta around thanksgiving (fl to ga),daytona,http://daytona.craigslist.org/rid/3404867901.html,"i will be driving to atlanta for the holiday. i can either leave any time wed evening the 21st, thur morning the 22nd or fri morning the 23rd. 
i will be coming back to florida on sun the 25th. 
anyone need a ride, just let me know. i can pick you up [...]",2012-11-15T18:47:48-05:00,emailnotfound
need ride to orlando (downtown),daytona,http://daytona.craigslist.org/rid/3412076246.html,need ride to orlando from ormond/daytona tonight (11/15)...must arrive by 9 pm,2012-11-15T15:06:31-05:00,emailnotfound
nyc bound.... next week (st augustine),daytona,http://daytona.craigslist.org/rid/3411120724.html,"i am heading to nyc next week. i am looking for a (hopefully) sane person to share gas expenses with. i am leaving, probably, on the 20th and will return after thanksgiving. i am looking for some one that needs a ride up. coming back is still up in t [...]",2012-11-15T08:07:23-05:00,emailnotfound
nashville for christmas (daytona-atlanta-nashville),daytona,http://daytona.craigslist.org/rid/3409186156.html,"hi i'm headed to nashville (from daytona) dec. 22nd and will be returning dec. 26th. if you can chip in on gas/driving i have 2 seats available. 
i also pass threw atlanta, ga on the way too :) ",2012-11-14T11:39:42-05:00,emailnotfound
need rt ride to va and back (volusia),daytona,http://daytona.craigslist.org/rid/3409095102.html,"hey guys i need a ride to virginia i can leave monday night or early tuesday morning prior to thanksgiving, i need to come back and depart early on sunday am or can leave late saturday after thanksgiving, if you are doing this or close to this and ca [...]",2012-11-14T11:04:57-05:00,emailnotfound
seeking ride to hindu temple in orlando from daytona (orlando),daytona,http://daytona.craigslist.org/rid/3350018619.html,"hari om! 
sannyasini (much akin to a monk) seeking a ride to and from services at the hindu temple in orlando from daytona beach (beachside). please email if you can assist. thank you! 
om namah shivaya!",2012-11-14T10:46:32-05:00,emailnotfound
car group up or grey hound.. (fl to losangeles),daytona,http://daytona.craigslist.org/rid/3408304381.html,me and my wife are trying to git to los angeles.. or los vages .. or group up on a greyhound to git a discount package.. please asap call me or text me 386 215 2479.. karissa and brian..,2012-11-13T22:23:01-05:00,emailnotfound
need ride? (daytona beach),daytona,http://daytona.craigslist.org/rid/3365253906.html,"dr. appt., shopping, moving small items, airport, bus station, etc.-i can help. i live in daytona beach, but can transport you to seminole or orange county. please call jeff @386-882-8835.",2012-11-12T19:08:50-05:00,emailnotfound
1 ton truck and trailer going to north carolina (deland),daytona,http://daytona.craigslist.org/rid/3399597109.html,"november-december. crew cab truck, with 16 foot trailer, four foot sides and cover, or open. will haul a car or what have you. possible passenger or pet. leaving from deland area. fee depends on load and distance. 207 337 0376 ",2012-11-10T08:15:00-05:00,emailnotfound
"need ride from daytona to huntsville,al (daytona beach shores)",daytona,http://daytona.craigslist.org/rid/3375571506.html,"need ride to and from daytona beach to albertville ,al(area near boaz, huntsville, guntersville,) anytime . will help with expenses, flexible on days etc.. 
would like to go for christmas. 
.",2012-11-08T15:46:53-05:00,emailnotfound
ride 2 orlando tksgiving day (s. deland),daytona,http://daytona.craigslist.org/rid/3392488136.html,"i need a ride to orlando near ucf on thanksgiving day. will help with gas. if you are going near there in the morning, i'd like to ride with you. dave",2012-11-07T08:04:09-05:00,emailnotfound
please help need to get my dog back to me (daytona to pa),daytona,http://daytona.craigslist.org/rid/3390248153.html,i came to easton pa 3 weeks ago when my father past away thinking my mom would come back to florida with me but now i can't get her out of the house.i need to get mybaby girl up here with me for it has been to long a seperation. she is a 9 month old  [...],2012-11-06T09:02:31-05:00,emailnotfound
empty van - your stuff and/or pet (winterhaven / daytona to baltimore),daytona,http://daytona.craigslist.org/rid/3389677591.html,"have a reliable, conventional cargo van that will be driven empty from winter haven in florida to baltimore md through daytona beach. 
can load on saturday afternoon (nov 24) and unload in or around baltimore on sunday (nov 25). 
can take your stuff  [...]",2012-11-05T22:01:47-05:00,emailnotfound
driving to nyc tomorrow,daytona,http://daytona.craigslist.org/rid/3388842420.html,depart tomorrow mid day--room for luggage--non-drivers ok--share gas and tolls!,2012-11-05T15:31:36-05:00,emailnotfound
need ride palm coast to ormand bch (belair plaza),daytona,http://daytona.craigslist.org/rid/3386197341.html,"need ride daily mon thru friday to work, palm coast to ormand bch. belair plaza. will contribute to fuel cost. ",2012-11-04T13:09:18-05:00,emailnotfound
do you need a lift? (daytona),daytona,http://daytona.craigslist.org/rid/3358744894.html,"doctors appointments, grocery shopping, whatever you need. reasonsble rates, courteous, dependable. call anytime: 386-214-6026. 
many thanks, ",2012-11-04T09:20:08-05:00,emailnotfound
need ride to ormand beach a1a (belair plaza),daytona,http://daytona.craigslist.org/rid/3382572536.html,need a ride daily monday thru friday mornings from palm coast to ormand beach a1a belair plaza arriving between 0700am and 0730am. will share gas with cost of fuel.,2012-11-02T18:29:54-04:00,emailnotfound
sailing from daytona beach to miami area (daytona beach),daytona,http://daytona.craigslist.org/rid/3376062705.html,"hello, 
i am sailing from daytona beach to the miami area. i am leaving no later than december 1 and no earlier than november 21. 
i am looking for a companion for the ride. male or female ok. you must be able to cover your personal costs and 50% of  [...]",2012-10-30T20:46:30-04:00,emailnotfound
"need a ride to work (daytona beach,fl)",daytona,http://daytona.craigslist.org/rid/3373885262.html,hello my name is tanisha bass and i am posting because i need to know if someone is going by ormond by the sea by around 10am-5pm in the evening just for a couple of days please email me back at my email address above and i will leave you my phone nu [...],2012-10-29T21:45:54-04:00,emailnotfound
new smyrna to daytona,daytona,http://daytona.craigslist.org/rid/3372549530.html,monday thru friday 8 - 5. thanks!,2012-10-29T12:06:09-04:00,emailnotfound
daytona beach to chattanooga  (dab to cha),daytona,http://daytona.craigslist.org/rid/3372417858.html,"headed to chattanooga, tn the evening of november 16th and will return the evening of november 25th or the 24th, not sure yet. if you need a ride between here and there, let me know. :) ",2012-10-29T11:13:54-04:00,emailnotfound
need ride-jax  (holly hill ),daytona,http://daytona.craigslist.org/rid/3371807393.html,roundtrip- going to air guard' base - how much?? ,2012-10-29T00:23:41-04:00,emailnotfound
need a ride to titusville,daytona,http://daytona.craigslist.org/rid/3361963462.html,need a ride on the third of november from daytona beach to titusville ,2012-10-24T13:58:56-04:00,emailnotfound
need a ride north (new england),daytona,http://daytona.craigslist.org/rid/3356376291.html,"hi need to get to the new england area, will split tolls and gas call anytime @ 401-935-3857 thanks",2012-10-24T11:02:28-04:00,emailnotfound
volusia county to central texas  (volusia county - killeen tx),daytona,http://daytona.craigslist.org/rid/3361135974.html,driving from florida to texas nov 2 to fort hood have room to share ride must put in on gas will stop in cities on the way if needed/desired will respond promptly to emails please provide a phone number ,2012-10-24T07:54:56-04:00,emailnotfound
wow 9.99 flat taxi  cab  anywhere within 5 miles of pick up. (daytona port orange ormond),daytona,http://daytona.craigslist.org/rid/3344689382.html,hi come to a company with experience and longevity we offer you a great rate during a time when its busy . 9.99 anny where from greater daytona area. within 5 miles over 5 but within 10 miles 15.99 im at 386-675-3496.aair condtion vans ready for you. [...],2012-10-24T04:01:47-04:00,emailnotfound
atlanta ga end of month (ga to fl),daytona,http://daytona.craigslist.org/rid/3322202932.html,"driving to georgia (atlanta area) end of month for 3 or 4 days. plan on leaving fri the 26th early and returning either mon the 29th or tue the 30th. 
share the gas and keep me company and i'll drop you off anywhere along the way or around atlanta ar [...]",2012-10-22T18:29:26-04:00,emailnotfound
need ride? (daytona beach),daytona,http://daytona.craigslist.org/rid/3295330104.html,"dr. appt., shopping, moving small items, airport, bus station, etc.-i can help. i live in daytona beach, but can transport you to seminole or orange county. please call jeff @386-882-8835.",2012-10-22T12:45:05-04:00,emailnotfound
*attractive female driver* (daytona area),daytona,http://daytona.craigslist.org/rid/3356098235.html,"are you looking for a reliable driver to get you to your doctor appointments, bridge club, activities, grocery shopping, etc? 
well, look no further! i am a attractive 37 yr old female with a great personality! i have a mitsubishi montero and am a lo [...]",2012-10-22T06:45:41-04:00,emailnotfound
holidays need r/t volusia to ne ohio (new smyrna beach),daytona,http://daytona.craigslist.org/rid/3338089626.html,i'd like to go visit my girlfriend who lives by kent state university in ohio which is by akron. i am looking for a ride that way and a ride back home. i am willing to pay half of the gas expense but i cannot drive. she can pick me up from somewhere  [...],2012-10-18T20:28:23-04:00,emailnotfound
ride needed - daytona beach to memphis in november (daytona beach),daytona,http://daytona.craigslist.org/rid/3347816328.html,"i'm looking for a ride from daytona beach to memphis. 
leaving in novemberin search of ride from daytona/orlando to memphis (collierville) tn any time during month of november, 2012. contact me on zimride: http://www.zimride.com/ride/share?ride=49929 [...]",2012-10-18T12:56:55-04:00,emailnotfound
upstate new york bound 10/15 (daytona),daytona,http://daytona.craigslist.org/rid/3337567101.html,i am heading back to new york (albany area) on the 15th between 3-6pm out of port orange. looking for rideshare folks who are headed that direction or any points on the way. 518-316-1248 text only please (if you call leave a voicemail),2012-10-13T23:38:37-04:00,emailnotfound
$40 for ride to jax in morning (daytona / beachside),daytona,http://daytona.craigslist.org/rid/3328550746.html,"srry for short notice, but i need one way ride to jax from daytona tomorrow at 11am. 
if interested please email your cell phone number.. i will respond asap. 
offering $40, going to baymeadows rd. exit 341",2012-10-09T23:34:23-04:00,emailnotfound
"need safe affordable ride or rides? (orange city,deland,debary,deltona)",daytona,http://daytona.craigslist.org/rid/3325949734.html,im a single mom just looking to earn a little extra...im available 24/7 so if you need a ride text or call me anytime.rates will be affordable! i know cabs cost alot and ive had to wait in the heat and rain for the votran before so i understand the n [...],2012-10-08T21:13:46-04:00,emailnotfound
personal driver $15 (daytona beach - beachside),daytona,http://daytona.craigslist.org/rid/3256164565.html,"personal driver $15 
- $15.00 minimum pick up charge with in 5 miles from bellair plaza 2575 n. atlantic ave daytona beach - beachside. $1.00 per mile for additional travel. 
- local and out of town transportation. 
- airport transportation (daytona/ [...]",2012-10-05T13:25:11-04:00,emailnotfound
"in november (daytona beach, fl)",daytona,http://daytona.craigslist.org/rid/3317488881.html,"looking for a ride for my son, his girlfriend, and their baby from rochester, ny to daytona beach, fl. if possible extra room for as much of their belongings as possible would be great. looking for a cheaper way rather than flying them and shipping t [...]",2012-10-05T01:16:18-04:00,emailnotfound
ride share (daytona to chattanooga),daytona,http://daytona.craigslist.org/rid/3313481258.html,"ride share! i am leaving the daytona area 10/11/12 between 3 and 5. i am going to chattanooga, tn. depending on where you are going is depending on the cost. i do want to meet you in person prior to leaving. ",2012-10-03T11:49:28-04:00,emailnotfound
airport transportation (daytona/orlando/sanford/jacksonville) (daytona),daytona,http://daytona.craigslist.org/rid/3251238259.html,"airport transportation (daytona/orlando/sanford/jacksonville) 
- local and out of town transportation. 
- all drivers have clean driving records and are very dependable, non-smoking, courteous, properly licensed, fully insured and screened for drug u [...]",2012-10-03T11:10:31-04:00,emailnotfound
