title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"reasonable rates for a  ride (denver, )",denver,http://denver.craigslist.org/rid/3417993125.html,"need a safe driver with a reliable car? my rates are very reasonable. 
thanks, 
john 303-856-8541",2012-11-18T05:58:42-07:00,emailnotfound
trying to get to houston tx  (engle wood-houston ),denver,http://denver.craigslist.org/rid/3417709214.html,hi 22 year old male trying to get home to see my son be born and to my beautiful wife and daughter. son is due the 18th of dec trying to be there on or around the 10th. my wife is tiny and dr said she's could pop at any time so if your leaving sooner [...],2012-11-17T22:20:17-07:00,emailnotfound
im looking for a ride to copper   any day have gas (ned boulder ),denver,http://denver.craigslist.org/rid/3417670082.html,my name is ben and im a 25year old skier with a broken down car at the moment ill provide half the gas and all the grass email me and ill text or call you back in mins p.s i have my own skis so i would need room for that as well ,2012-11-17T21:42:49-07:00,emailnotfound
denver to coeur d alene id/spokane wa (ft collins),denver,http://denver.craigslist.org/rid/3417439432.html,will be leaving ft collins around noon sunday the 18th. driving strait though. i am a laid back 4:20 friendly family man trying to save some gas money and help some one out if i can. e mail though cl or call/text @ 208 818 two4five2,2012-11-17T18:48:14-07:00,emailnotfound
share the driving from north carolina to colorado (colorado springs),denver,http://denver.craigslist.org/rid/3417318284.html,"hi, my dad will have room for 1 person (and a couple suitcases) in a fairly full subaru outback & needs to share the driving. his car is an automatic with cruise control. he plans to drive about 8 hours a day. he will pay for gas. he plans to leave h [...]",2012-11-17T17:34:58-07:00,emailnotfound
offering rides to breck/keystone,denver,http://denver.craigslist.org/rid/3396615002.html,i am offering rides to breck or keystone this weekend for $20 roundtrip. meet at the dinosaur parking lot in the morning. leave in the afternoon. please send your phone number and i will text you more info...,2012-11-17T17:27:28-07:00,emailnotfound
"oma to phx  via denver, 12-21/back 12-28  mty car (going oma to phx-can go several ways)",denver,http://denver.craigslist.org/rid/3404654137.html,"leaving oma 12-21 for phx for sons b-day and christmas, visiting friends, returning dept phx 12-28. mty car going down but picking up few things coming back so probably 1 bag limit. split gas...drive straight thru so no room costs or awkward position [...]",2012-11-17T17:13:22-07:00,emailnotfound
ride offered: denver to grand junction/montrose (i-70 westbound),denver,http://denver.craigslist.org/rid/3417238224.html,"departing denver sunday, nov 18 early afternoon. driving west along i-70 to grand junction...then south on hwy 50 to montrose. room for polite, easy-going, non-smoking passengers in double-cab pickup. gas money required. ",2012-11-17T16:50:52-07:00,emailnotfound
"seeking rideshare from denver to las vegas (2 riders) end of november (denver, co)",denver,http://denver.craigslist.org/rid/3417181644.html,"2 brothers seeking rideshare to las vegas the end of november to meet with family for a small trip. the exact dates are november 30th to december 3rd, but leaving a bit late or leaving a bit early might be alright. 
we can pitch in an equal share for [...]",2012-11-17T16:20:54-07:00,emailnotfound
offered denver to sacramento,denver,http://denver.craigslist.org/rid/3417130280.html,leaving sunday evening. gas contribution a must.,2012-11-17T15:54:43-07:00,emailnotfound
