title,postingFrom,permalink,shortDescription,postingDate,mailToLink
looking for a ride? (northwest d.m.),desmoines,http://desmoines.craigslist.org/rid/3415819625.html,"i am a clean cut non-smoker offering rides during the day or early evening. i have a nice, clean and insured vehicle and live on the northwest side of town. if interested, give me a call @ 975-4790 and see if we can work something out!",2012-11-17T07:09:11-06:00,emailnotfound
real transportation offered (des moines),desmoines,http://desmoines.craigslist.org/rid/3415618822.html,i can take you where you need to go in a comfortable safe vehicle... you can get ahold of me anytime through the ad and i will get right back with you........... prices vary and can be negotiable. hope to hear from you. i also do delivery and errands [...],2012-11-17T01:39:13-06:00,emailnotfound
1 megabus ticket to chicago--central station (roosevelt area),desmoines,http://desmoines.craigslist.org/rid/3413060649.html,"i have a one way ticket to chicago on tuesday the 20th @8am from des moines going to central station in downtown chicago. ticket was originally purchased for $41. i'm selling for $25, obo. i'm now getting a ride there with a friend and would really l [...]",2012-11-15T22:19:41-06:00,emailnotfound
iowa to wisconsin-  (cedar rapids),desmoines,http://desmoines.craigslist.org/rid/3413013271.html,"hi: 
i hope to find a ride to wisconsin for thrusday nov 22 thanksgiving- or leave on friday afternoon. its a four hour drive from cedar rapids striaght to wisconsin (mid state) fond du lac. 
hwy 151 past madison. one day- or a few days- 
i am in sch [...]",2012-11-15T21:45:53-06:00,emailnotfound
anyone going to minneapolis (windsor height - des moines),desmoines,http://desmoines.craigslist.org/rid/3412874509.html,looking for a ride to minneapolis ill pay gas please let me know call me at 5157073486 want to go tomorrow at 11 .,2012-11-15T20:19:32-06:00,emailnotfound
anywhere south around dec. 1-ish (warmer weather),desmoines,http://desmoines.craigslist.org/rid/3409410045.html,"im beginning a lengthy back-packing trip through the southern states out of omaha, ne around the beginning of december. would love to catch a ride out of the real cold weather to jump start my trip. it'll just be me and my backpack. no dog :(. please [...]",2012-11-14T12:00:35-06:00,emailnotfound
"ride needed thur mornin 11/15 (davenport,ia to elkhart,in)",desmoines,http://desmoines.craigslist.org/rid/3409220743.html,"i need a ride from davenport,iowa to elkhart,indiana thurs mornin i'm willin to share in gas from a to b if your headed that way swm 40 clean cut good guy just me and my gym bag??? if you can help plz contact rick 810-9double nickle-1069 thx",2012-11-14T10:52:43-06:00,emailnotfound
"ride needed to madison, wisconsin, or dubuque iowa, or near fri 16 nov (ames)",desmoines,http://desmoines.craigslist.org/rid/3395188591.html,"i need a ride from ames ia, to madison wi on friday 16 november or thursday night or saturday morning would also work for me. any place close to madison is fine too. 
i'll pay for the gas. thanks!",2012-11-14T00:11:06-06:00,emailnotfound
wanted ride to nebraska  (ames or des moines),desmoines,http://desmoines.craigslist.org/rid/3388943400.html,"does anyone drive to lincoln or omaha tomorrow (friday) afternoon or evening? if so, i'd like to catch a ride and i am willing to pay for gas, etc. thanks!",2012-11-13T16:57:51-06:00,emailnotfound
looking for a ride? (northwest d.m.),desmoines,http://desmoines.craigslist.org/rid/3381069949.html,"i am a clean cut non-smoker offering rides during the day or early evening. i have a nice, clean and insured vehicle and live on the northwest side of town. if interested, give me a call @ 975-4790 and see if we can work something out!",2012-11-13T07:53:22-06:00,emailnotfound
"headed to the north pacific coast? (pdx, or)",desmoines,http://desmoines.craigslist.org/rid/3405417439.html,"leaving for portland this saturday or sunday. does anyone want a ride out there? i'd love for some help with the driving and/or cash, and i could drop you along the way or possibly take you farther. i'm also coming back the following weekend if your  [...]",2012-11-12T17:29:47-06:00,emailnotfound
ride to st. louis (des moines -&gt; st. louis),desmoines,http://desmoines.craigslist.org/rid/3405356504.html,i am going to st. louis to meet up with a friend for thanksgiving and i am looking for a ride there. interested? email and we cant talk. thanks! :d,2012-11-12T17:03:02-06:00,emailnotfound
"heading to portland, or a.s.a.p drivers needed. (all of iowa)",desmoines,http://desmoines.craigslist.org/rid/3388500234.html,"we are driving to portland, or in a 2001 minivan. if you have gas money and a driver's license we will be more than happy to take you there or drop you anywhere on the way. call 309 333 9197 and ask for justin. 2 seats available.",2012-11-12T16:54:39-06:00,emailnotfound
rideshare from des moines to chicago on i 80 east (des moines to chicago),desmoines,http://desmoines.craigslist.org/rid/3404493710.html,"hi there! i will be leaving des moines at the end of the week to visit my brothers in chicago. early next week i will head back home to phoenix and can take offer rides to the west coast as well. feel free to email me with any questions. thanks! 
tom",2012-11-12T11:50:30-06:00,emailnotfound
misty lynn to texas (des moines),desmoines,http://desmoines.craigslist.org/rid/3402309477.html,23 yrs old female needs a ride to texas... i gott go home for the holidays and get my dog. i have some gas money,2012-11-11T12:13:08-06:00,emailnotfound
to 7000 vista parkway,desmoines,http://desmoines.craigslist.org/rid/3400049634.html,"need ride to wells fargo during week (maybe saturdays). have to be at work at 10 a.m., off at 7 p.m. (2 p.m. on sat.). willing to go earlier if necessary. will help with gas. from the drake area. starting after thanksgiving.",2012-11-10T10:56:52-06:00,emailnotfound
needing ride to arizona  (des moines),desmoines,http://desmoines.craigslist.org/rid/3363090509.html,basically i need to get as close as i possibly can to arizona! female 19 and if you're coming back would be great too!,2012-11-10T10:55:16-06:00,emailnotfound
need ride to mn for thanksgiving,desmoines,http://desmoines.craigslist.org/rid/3399854809.html,"looking to leave anytime on wednesday the 21st and back on sunday the 25th. need dropping off anywhere around the twin cities. will help pay for gas. 
thanks!",2012-11-10T09:37:33-06:00,emailnotfound
need a car driven to calif? (des moines or sioux falls to calif),desmoines,http://desmoines.craigslist.org/rid/3397881453.html,"will drive your vehicle to california for you. responsible, 50s, female. ",2012-11-09T11:51:03-06:00,emailnotfound
looking for a ride? (northwest d.m.),desmoines,http://desmoines.craigslist.org/rid/3331239480.html,"i am a clean cut non-smoker offering rides during the day or early evening. i have a nice, clean and insured vehicle and live on the northwest side of town. if interested, give me a call @ 975-4790 and see if we can work something out!",2012-11-09T05:34:34-06:00,emailnotfound
"i need a ride to denver for nye  (dsm to denver, co)",desmoines,http://desmoines.craigslist.org/rid/3396565390.html,"headed to the broomfield, co for a three night concert. would like to leave ia dec 27th or 28th and return the 1st. can throw in for gas or if anyone would like to split a car rental that would be cool too. ",2012-11-08T19:20:53-06:00,emailnotfound
heading west (fort collins colorado),desmoines,http://desmoines.craigslist.org/rid/3396300873.html,"i'm heading out later tonite or early tomorrow, if ya need a ride between ames, iowa and cheyenne, wyoming. call me asap @ 970 402-9522 
alan",2012-11-08T17:06:14-06:00,emailnotfound
