title,postingFrom,permalink,shortDescription,postingDate,mailToLink
offer: seattle - pdx - pendleton & back (bainbridge),eastoregon,http://eastoregon.craigslist.org/rid/3417426819.html,"leaving sat @ 6pm from bainbridge island, south of i-5 to portland. tomorrow morning leaving pdx area to pendleton. 
trip back leaves monday morning, 11/19, from pendleton -&gt; portland -&gt; bainbridge / seattle area. 
call/text if you need a ride. [...]",2012-11-17T17:40:10-08:00,emailnotfound
bakercity to portland,eastoregon,http://eastoregon.craigslist.org/rid/3417169580.html,"i'm looking for someone who can transport a cat from bakercity to portland. i will pay you $50 upon delivery. i would like to do this as soon as possible. respond to this ad via email or call me at 503-995-7053 if you are interested. 
thanx dave",2012-11-17T15:14:36-08:00,emailnotfound
rideshare (baker to boise),eastoregon,http://eastoregon.craigslist.org/rid/3415619616.html,looking for a ride to boise anytime on 11-17. sooner the better please email or call 541-519-8899. gas money not a problem thankyou,2012-11-16T23:40:24-08:00,emailnotfound
"bend, or to central/eastern wa (saturday 11-17) (bend, or)",eastoregon,http://eastoregon.craigslist.org/rid/3413792222.html,"i am looking for a ride from bend, or to central/eastern wa. looking to go up hwy 97. my finial destination is ephrata, but just need to get close so yakima, ellensburg, or george. all work for me. i will help with gas. i am looking to leave saturday [...]",2012-11-16T08:00:06-08:00,emailnotfound
la grande to portland or seattle (la grande),eastoregon,http://eastoregon.craigslist.org/rid/3412490757.html,college student looking for ride from la grande to either portland or seattle/tacoma area on monday or tuesday (november 19 or 20). just need one way. will pitch in for gas. please reply to the link above (@comm.craigslist.org) and put rideshare in s [...],2012-11-15T15:02:36-08:00,emailnotfound
ride offered: pendleton to portland 11/19 (pendleton),eastoregon,http://eastoregon.craigslist.org/rid/3412354540.html,offering a ride from pendleton to portland or anywhere in between on 11/19 early morning to share gas. please email me if interested. can take up to 2 people. ,2012-11-15T14:02:13-08:00,emailnotfound
union to eugene (union),eastoregon,http://eastoregon.craigslist.org/rid/3410987337.html,"i'm moving back to eugene. i have a small load of stuff i need to take to the eugene area. it would fit in a small truck or minivan, you get the idea. i have gas money and will be ready to go when you are. 
thanks got reading ",2012-11-15T01:18:18-08:00,emailnotfound
looking for rideshare  (from lagrande),eastoregon,http://eastoregon.craigslist.org/rid/3402923845.html,"hi, i am looking for anybody who travels from lagrande oregon to umatilla. i do not have a working car but i am willing to pitch in for gas. if anybody goes over there often, please get back to me. thank you!",2012-11-11T15:01:19-08:00,emailnotfound
ride offered pendleton to salt lake city tomorrow afternoon ,eastoregon,http://eastoregon.craigslist.org/rid/3378555670.html,i have one or two seats available (depending on luggage) to ride along with me to salt lake city tomorrow afternoon. i am leaving yakima wa around noon. i drive a ford focus. ,2012-10-31T21:29:18-07:00,emailnotfound
la grande to roseburg offered (anywhere along the 84w then 5s),eastoregon,http://eastoregon.craigslist.org/rid/3373925272.html,"monday : leaving la grande 
tuesday: going west on the 84 to portland 
then going south on the 5 to roseburg 
cash grass or ass cuz no-body rides for free: 
mike 541 656 9477 ",2012-10-29T19:12:02-07:00,emailnotfound
baker city to roseburg offered (anywhere along the 84w then 5s),eastoregon,http://eastoregon.craigslist.org/rid/3373233510.html,"monday 1:30: leaving baker city now 
going west on the 84 to portland 
then going south on the 5 to roseburg 
cash grass or ass cuz no-body rides for free: 
mike 541 656 9477",2012-10-29T13:23:04-07:00,emailnotfound
pendleton to the dalles or warm springs (wildhorse),eastoregon,http://eastoregon.craigslist.org/rid/3370419744.html,"hello, 
i am hitchhiking from pendleton to the dalles and then to warm springs. 
if you can give me a ride, i'll be walking along i-84 wearing khakis, black 
osu sweater, and black osu back pack.",2012-10-28T08:24:55-07:00,emailnotfound
"ride offered; baker city, oregon, tri-cities, yakima, ellensburg (seattle, kirkland, wa)",eastoregon,http://eastoregon.craigslist.org/rid/3369640731.html,"i am driving from baker city, oregon west to seattle via hiway 84, then north on 82 at hermiston. if you need a ride to any cities along the way, email me. 
i am leaving sometime late morning between november 1st & 5th... i don't know yet. i am drivi [...]",2012-10-27T17:48:05-07:00,emailnotfound
ride offered la grande to moses lake thanksgiving,eastoregon,http://eastoregon.craigslist.org/rid/3355222320.html,"leaving wednesday morning, going through tri-cities up to moses lake. ride offered for help with gas money. can drop anywhere along the way... ",2012-10-21T14:58:17-07:00,emailnotfound
ride offered la grande to bend 11/2,eastoregon,http://eastoregon.craigslist.org/rid/3355216279.html,"headed to bend on friday november 2nd after school 2:30ish. ride offered for help with gas money. can drop anywhere in between here and there... even a return trip if you'd like to come back this way sunday... i need to be back by 6pm.. 
thanks for r [...]",2012-10-21T14:55:13-07:00,emailnotfound
needing a ride from pendleton to pdx (pendleton),eastoregon,http://eastoregon.craigslist.org/rid/3318647336.html,"i'm flying out to virginia from pdx on the morning of friday, october 19th. i am leaving from work in pendleton and can leave any time after 4:30 pm on thursday, october 18th. as long as i get to the airport before 5 am on friday, i am good to go. i  [...]",2012-10-16T06:48:13-07:00,emailnotfound
central oregon area to pendleton (warm springs),eastoregon,http://eastoregon.craigslist.org/rid/3341825358.html,"hey everybody, 
if any of you from pendleton travel to the central oregon area often. 
i could sure use a ride on october 26, 2012, 
i live in warm springs, so that means i'd ask you to swing through my town 
to pick me up and drop me off at wildhors [...]",2012-10-15T18:59:35-07:00,emailnotfound
pendleton - portland.  10 -18 / 10-19 (portland  can share gas),eastoregon,http://eastoregon.craigslist.org/rid/3334567909.html,"need ride thurs or early friday. can share gas. have used cl before and met cool people. 
daughter graduating vet school need to attend. good conversationalist but due tend to lean to the left. 
you can e-mail me or reach me on my phone 541 663 6300. [...]",2012-10-12T13:02:39-07:00,emailnotfound
on 10-11 or 10-12 need ride to bend area (baker city),eastoregon,http://eastoregon.craigslist.org/rid/3318265638.html,"i will pitch in for gas and would love to get to bend, oregon from baker city, oregon. any time of day or night would work great for me. thanks!",2012-10-09T10:49:11-07:00,emailnotfound
truck drivers: friendly dog needs ride to oregon (salt lake city to oregon),eastoregon,http://eastoregon.craigslist.org/rid/3318501519.html,"women's best friend desperately needs a ride to oregon to be reunited with her owner. 
we can reimburse for transportation costs. 
yellow lab, sammie, is in salt lake city, utah. she is 8 years old, friendly and well behaved. 
she will need to be pic [...]",2012-10-05T11:09:44-07:00,emailnotfound
ride offered from baker city/la grande to portland (baker city),eastoregon,http://eastoregon.craigslist.org/rid/3317905377.html,ride offered from baker city/la grande to portland/salem. just pitch in for gas $$. call or text five 03 970 5821,2012-10-05T07:04:06-07:00,emailnotfound
"offer: ontario, boise, salt lake city (la grande)",eastoregon,http://eastoregon.craigslist.org/rid/3314841431.html,"i'm headed eastbound thursday out of la grande, through baker, ontario, nampa/caldwell, boise, burley and onto my destination of salt lake city. making a straight trip through. have room for one passenger and a couple of bags. i can pick up or drop o [...]",2012-10-03T18:14:48-07:00,emailnotfound
ride offered to portland/salem (la grande),eastoregon,http://eastoregon.craigslist.org/rid/3313898164.html,ride offered thur. evening from ontario/baker city/la grande to portland/salem area. i have a mid sized suv for any cargo u may have. just pitch in for some gas $. call or text to. five 03 970 5821,2012-10-03T11:20:20-07:00,emailnotfound
can of paint needs a ride from walmart in pendleton to lagrande/elgin (elgin),eastoregon,http://eastoregon.craigslist.org/rid/3307930636.html,"i'm looking for someone who would be willing to pick up a can of paint at walmart in pendleton and bring it to either lagrande or elgin. 
please e-mail or call (541) 437-0626. 
thank you!",2012-10-02T20:14:55-07:00,emailnotfound
college student in need of ride,eastoregon,http://eastoregon.craigslist.org/rid/3311253031.html,"i'm an osu college student needing a ride from the corvallis/albany/salem area to eastern oregon. i am enroute to la grande this thursday, friday, or saturday. i will be moving my uhaul over on sunday back to corvallis. greyhound tickets are $100 and [...]",2012-10-02T09:37:08-07:00,emailnotfound
