title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride from fairbanks to anchorage (fairbanks to anc),fairbanks,http://fairbanks.craigslist.org/rid/3415636711.html,"need a ride from fairbanks to anchorage. 
any dates from 20th to 23rd november will be good. 
willing to share the cost of gas. 
drop me a text at +65nine1seven02512 or an email is good too. 
cheers! 
elvin",2012-11-16T23:07:21-09:00,emailnotfound
fairbanks to wasilla (fairbanks/north pole),fairbanks,http://fairbanks.craigslist.org/rid/3413939565.html,"i'm headed down to wasilla saturday morning and returing sunday. driving a big suv and have plenty of room, just help pitch in for gas. ",2012-11-16T07:56:00-09:00,emailnotfound
moving to fairbanks  (texas-alaska ),fairbanks,http://fairbanks.craigslist.org/rid/3413640000.html,"leaving in early december for fairbanks alaska, who wants to go? ride along good times good conversation maybe drive a little bit, asking for 100 to help cover has can take up to 3 with me, prefer other females, driving from texas to alaska hopefully [...]",2012-11-16T05:53:59-09:00,emailnotfound
seeking ride to vancouver bc (fairbanks-vancouver bc),fairbanks,http://fairbanks.craigslist.org/rid/3412805388.html,"hello, 
i am hoping to find a cheaper way home for the holidays with my dog ( a very chill and kind beast). i can only leave december 14th and onwards, and want to be back for the start of the term (jan. 15th). i would be willing to pitch in 200 or s [...]",2012-11-15T16:40:22-09:00,emailnotfound
ride offered to anchorage (fai to anch),fairbanks,http://fairbanks.craigslist.org/rid/3412529440.html,willing to go any time. i have the van if you need the ride you just need to cover the gas there. 310 4163,2012-11-15T14:20:30-09:00,emailnotfound
ride offered fai-anc (from uaf area),fairbanks,http://fairbanks.craigslist.org/rid/3412510001.html,"ride offered early morning on the 22nd (thanksgiving) or late evening of the 21st. vehicle is older subaru, reliable, with 4wd and plenty of space. split cost. i'll be returning the other way on sunday the 23rd. reply via email if interested.",2012-11-15T14:11:28-09:00,emailnotfound
willow to fairbanks,fairbanks,http://fairbanks.craigslist.org/rid/3412174941.html,"want a ride to fairbanks november 16 for a birthday party! il'm great company, fun stories, and an adorable 8 # well behaved pomeranian... gas $ too! please! call tina 207-266-5486",2012-11-15T11:47:05-09:00,emailnotfound
fairbanks to san diego via ferry (north pole),fairbanks,http://fairbanks.craigslist.org/rid/3410935170.html,"driving ford f-150 to san diego from fairbanks. willing to haul some stuff, and or person. i am taking the alaska state ferry from haines to bellingham washington.. i am willing to drop you and your stuff off anywhere along the way.. even reno or las [...]",2012-11-14T22:34:50-09:00,emailnotfound
need a ride to anch (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3408717710.html,"i am looking for a ride to anch on the 24th of this month. it would be nice if my stuff could go with me, i have three boxes and three bags. i can help with gas and would like to be down there by 5 pm if you can help me please text me at nine zore se [...]",2012-11-14T03:24:21-09:00,emailnotfound
need a ride to anchorage (fairbanks),fairbanks,http://fairbanks.craigslist.org/rid/3406032773.html,"hi. i need a ride to anchorage, in no immediate rush so whenever someone sees this and is heading that way...please let me accompany you :) im fun to talk to, swear i wont annoy you and will pitch in for gas. thanks :d ",2012-11-12T20:36:49-09:00,emailnotfound
