title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rideshare/carpool app (ios/android),flagstaff,http://flagstaff.craigslist.org/rid/3375311040.html,"hello ride-sharers/carpoolers, 
trusted by people from 475+ cities across 35 countries and growing 
using android/ios device? truly cross platform with all your preferences loaded on either device. 
you just put your start and destination on system a [...]",2012-11-18T02:45:52-07:00,emailnotfound
offer: delivery or ride,flagstaff,http://flagstaff.craigslist.org/rid/3417778373.html,"using only half of my 16 ft. truck, from little rock, ar to santa rosa, ca 11/26-12/1. open to sharing options and/or riders for companionship and to offset moving costs. ",2012-11-17T23:40:28-07:00,emailnotfound
need a ride to arizona (from n. dakota),flagstaff,http://flagstaff.craigslist.org/rid/3417708523.html,"looking to leave north dakota (jamestown, but i can get to you....) this week...preferably asap. will share gas costs. just me and my clothes need to get home stat...need a ride to arizona or as close to there as you are going???",2012-11-17T22:19:34-07:00,emailnotfound
driving to southern california,flagstaff,http://flagstaff.craigslist.org/rid/3417631362.html,"i will be driving through flag this week before thanksgiving, if you need a ride text/call me at (760)604-668four and i will pick you up while there. i am driving in from new mexico and can go through phx, kingman, laughlin or vegas any direction tow [...]",2012-11-17T21:08:22-07:00,emailnotfound
arizona to new york/ n.h. (az- ny),flagstaff,http://flagstaff.craigslist.org/rid/3417570317.html,"i am heading to new york, then new hampshire for the holiday. can be in new york for thanksgiving feast and then in new hamoshire on friday the 23rd 
dringing pickup from flagstaff to ny with dog and some bags. good amount of space for other bags/ do [...]",2012-11-17T20:19:23-07:00,emailnotfound
ride needed: flagstaff to sky harbor 11/20 (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3417431348.html,"looking for a ride share to sky harbor. i'm 24, male, looking for a ride to sky harbor airport on tuesday 11/20. my flight leaves at 3:30 so if you can get me there any time before 2:30 i'm in! will help pay for gas. ",2012-11-17T18:42:59-07:00,emailnotfound
ride needed: 1st-3rd of december (flagstaff (route 66+4th)la (greyhound)),flagstaff,http://flagstaff.craigslist.org/rid/3417208867.html,"hi there! i need to get to la greyhound station, from flagstaff arizona, can you help me out? ive got gas money, i ultimately would like to end up in portland, or. i have a back pack, and guitar. and im onme person, i dont really smokeand dont care i [...]",2012-11-17T16:35:22-07:00,emailnotfound
need ride to tucson thanksgiving day (north),flagstaff,http://flagstaff.craigslist.org/rid/3416629609.html,looking for ride to tucson thanksgiving morning. preferably early. (480)766-3597,2012-11-17T12:16:55-07:00,emailnotfound
ride available today from flagstaf to sac/reno/tahoe area (reno/tahoe/sac),flagstaff,http://flagstaff.craigslist.org/rid/3416378543.html,"hello i am leaving flagstaff sometime today to go to south lake tahoe . i can go through sacramento or reno, very flexible. i am in need of a few bucks for gas money. my name is joe winters. please call asap if interested 530-307-1565",2012-11-17T10:40:40-07:00,emailnotfound
looking for a ride from sedona to phx on wednesday 11/21 (sedona-phx),flagstaff,http://flagstaff.craigslist.org/rid/3416166101.html,wanting to get to phoenix for thanksgiving any time on wednesday the 21. i'm in central sedona. i have a have a few bags with me as i am traveling through arizona from the oregon. i'm down help with the cost of gas. hit me up if your headed that way  [...],2012-11-17T09:17:41-07:00,emailnotfound
"flagstaff, heading east (flagstaff)",flagstaff,http://flagstaff.craigslist.org/rid/3400403600.html,"sometime during the first week of january, i'm going to need to go east. my destination is a place called poteau, in oklahoma. 
however, i won't mind if someone can just get me close, within the state or just outside of the state. 
i don't have cash  [...]",2012-11-16T19:06:24-07:00,emailnotfound
"ride needed, 11/20 (flg to phx)",flagstaff,http://flagstaff.craigslist.org/rid/3415227840.html,"hey, i need a ride from flg to phx on tuesday, 11/20. anything until 3pm would be great.",2012-11-16T18:59:58-07:00,emailnotfound
ride offered - flagstaff to harrison on thu 11/29 (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3415119912.html,"i'm offering a ride from flagstaff to harrison. 
leaving november 29th. stopping by albuquerque and oklahoma city on the way. contact me on zimride: http://www.zimride.com/ride/share?ride=527803 ",2012-11-16T17:58:44-07:00,emailnotfound
ride offered 11/19-11/20 phx/tus/sierra vista (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3415070802.html,"offering a ride from flagstaff passing through phoenix, tucson and onwards to sierra vista. i will have a dog in tow, so no dog allergies, please. 
phx = $45 
tucson = $65 
sierra vista = $75 
*if your destination is waaaaaaaaaaay off the freeway, an [...]",2012-11-16T17:32:54-07:00,emailnotfound
rideshare from phx-skyharbor to sedona/voc (sky harbor),flagstaff,http://flagstaff.craigslist.org/rid/3414816357.html,"hi im shaun, i will be in phoenix on december 3rd, looking for a ride to the village of oak creek, verde valley rd. i can pay up to $30 or a small tattoo. here is a link to my portfolio&gt; http://www.facebook.com/dawgzhaustattooz 
if you're interest [...]",2012-11-16T15:31:15-07:00,emailnotfound
flag to sedona (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3414709337.html,it's 2:15 on friday. if you still need a ride my gal and i are driving my van to sedona. we have some things we want to do in flag right now and we will be leaving when we are finished in a few hours. we def need help with the gas as we are trying to [...],2012-11-16T14:45:57-07:00,emailnotfound
seeking a ride from flagstaff to quartzsite gem show! (flagstaff to quartzsite),flagstaff,http://flagstaff.craigslist.org/rid/3414542197.html,"hey, seeking a ride to the gem and mineral show in quartzsite, az. ! i would like to leave anytime before december 5th.....e-mail me back&gt; of course i can split the gas with you....dale",2012-11-16T13:38:54-07:00,emailnotfound
rider to phx tuesday offered (u 2 nau) (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3414467147.html,"thats right a comfortable ride down to phx & enviorns, tuesday morning about 830. get home for the holidays directly & more economically than the commercial shuttles or bus. ive offered this ride weekly for over 2 years. only 3 seats avail & they wil [...]",2012-11-16T13:09:56-07:00,emailnotfound
ride to sky harbor available sun pm (flag to phoenix),flagstaff,http://flagstaff.craigslist.org/rid/3413693486.html,"we are driving down sunday and should get to sky harbor area around dinner time. not going directly to airport but can drop one passenger off at terminal. must be non-smoker, respectful and polite. can discuss gas contribution. can fit smallish amoun [...]",2012-11-16T08:18:41-07:00,emailnotfound
driving from fl to ca tonight in truck for you or your stuff sat 17th (from naples to los angeles),flagstaff,http://flagstaff.craigslist.org/rid/3382431375.html,"hi... 
hubby is returning back to los angeles from naples florida leaving tonight, saturday 17th at about 5-6ish pm est. 
feel free and give me a call (much better than email and txt) to touch base if interested in a ride for you or ""stuff"" transport [...]",2012-11-16T05:43:16-07:00,emailnotfound
flagstaff to sky harbor airport (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3405008050.html,"i am looking for somebody that commutes to phx for work or is just happening to be going to phoenix to share a ride. my flight leaves december 18th at around 10am. i need to be there about an hour early, so need to leave here around 530-6am. if you w [...]",2012-11-15T23:15:20-07:00,emailnotfound
need ride flagstaff to phoenix (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3412904756.html,"hello, i'm looking for a ride to phoenix on monday 11/19. anytime works for me, i can pitch in for gas and tell you some crazy stories. i'm 27 as well not some creepy old guy. 
call bryan 406 871 9211",2012-11-15T19:37:43-07:00,emailnotfound
discount cheap travel to any state or city,flagstaff,http://flagstaff.craigslist.org/rid/3407502209.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-15T17:50:09-07:00,emailnotfound
need ride wed. 21  (flg to sky harbor),flagstaff,http://flagstaff.craigslist.org/rid/3412677821.html,"looking for a ride to sky harbor from flagstaff wed before thanksgiving. my flight leaves at 2:00 so between 9 and 11 would be ideal! i can definitely hook up at least 20 bucks and some good conversation! 
molly",2012-11-15T17:32:00-07:00,emailnotfound
the best deals on travel to any state or city look,flagstaff,http://flagstaff.craigslist.org/rid/3344338894.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-11-15T16:54:52-07:00,emailnotfound
i-40 east (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3412587222.html,"heading for amarillo texas friday or saturday, have an empty truck and can have a passenger or two. going through flagstaff, albuquerque. pitch in for gas and you have a ride. ",2012-11-15T16:47:28-07:00,emailnotfound
want hawaii partner (sedona flag),flagstaff,http://flagstaff.craigslist.org/rid/3412489169.html,"i want to move or visit hawaii, maui - dont want to go alone, would like a friend to go with. someone with same thoughts. 
dont care so much for the cold here.",2012-11-15T16:01:52-07:00,emailnotfound
ride needed- flag to california...,flagstaff,http://flagstaff.craigslist.org/rid/3412270562.html,"howdy. 
im seeking a ride to just about anywhere in california but most desirably the san francisco bay area. leaving possible any time in the next few days and at last minute no problem. just finished an awesome two week epic adventure into the dept [...]",2012-11-15T14:26:29-07:00,emailnotfound
flag to phx tommorow  (tempe),flagstaff,http://flagstaff.craigslist.org/rid/3412144323.html,driving from flag to phx tommorow leaving at noon no later. text or call 480 650 0149,2012-11-15T13:34:16-07:00,emailnotfound
flagstaff to san diego or nearby (flag to so cal),flagstaff,http://flagstaff.craigslist.org/rid/3410908018.html,"im looking for a ride from flagstaff to san diego or nearby on wednesday(day b4 thanksgiving) 
nau student trying to get home for a few days..gas money",2012-11-14T23:53:45-07:00,emailnotfound
ride needed - flagstaff to jackson on sat 12/1 (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3410423881.html,"i'm looking for a ride from flagstaff to jackson. 
leaving december 1st returning december 1st. contact me on zimride: http://www.zimride.com/ride/share?ride=533067 ",2012-11-14T17:56:07-07:00,emailnotfound
ride going to oklahoma from flagstaff (flagstaff),flagstaff,http://flagstaff.craigslist.org/rid/3410191910.html,"i plan to leave saturday morning 11-17-12. i have plenty of room. give me a call 
sheila 310-804-1414 ",2012-11-14T16:02:47-07:00,emailnotfound
leaving nov 15th for san francisco bay area (sedona),flagstaff,http://flagstaff.craigslist.org/rid/3409319336.html,"i am leaving thursday the 15th midday from sedona heading to san jose, ca. i am looking for one passenger to go either all or part of the way to sharing gas costs. please email me if interested. thank you!",2012-11-14T10:28:14-07:00,emailnotfound
12/15: ride offer to sf/bay area for you and your stuff! (flagstaff to san francisco/bay area),flagstaff,http://flagstaff.craigslist.org/rid/3409087646.html,my husband and i are moving to the bay area on saturday december 15th. we are driving both a 16' moving truck and our own car and have room for passengers. we also have room extra space in the truck for some stuff if you need anything moved. we are h [...],2012-11-14T09:01:55-07:00,emailnotfound
"ride offered from flagstaff to albuquerque to miami, fl (flagstaff to miami, fl)",flagstaff,http://flagstaff.craigslist.org/rid/3408428794.html,"i'm gonna take a road trip from flagstaff to miami around november 17th (give or take a few days), in my minivan. if you, your pet, or your stuff need a ride anywhere on the way i'd gladly try to accomodate the offer if you are trustworthy, easy to g [...]",2012-11-13T21:54:00-07:00,emailnotfound
24yo male & 6yo border collie need ride this week - abq to i-5 (albuquerque),flagstaff,http://flagstaff.craigslist.org/rid/3407184104.html,anybody going west this week? my dog gypsy and i are looking for a ride from abq to pretty much anywhere in california. we've been doing volunteer work on organic farms through the southwest or the last several weeks (wwoof program) and are now on ou [...],2012-11-13T12:03:54-07:00,emailnotfound
nau dad needs a ride home to tucson,flagstaff,http://flagstaff.craigslist.org/rid/3407027167.html,"dropped off a car to my daughter and now need to get back to the old pueblo, preferably foothills area, (river & campbell. anytime wednesday or thursday am. will help with gas or driving, good conversation, well groomed normal person. thanks, tom.",2012-11-13T11:08:08-07:00,emailnotfound
"ride wanted to phx, 11/15 am~~two easygoing people w/ gas money. (flagstaff)",flagstaff,http://flagstaff.craigslist.org/rid/3406881595.html,"hello, myself and one other are flying to minnesota on thursday. we need to be in phoenix by 2pm. 
if these requirements happen to mesh with your plan to drive to phoenix, give us a call! totally down to ride in the back of a pickup truck, or cram in [...]",2012-11-13T10:16:12-07:00,emailnotfound
artist need ride from flagstaff to vegas or washington (flagstaff az),flagstaff,http://flagstaff.craigslist.org/rid/3406178079.html,"hi im luke traveling looking to get to vegas to visit friends/family in vegas and then on to washington. im 25 good easy going sane people. i have a valid drivers license and can help with gas as well. also i am an artist, painter and tattoo artist b [...]",2012-11-13T01:49:32-07:00,emailnotfound
leaving nov 15th for san francisco bay area (sedona),flagstaff,http://flagstaff.craigslist.org/rid/3405964599.html,"i am leaving thursday the 15th midday from sedona heading to san jose, ca. i am looking for one passenger to go either all or part of the way to sharing gas costs. please email me if interested. thank you!",2012-11-12T21:35:57-07:00,emailnotfound
ride needed to phx-thursday (phoenix),flagstaff,http://flagstaff.craigslist.org/rid/3405845910.html,"i need a ride to the valley this thursday afternoon or evening. if your looking for some help with gas money or going in that direction you can contact me at (480) 459-6432, my name is olin.",2012-11-12T20:12:21-07:00,emailnotfound
