title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"sit back relax and enjoy very low rates 4 your next ride day or night! (licensed* insured*broward, dade, long distance!)",fortlauderdale,http://miami.craigslist.org/brw/rid/3400959589.html,"hi, do you need a ride to the airports, all the seaports, errands, nightlife, the doctors, shopping, social and sporting events, casinos, the beaches, dolphins or heat games, south beach, local or long distance etc. just call me and i will be there f [...]",2012-11-18T05:02:18-05:00,emailnotfound
carpool/rideshare app (ios/android),fortlauderdale,http://miami.craigslist.org/pbc/rid/3371880623.html,"450 cites, 35 countries 5 continents and growing ...... 
you have car and smartphone.. post your ride offer 
you have smartphone and no car.. post your ride request. 
see the match... and connect right away. 
all on the go! no more wait! post multipl [...]",2012-11-18T04:47:09-05:00,emailnotfound
leavin from miami to go to orlando/gainsville/tall (coconut grove),fortlauderdale,http://miami.craigslist.org/mdc/rid/3417867532.html,"leaving from tallahassee heading north to tallahassee tomorrow between 10am and 1pm. 
driving an suv so i have space if you are willing to share gas expenses and driving duties. 
-sam",2012-11-18T04:08:23-05:00,emailnotfound
airport and seaport rides (south florida to/from treasure coast),fortlauderdale,http://miami.craigslist.org/mdc/rid/3406077623.html,"call john at 772-985-5100 to book your private transportation to florida cruise ports or airports at very reasonable prices and discounts from the port saint lucie and stuart area. professional, friendly and courteous service. same price for 1, 2 or  [...]",2012-11-18T01:13:17-05:00,emailnotfound
$39 to naples/ft. myers/sarasota/bradenton or tampa (miami/ft. lauderdale),fortlauderdale,http://miami.craigslist.org/mdc/rid/3368048079.html,"the regular fare is $50, however if you see this add on craigslist you will only pay $39, here is a coupon code 12122012, book online at http://www.floridaredlineshuttle.com/ or call 1.800.591.2522 
do not call to ask how much is the fare ($39) 
you  [...]",2012-11-17T21:31:20-05:00,emailnotfound
transportation cheap rides (all area),fortlauderdale,http://miami.craigslist.org/brw/rid/3417299157.html,"(cracking down on a drivers in south florida beware) 
to all travelers beware of all transportation on craigslist. people on here do not have a company or proper permits. 
there are many individuals looking to make some cash on the side and not legal [...]",2012-11-17T19:24:08-05:00,emailnotfound
i am heading to philly can transport (from boca raton),fortlauderdale,http://miami.craigslist.org/pbc/rid/3378880880.html,"i am heading to philadelphia on november 21, 2012. i have a full size tundra and an empty 6' x 12' trailer , i am able to tow or transport small freight if you are in need of getting an item to the area. i will not be able to transport any animals. p [...]",2012-11-17T15:59:31-05:00,emailnotfound
driver needs work has hack lic.  (resides in broward),fortlauderdale,http://miami.craigslist.org/brw/rid/3365696508.html,airport runs or any tricounty area ride after 6pm only average $85. per mile - min. $20. - call anthony - 954 643-2543 -,2012-11-17T15:42:04-05:00,emailnotfound
seeking ride to fort myers beach (from south miami),fortlauderdale,http://miami.craigslist.org/mdc/rid/3416801924.html,"i""m seeking a one-way ride to fort myers beach this monday or tues 
and, please don't ask me what i'm willing to pay; simply quote your rate. 
happy holidays! :)",2012-11-17T15:26:29-05:00,emailnotfound
never pay high prices 4 rides ever again! call 954-735-5691 day/night! (lauderdale*miami*airports*nightlife*south beach*licensed*ins),fortlauderdale,http://miami.craigslist.org/mdc/rid/3409967751.html,"tired of paying the high price of a ride???? well it stops now!!! all you have to do is call 954-735-5691 for a safe, dependable, licensed and insured ride, for any situation you might have around the clock, day or night!!! no hidden costs, no meters [...]",2012-11-17T14:32:54-05:00,emailnotfound
