title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride (nashville tn to el paso tx),fredericksburg,http://fredericksburg.craigslist.org/rid/3416129854.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-17T11:02:52-05:00,emailnotfound
rideshare west (west),fredericksburg,http://fredericksburg.craigslist.org/rid/3411881282.html,"hi, 
i'm 21, from england and travelling around the states for a while. 
i would like to head west from virginia (and hopefully reach the west coast). i would like to set of sometime after thanksgiving. 
i would be really happy to ride share if you a [...]",2012-11-15T13:52:16-05:00,emailnotfound
northern virginia to daytona (warrenton va),fredericksburg,http://fredericksburg.craigslist.org/rid/3407539294.html,pick-up and trailer going to daytona for turkey rod run. leaving monday november 19 early am. will consider all options for ride share. please respond no later than nov. 16.......craig ,2012-11-13T16:15:44-05:00,emailnotfound
"fredericksburg to orlando, fl",fredericksburg,http://fredericksburg.craigslist.org/rid/3376377238.html,"we're going to florida for the christmas holiday. we have three people, can fit one more (could fit two, but i don't think it would be comfortably). we are leaving dec. 23rd, early morning, probably around 3am or 4am. we're hoping to be near orlando  [...]",2012-11-11T21:11:56-05:00,emailnotfound
ontime limousine & sedan service,fredericksburg,http://fredericksburg.craigslist.org/rid/3335225523.html,"just relax...you are with our destination management company, a full service accredited and licensed virginia transportation company. we will provide you with professional and courteous service at a fair rate for services with immaculate vehicles to  [...]",2012-11-10T13:37:03-05:00,emailnotfound
need immed ride to pain mgmt (falls church),fredericksburg,http://fredericksburg.craigslist.org/rid/3395226172.html,"i have an appointment at 3:00 that i can not miss. i do not have money for gas, but will be very grateful if you could give me a ride to the pharmacy and back to potomac mills area ",2012-11-08T11:10:34-05:00,emailnotfound
"few boxes need ride to mo (to springfield, mo)",fredericksburg,http://fredericksburg.craigslist.org/rid/3394440175.html,"i have some things from my father's estate i would like to get brought to missouri. there are a few boxes, on up to a small aluminum boat that could ride in a pick up. if you are heading west and can use a little gas money; quiet travel companions (i [...]",2012-11-07T22:45:11-05:00,emailnotfound
driver for hire (fredericksburg area),fredericksburg,http://fredericksburg.craigslist.org/rid/3394179425.html,"safe, reliable driver for hire to get you where you need to go. 
no insane people or gay stuff please.",2012-11-07T20:05:17-05:00,emailnotfound
"looking for a ride to navy yard (spotsy, fred, stafford)",fredericksburg,http://fredericksburg.craigslist.org/rid/3380950308.html,"as the posting title says i am looking for round-trip transportation to navy yard area of washington, d.c. from the fredericksburg area. 
open to car pools or van pools. 
no spam please.",2012-11-02T02:45:48-04:00,emailnotfound
foxpoint subdv- vre (fredericksburg),fredericksburg,http://fredericksburg.craigslist.org/rid/3378498268.html,new to area would like to see if i can catch a ride to the vre from foxpoint subdivision. call deb 757-739-8120. ,2012-10-31T23:33:12-04:00,emailnotfound
