title,postingFrom,permalink,shortDescription,postingDate,mailToLink
going to duluth (grand forks area),grandforks,http://grandforks.craigslist.org/rid/3398833437.html,"i want to go to duluth, but need help with gas. if you want to go give me a call or text. 218-791-062seven. 
my schedule is pretty flexible, but would be thinking about one or two nights. ",2012-11-15T12:32:47-06:00,emailnotfound
ride shares along my trip (grand forks-minot- pts along to alaska ),grandforks,http://grandforks.craigslist.org/rid/3405184988.html,early december driving threw grand forks. i am heading up to alaska and plan to transit threw the northern tier of usa. minot nd. is my last major city going threw in usa before crossing the border. i can deviate slightlyoff my route. if you want to  [...],2012-11-12T15:53:51-06:00,emailnotfound
grand forks to minneapolis,grandforks,http://grandforks.craigslist.org/rid/3383856823.html,"2 travellers in need of being dropped off in minneapolis, one male and one female, we're lighthearted and would be extremely greatful! thank you!",2012-11-03T11:01:59-05:00,emailnotfound
headed west (michigan to west dakota ),grandforks,http://grandforks.craigslist.org/rid/3372912375.html,i'm on my way back to williston north dakota so if you need a ride west i could use the gas money i should be in duluth around 11 pm grand rapids 1230 am bemidji 2 am grand forks 430 am call text 586 651 68hundred thanks zac,2012-10-29T13:18:18-05:00,emailnotfound
going north from grand forks? ride needed (gf to exit 200),grandforks,http://grandforks.craigslist.org/rid/3372908008.html,"i need a ride north from grand forks' airport. i'm headed to hallock mn, about 10 minutes east of the highway. i'm totally willing to help with some gas money, hope to hear from someone!!!",2012-10-29T13:16:41-05:00,emailnotfound
central oregon nov 9th (grand forks),grandforks,http://grandforks.craigslist.org/rid/3363098215.html,im heading to central oregon on the 9th of november possibly looking for someone who is headed that way & may be in need of a ride.... would need you to pitch in for gas & can drop off anywhere along the trip if needed! if interested please email asa [...],2012-10-24T21:26:50-05:00,emailnotfound
fargo to grand forks 5:00pm (fargo),grandforks,http://grandforks.craigslist.org/rid/3350023618.html,"can be earlier, but no later than 5:00pm today 
return to fargo next tuesday 11:00pm.",2012-10-19T11:04:25-05:00,emailnotfound
wanted: ride to winnipeg ,grandforks,http://grandforks.craigslist.org/rid/3339546260.html,"i would like to surprise the woman i love by showing up on christmas day - she lives in winnipeg 
i can get a train to grand forks from where i am but busses are terrible from grand forks to winnipeg 
wondering if anybody might be making this trip fo [...]",2012-10-14T22:30:07-05:00,emailnotfound
egrand to crookston 4 harvest 8pm to 8am (east grand forks),grandforks,http://grandforks.craigslist.org/rid/3326416531.html,"i have room for two or three during harvest call ""to 1 eght-3zero3-to993",2012-10-09T05:13:44-05:00,emailnotfound
pickup going to kentucky (gf-fargo-mpls-ky),grandforks,http://grandforks.craigslist.org/rid/3322392108.html,"driving a small pickup to kentucky. room for 1 passenger, maybe 2 and stuff. leaving grand forks/fargo on afternoon/evening of friday, oct. 12, staying in minneapolis that night, driving to lexington, ky, next day. 
stops in between could be arranged [...]",2012-10-07T10:31:57-05:00,emailnotfound
need ride to ca (bay area or close),grandforks,http://grandforks.craigslist.org/rid/3318132055.html,my names's jim and i need a ride to the bay area. i only have one suitcase and can help pay for gas and help drive. i'd like to leave by tuesday the 9th. thanks for your time.,2012-10-05T10:40:02-05:00,emailnotfound
