title,postingFrom,permalink,shortDescription,postingDate,mailToLink
11th i need a ride from shelby to great falls  (shelby to great falls),greatfalls,http://greatfalls.craigslist.org/rid/3393000386.html,will help with gas im going to need a ride the 11th from shelby to great falls text or call sean 406 564 3558,2012-11-07T10:07:03-07:00,emailnotfound
bozeman--&gt;great falls 11/19,greatfalls,http://greatfalls.craigslist.org/rid/3379582300.html,i'm looking for a ride from bozeman to great falls on november 19th. the only thing i ask is that we could please be there by 6pm as i have a flight to catch. have gas money and great company :) ,2012-11-01T11:58:33-06:00,emailnotfound
ride to sheridan wy n back i got gas$ n food $  (great falls mt ),greatfalls,http://greatfalls.craigslist.org/rid/3378592814.html,i have the $ for gas n food i need a ride to sheridan wyoming n back to greatfalls. please someone can u help me out!! ,2012-10-31T23:11:43-06:00,emailnotfound
heading south (el paso/phoenix/),greatfalls,http://greatfalls.craigslist.org/rid/3365814450.html,"hi, i'm just kind of seeing what is out there right now. i'm looking for a ride to one of the following cities, my ultimate destination is phoenix by the 24th of november or el paso by the 23rd.. i have a family emergency and need to meet my ride in  [...]",2012-10-26T05:05:22-06:00,emailnotfound
from williston nd to great falls (williston),greatfalls,http://greatfalls.craigslist.org/rid/3365314256.html,need a ride from williston nd to great falls on sunday or monday. call 701 580 4841.,2012-10-25T19:06:59-06:00,emailnotfound
need ride from gf to missoula (great falls -&gt; missoula),greatfalls,http://greatfalls.craigslist.org/rid/3364802863.html,need a ride from great falls to missoula friday october 26 will pay for all the gas. call four zero six 965 two two one four,2012-10-25T14:56:53-06:00,emailnotfound
ride needed to yellowstone park (great falls to mammoth),greatfalls,http://greatfalls.craigslist.org/rid/3348167998.html,"hi everybody! i'm valerie, currently on an around the world trip and west america is my first stop. 
at great falls at the moment, looking for a ride to yellowstone park in thoses coming days, or at least somewhere nearby! 
thank you in advance for y [...]",2012-10-18T13:02:27-06:00,emailnotfound
female looking for a ride from greatfalls mt to siouxfalls sd (greatfalls),greatfalls,http://greatfalls.craigslist.org/rid/3334240478.html,"i am looking for a ride from greatfalls montana to siouxfalls southdakota or mitchell southdakota, i have posted before and no luck yet. errrr... i am funny and do talk alot so ill keep you entertained lol. i do have a small dog and that is why i can [...]",2012-10-12T11:59:18-06:00,emailnotfound
need ride from great falls to shelby (great falls airport),greatfalls,http://greatfalls.craigslist.org/rid/3330113044.html,"hi if you can help me with a ride tomorrow afternoon. my plane arrives in great falls and i need to get up to shelby to visit my family..thank you..please call me at or text me (408)637-8007. 
michael",2012-10-10T15:56:30-06:00,emailnotfound
need ride from gf to missoula (great falls -&gt; missoula),greatfalls,http://greatfalls.craigslist.org/rid/3316941627.html,"24 year old male graduate from um looking for a ride to missoula (from great falls) this weekend or early next week. i got cash to help pay for gas, and more importantly i'll keep you company. give me a call, 406-581-2986.",2012-10-04T17:10:32-06:00,emailnotfound
