title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ride offered from greensboro to savannah, ga sunday (greensboro)",greensboro,http://greensboro.craigslist.org/rid/3417845175.html,"driving a honda pilot, heading towards savannah ga (220/i74 south towards florence, sc then i-95 south) 
will be leaving greensboro at about 1 pm. 
if you need a ride along this way, please contact me. safety is #1. ",2012-11-18T03:24:43-05:00,emailnotfound
2013 passion conference (greensboro area to atlanta),greensboro,http://greensboro.craigslist.org/rid/3417695776.html,"anyone/group traveling to passion conference 2013 in atlanta, jan 1-4, it would be ideal to join a group and share expenses, 22 y/o christian male",2012-11-18T00:07:01-05:00,emailnotfound
share driving my car (high point to denver),greensboro,http://greensboro.craigslist.org/rid/3417335634.html,"leaving high point, nc on tues., 11/20 or wed., 11/21. destination is colorado springs, co. i have a subaru outback, automatic, with cruise control. i'll pay for the fuel, food and tolls. need help with the driving. have room for only one non-smoker, [...]",2012-11-17T19:44:55-05:00,emailnotfound
need ride (nashville to el paso),greensboro,http://greensboro.craigslist.org/rid/3416126845.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-17T11:01:37-05:00,emailnotfound
need ride  (nashville to el paso),greensboro,http://greensboro.craigslist.org/rid/3416124103.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap. ,2012-11-17T11:00:28-05:00,emailnotfound
need a ride?? contact me!! (north/south carolina),greensboro,http://greensboro.craigslist.org/rid/3386365280.html,"rides offered through out north/south carolina 
prices are much more cheaper then taxi fare and i do affordable weekly rates based on your income!! so call, text or even e-mail me now!! : )) 
(7 days a week 6am-12am = midnight)i'm available all day e [...]",2012-11-16T13:42:47-05:00,emailnotfound
need a ride (washington dc area),greensboro,http://greensboro.craigslist.org/rid/3414099337.html,"need a ride to the washington dc area wednesday or tuesday before thanksgiving.call 336 458 6531 if available.currently in greensboro.prefer a call vs 
e mail response.",2012-11-16T12:54:04-05:00,emailnotfound
need ride or rider triad to asheville most anytime (winston-salem),greensboro,http://greensboro.craigslist.org/rid/3413843095.html,i am looking for a ride or rider (1) heading to asheville anytime. i have a dodge grand caravan. i can usually stay in asheville for a few days.....or just a day or two is fine. chuck 336-469-8097,2012-11-16T11:20:06-05:00,emailnotfound
ride offered - high point to atlanta on wed 10/31 (high point),greensboro,http://greensboro.craigslist.org/rid/3371558533.html,"i'm offering a ride from high point to atlanta. 
leaving october 31st returning november 3rd. every week for the next 3 weeks i'll be traveling up saturday evening to high point nc and coming back to atlanta ga on wednesday. i drive a nice gas effici [...]",2012-11-16T11:11:18-05:00,emailnotfound
driving opportunity - take people to dr. appts (greensboro area),greensboro,http://greensboro.craigslist.org/rid/3348903784.html,"boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be customer [...]",2012-11-16T10:50:47-05:00,emailnotfound
going to ohio on sunday and returning monday (i-40 / i-77 ),greensboro,http://greensboro.craigslist.org/rid/3408563609.html,"will be coming thru greensboro / winston area on sunday and can stop anywhere along i-77 in va, wv then up hwy 35 and i-75 in ohio 
headed back toward nc on monday and will only have room for 1 passenger and luggage",2012-11-14T02:31:33-05:00,emailnotfound
looking for a ride to/from wilmington for thanksgiving. (gso),greensboro,http://greensboro.craigslist.org/rid/3405733001.html,hi! i live and work and greensboro and my job prevents me from leaving before thanksgiving to meet my family in wilmington. i am able to take the train thursday but would prefer a ride if possible. i also need a ride back friday to greensboro and nee [...],2012-11-12T21:05:56-05:00,emailnotfound
ride offered - heading up the coast (greensboro),greensboro,http://greensboro.craigslist.org/rid/3403027664.html,"hi, 
i am in the middle of a roadtrip that started in minnesota and will be ending up in the northeast. i'm visiting a friend here in greensboro and will be heading up the coast toward maryland, washington d.c., new york, connecticut, and could poten [...]",2012-11-11T18:55:39-05:00,emailnotfound
ride to bonita springs/ sw fl.,greensboro,http://greensboro.craigslist.org/rid/3401819031.html,"looking for a ride to sw fl. and back during the thanksgiving holidays.. 
i will pay gas down and back.. 
you will need 3 nights hotel and kick around $ 
beautiful place to spend a few days.. 
leave the night of the 21st. return the morning of the 25 [...]",2012-11-11T08:55:00-05:00,emailnotfound
rideshare from burlington to dc/maryland (burlington nc),greensboro,http://greensboro.craigslist.org/rid/3401680222.html,drive back maryland home over the weekend. share the longway drive.,2012-11-11T06:15:21-05:00,emailnotfound
rideshare (greensboro nc),greensboro,http://greensboro.craigslist.org/rid/3396768501.html,leaving 11/12/2012 from greensboro nc.going to north myrtle beach.have a 16' box van.if you have any items going that way please call 336-287-5000 can give you a rate..,2012-11-08T22:22:47-05:00,emailnotfound
greensboro-chicago ride offer 11/15 (greensboro),greensboro,http://greensboro.craigslist.org/rid/3395816475.html,"hey there, 
i'm driving to chicago on the morning of nov 15th. anyone want a ride? i'm 28/f...hoping to share some gas money, my car gets pretty good milage, like 35mpg. i'd prefer to share the ride with ladies/queers, but am open to others. 
you: -n [...]",2012-11-08T14:46:56-05:00,emailnotfound
i need a ride from greensboro to chapel hill this sunday (greensboro to ch),greensboro,http://greensboro.craigslist.org/rid/3391287665.html,"hey guys, i need a ride to chapel hill this sunday, preferrably in the morning. i have a ride back, and will pay half of gas to get there. please respond asap. ",2012-11-06T15:54:03-05:00,emailnotfound
ride needed to nj/ny/pa wednesday before t-giving (greensboro -&gt; nj/ny/pa),greensboro,http://greensboro.craigslist.org/rid/3391258977.html,"ride needed from greensboro or nearby to nj the wednesday before thanksgiving. november 21st 
new york or philly would also be okay as a drop of spot. 
two friendly college kids trying to make it home for thanksgiving. 
we can contribute with gas mon [...]",2012-11-06T15:42:26-05:00,emailnotfound
"going to orlando (burlington, n.c.)",greensboro,http://greensboro.craigslist.org/rid/3387488105.html,"hello, robert here. headed to orlando in mid-november or early december to go to the universal theme parks. looking for one or two passengers to share gas costs. i can give you a ride back if needed. you can reach me at 336-290-4318 for more details.",2012-11-05T02:08:59-05:00,emailnotfound
ride offer to asheville ,greensboro,http://greensboro.craigslist.org/rid/3384571909.html,"hello there! 
i'll be passing through greensboro on my way to asheville tomorrow evening. 
i'd love to have you come along. :) 
pitching in for gas would be very much appreciated. 
i look forward to giving you a ride! 
-elizabeth",2012-11-03T16:48:13-04:00,emailnotfound
weekday's carpool (asheboro - west greensboro),greensboro,http://greensboro.craigslist.org/rid/3382707593.html,"i'm an engineer working in west greensboro, nc monday-friday 8am-5pm, but living in asheboro, nc. i'm looking for a person who can carpool and share the gas mileage with me. 
please call me at 864-280-9687 or by email. ",2012-11-02T19:36:44-04:00,emailnotfound
ride needed from greensboro to atlanta or tampa,greensboro,http://greensboro.craigslist.org/rid/3382104883.html,"i am trying to catch a ride south to atl. ga, or tampa fl, asap. i can help with gas expenses. if this works for you please call 336-268-6590. thank you",2012-11-02T15:16:14-04:00,emailnotfound
greensboro-avl (asheville),greensboro,http://greensboro.craigslist.org/rid/3382085160.html,"hey trying to get to asheville anytime tomorrow or early sunday, have some money for gas! please call i don't steadily check my email! 919.599.0905, thanks! 
-erika",2012-11-02T15:08:40-04:00,emailnotfound
heading to northern va in the morning (greensboro to prince william county),greensboro,http://greensboro.craigslist.org/rid/3381958006.html,i am heading to northern va tomorrow morning. i will be going 85 and then 95. i have to make a stop in petersburg for work but other than that it will be a straight shot. very nice suv with plenty of room for passengers and luggage. a reasonable cont [...],2012-11-02T14:20:51-04:00,emailnotfound
hvwt/have vehicle will travel (triad),greensboro,http://greensboro.craigslist.org/rid/3353937160.html,"distinquished gentleman provides individual private transportation for the singular traveller.to city via city,to/from city or door to door, employment,errands and small courier and pets..hvwt is.availiable 24/7 on appointment. .rates and fees are ba [...]",2012-11-01T12:23:38-04:00,emailnotfound
greensboro to asheville (greensboro),greensboro,http://greensboro.craigslist.org/rid/3377140149.html,"easy going 23 year old male driving from durham to asheville on thursday november 1st. i'll pass through greensboro at around 10am. have room for one passenger plus luggage. i would ask for $20 in gas money. 
let me know if you'd like to tag along. 9 [...]",2012-10-31T12:09:34-04:00,emailnotfound
wilmington or myrtle beach - make $50 cash,greensboro,http://greensboro.craigslist.org/rid/3345768828.html,"this is easy - make $50 cash. no bs. 
move a folding screen from greensboro to wilmington or myrtle beach and i pay you $50 upon arrival. 
screen is 4 panels approx 6 feet tall by 16 inches wide, and when folded should fit in an suv. 
you will need t [...]",2012-10-31T11:32:40-04:00,emailnotfound
offered   driving from triad nc to florida (greensboro nc),greensboro,http://greensboro.craigslist.org/rid/3376580553.html,"i will be driving a ford f 250 truck with a 23 foot trailer going to tampa and then boca miami area 
need some gas contribution have space on trailer and room for a passenger 917 880 5432",2012-10-31T05:27:46-04:00,emailnotfound
looking for ride to s/w fla. for the thanksgiving hol. (thomasville..),greensboro,http://greensboro.craigslist.org/rid/3373454158.html,"hello. my name is matt, i am looking for a ride to bonita springs or naples, fla. leaving the night of the 21st.. i will pay for gas there and back.. returning sunday the 25th... 
please get in touch if you're heading that way..",2012-10-29T17:57:39-04:00,emailnotfound
ride needed north carolina to arkansas (north carolina to arkansas),greensboro,http://greensboro.craigslist.org/rid/3371842082.html,"i am looking for a ride from north carolina to arkansas. willing to split gas costs with you and willing to leave anytime after nov. 2nd. 
please let me know if you can help! ",2012-10-29T01:00:08-04:00,emailnotfound
i need /would like a ride to charlotte  (greensboro ),greensboro,http://greensboro.craigslist.org/rid/3368312065.html,im look for a ride to charlotte. today i'm nice clean and respectable. young. college. student please. help call or txt me 7043900195 ,2012-10-27T10:23:32-04:00,emailnotfound
"united health care rideshare (greensboro, nc)",greensboro,http://greensboro.craigslist.org/rid/3360342639.html,"i am starting a job at united health care on north elm street. i need a ride. does anyone live near spring garden, high point rd, west market, or friendly? so that i can ride with you. compensation offered. i will be working from 8:30-5:30. let me kn [...]",2012-10-23T19:33:57-04:00,emailnotfound
"driving west towards chicago and nearby area (greensboro, nc)",greensboro,http://greensboro.craigslist.org/rid/3360051372.html,"u an driving a honda accord fro north carolina area near chicago to /stevensport wisconson ican drive someone with a contribution to gas or can deliver a pet 
or some item 917 880 5432 ",2012-10-23T17:25:18-04:00,emailnotfound
need ride to austin tx (from greensboro ),greensboro,http://greensboro.craigslist.org/rid/3350323573.html,"hello hello, my name is cid abel 
i am really laid back, and easy going. 
some of the burners i was going with had to bail, but i still need a ride to austin. 
i am willing to pay for all the gas on the way there and i dont need a ride back. 
you are [...]",2012-10-19T13:52:15-04:00,emailnotfound
