title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride now? fast service (jacksonville),jacksonville,http://jacksonville.craigslist.org/rid/3369319303.html,at your service all over jacksonville i can get u there faster experienced driver in area over 15 years driving toyota prius rates negotiable call 904-405-8884,2012-11-17T19:22:15-05:00,emailnotfound
"jax beach taxi"" life's a beach""904-716-2586 (jacksonville)",jacksonville,http://jacksonville.craigslist.org/rid/3348194247.html,"fast and friendly, clean and courteous, to airport or just around town! please call rick at 904-716-2586 
all drivers have fbi background check and are licensed to provide this service!",2012-11-17T11:14:34-05:00,emailnotfound
transportation provided........local or out of area (local or out of area),jacksonville,http://jacksonville.craigslist.org/rid/3415441605.html,"i can provide for your transportation needs..local (work,shoppes,airport,beach,etc.) or out of area.. 
no distance too far...any hour..call me..9o4-5o5-9.7.4.6...alan",2012-11-16T23:30:06-05:00,emailnotfound
"long distance travel (fl, nc, sc)",jacksonville,http://jacksonville.craigslist.org/rid/3394188491.html,for safe reliable and comfortable travel call vantransit 336-986-0575. vantransit2go.com,2012-11-16T17:51:38-05:00,emailnotfound
looking to find someone who is driving down to miami  (southside jax  to miami),jacksonville,http://jacksonville.craigslist.org/rid/3414726327.html,"hi looking to find someone that's going to miami for the holidays in the next couple of days i have a military bag and a scuba bag and gas money hoping to leave this monday but if before that's cool too , otherwise i will be taking amtrak let me know [...]",2012-11-16T16:52:53-05:00,emailnotfound
florida to pa in the next couple weeks (florida),jacksonville,http://jacksonville.craigslist.org/rid/3414126472.html,i'll be heading up to pennsylvania in the next couple weeks. i'm taking i75 and i95. i'll have a 10 foot moving truck but my stuff too so no furniture or beds. if it's just you and a few bags or boxes thats ok. you are responsible for gas money. $150 [...],2012-11-16T13:03:57-05:00,emailnotfound
california then washington (n.e. fl.),jacksonville,http://jacksonville.craigslist.org/rid/3413987739.html,leaving 1st week of december to washington state. will take i-10 across and go to malibu cal first then follow the coastal hgwy all the way up. anywhere along the way u need to go is fine. will return in 2-3 weeks so a trip back is possible if u plan [...],2012-11-16T12:13:55-05:00,emailnotfound
open driving position- use your own car (jacksonville &amp; surrounding areas),jacksonville,http://jacksonville.craigslist.org/rid/3364646013.html,"make money transporting injured patients! you would be helping those in need and getting paid for this great service. 
boomerang transport is looking for reliable drivers in your area. 
our drivers take injured workers to their doctors/physical thera [...]",2012-11-16T11:04:58-05:00,emailnotfound
"heading to charlotte, nc (vero beach/jacksonville)",jacksonville,http://jacksonville.craigslist.org/rid/3413711274.html,"i am heading north on i-95 from vero beach. i will be going through jacksonville probably around 11:30am. i could take someone as far as charleston, sc on i-95 or as far as charlotte, nc (which is my final destination). i'm basically looking for some [...]",2012-11-16T10:26:24-05:00,emailnotfound
need ride (south side blvd / orange park moosehaven),jacksonville,http://jacksonville.craigslist.org/rid/3413148971.html,i need a ride mon- fri have to be at work by 7 am and get off at 3:30 i live in orange park on rt 17 by moosehaven work near blue cross at southside blvd willing to pay call 904 625 7451,2012-11-16T00:32:28-05:00,emailnotfound
travel to anywhere in the united states for less,jacksonville,http://jacksonville.craigslist.org/rid/3398896304.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T19:50:34-05:00,emailnotfound
"looking for ride to south florida (wpb,boynton,boca)",jacksonville,http://jacksonville.craigslist.org/rid/3403257597.html,"looking for ride to south florida area for thanksgiving holiday on wednesday, november 21st. will share fuel costs. call or text 904-253-9203 ",2012-11-15T18:51:07-05:00,emailnotfound
looking for work in jacksonville? rent out your vehicle  (jacksonville),jacksonville,http://jacksonville.craigslist.org/rid/3412548362.html,"listing your car in the relayrides car sharing marketplace is free, and you can make thousands per year renting out your automobile. take a look at https://relayrides.com/listyourcar",2012-11-15T18:29:17-05:00,emailnotfound
travel 4 less to any state or city,jacksonville,http://jacksonville.craigslist.org/rid/3384907423.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:05:17-05:00,emailnotfound
heading to nyc (st aug),jacksonville,http://jacksonville.craigslist.org/rid/3411121394.html,"i am heading to nyc next week. i am looking for a (hopefully) sane person to share gas expenses with. i am leaving, probably, on the 20th and will return after thanksgiving. i am looking for some one that needs a ride up. coming back is still up in t [...]",2012-11-15T08:07:59-05:00,emailnotfound
need rt ride to va and back  (volusia area),jacksonville,http://jacksonville.craigslist.org/rid/3409081679.html,"hey guys i need a ride to virginia i can leave monday night or early tuesday morning prior to thanksgiving, i need to come back on sunday am or can leave late saturday after thanksgiving, if you are doing this or close to this and can help that would [...]",2012-11-14T10:59:31-05:00,emailnotfound
jax to dc this thursday (northbound),jacksonville,http://jacksonville.craigslist.org/rid/3408803854.html,"hi all, i'm driving to washington dc this thursday and have room for one or two people. leaving from tallahassee at 4pm and driving through jacksonville and then all night to dc. email if you need a ride. no smoking in the car, but we can stop. gas m [...]",2012-11-14T08:39:26-05:00,emailnotfound
"ride offered from jacksonville to miami, fl along the i-10 (jacksonville to miami)",jacksonville,http://jacksonville.craigslist.org/rid/3408422666.html,"i'm gonna take a road trip from jacksonville to miami around november 19th (give or take a few days), in my minivan. if you, your pet, or your stuff need a ride anywhere on the way i'd gladly try to accomodate the offer if you are trustworthy, easy t [...]",2012-11-13T23:48:45-05:00,emailnotfound
looking for ride to swfl (fort myers) (downtown jacksonville to swfl),jacksonville,http://jacksonville.craigslist.org/rid/3405874103.html,"i'm looking for a rideshare to the fort myers area, any possible time in the near future. i'm somewhat broke but i will pay what i can in gas money. 
i'm young, laid back, so if you're headed to the southwest florida area, please let me know! reply a [...]",2012-11-12T22:30:40-05:00,emailnotfound
moving truck headed north today,jacksonville,http://jacksonville.craigslist.org/rid/3401720972.html,"leaving at 3pm headed to richmond va plenty of space ! 
no riders just boxes or furniture mike 7609546281",2012-11-11T07:20:56-05:00,emailnotfound
ride offered south mon (savanah to boca),jacksonville,http://jacksonville.craigslist.org/rid/3399117312.html,goin south on 95. laid back male. gas money pls. leave phone number,2012-11-09T22:12:45-05:00,emailnotfound
