title,postingFrom,permalink,shortDescription,postingDate,mailToLink
350.org trip to d.c. on sunday (freehold/howell),jerseyshore,http://jerseyshore.craigslist.org/rid/3416973475.html,there is no bus for this trip to d.c. and i'm looking to car pool there and back. we can leave at whatever time is mutually convenient and come back after the event. i was with bill mckibben in nyc last night and would like to make this happen. let m [...],2012-11-17T16:40:26-05:00,emailnotfound
ride wanted to/from foodtown and/or shoprite/aldi (port monmouth),jerseyshore,http://jerseyshore.craigslist.org/rid/3416237494.html,"hi . . . my car got caught in the flood and is still in the shop. if you are going to the super foodtown in port monmouth (and/or possibly shoprite and aldi) today, could i tag along with you? i'm just a few blocks from the store on collins avenue of [...]",2012-11-17T11:46:03-05:00,emailnotfound
"moving truck going to tampa, stops along the way ok (jersey shore, new jersey)",jerseyshore,http://jerseyshore.craigslist.org/rid/3414567843.html,"hello, i have about 400 cubic feet worth of stuff to move. also have a jeep wrangler type vehicle to tow. 
if you are moving to florida or anywhere south of new england please contact me and maybe we can combine the moves. i am an experienced mover-- [...]",2012-11-16T15:48:48-05:00,emailnotfound
need a ride to boston?  (boston),jerseyshore,http://jerseyshore.craigslist.org/rid/3413696877.html,"i am leaving today to go to boston. i am leaving toms river around 3-4pm. 
email me if you are looking for a ride to boston. 
share gas expense",2012-11-16T10:20:11-05:00,emailnotfound
rideshare/carpool app (ios/android),jerseyshore,http://jerseyshore.craigslist.org/rid/3345447841.html,"hello ride-sharers/carpoolers, 
imagine going on daily commute locally or on long distance trip! 
you just put your start and destination on system and leave the match/sort on to the system intelligence. filter results by ratings, etc. 
using android [...]",2012-11-15T19:58:26-05:00,emailnotfound
nj to conneticut sunday am (rideshare for $25 ),jerseyshore,http://jerseyshore.craigslist.org/rid/3412556565.html,"im going up for the day an then returning... can drop you off anywhere on 95 north going up...only 25 dollars...includes the 15 dollars for crossing the bridge... 
this sunday, leaving early , have my own toyota echo... spacious ! 
email me if intere [...]",2012-11-15T18:33:02-05:00,emailnotfound
5 guys rides (jersey shore),jerseyshore,http://jerseyshore.craigslist.org/rid/3383449235.html,"5 guys car service! we have you covered with all of your transportation needs. fully insured, ez-pass,gps in each car. 1000+ runs between us. we take care of each and everyone of our clients like family. give us a call for the best rates in town. 908 [...]",2012-11-15T17:17:18-05:00,emailnotfound
nice guy going to atlantic city (ocean county),jerseyshore,http://jerseyshore.craigslist.org/rid/3410357413.html,"nice guy 48 going to atlantic city when ever im flexable , seeking a nice women to go with age unimportant get back with a contact number",2012-11-14T19:21:43-05:00,emailnotfound
manahawkin to ship bottom  (library to wawa),jerseyshore,http://jerseyshore.craigslist.org/rid/3405334995.html,construction worker looking for ride from manahawkin library to ship bottom wawa. wednesday thru saturday 7am with possible return at 5pm. ,2012-11-12T17:53:48-05:00,emailnotfound
middletown to westfield,jerseyshore,http://jerseyshore.craigslist.org/rid/3404554182.html,"anyone traveling from middletown to westfield? looking to ride share 4 days a week, m,t, th and f, non smoker, leave middletown 6:45 am leave westfield 5pm.",2012-11-12T13:10:49-05:00,emailnotfound
