title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride offered - kalamazoo to flint on tue 11/20 (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3413967578.html,"i'm offering a ride from kalamazoo to flint. 
leaving november 20th returning november 25th. i drive a 2001 ford crown victoria. it is reliable with a recent oil change, a rebuilt transmission, properly inflated newer tires, heat and a/c work, and al [...]",2012-11-16T12:06:22-05:00,emailnotfound
cheap discount ride to any state or city,kalamazoo,http://kalamazoo.craigslist.org/rid/3398866040.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:02:30-05:00,emailnotfound
seeking ride out west! (kalamazoo going west!),kalamazoo,http://kalamazoo.craigslist.org/rid/3397728640.html,"my name is tyler tree. i am a 23 year old recent wmu graduate. i am traveling out west with my twin brother and friend julian as part of a spiritual journey to spread loving kindness. we are seeking someone who may be traveling west, at least as far  [...]",2012-11-15T16:45:34-05:00,emailnotfound
kalamazoo mi to austin tx (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3406019391.html,"driving from kalamazoo to austin on friday, nov 17 ",2012-11-15T16:12:35-05:00,emailnotfound
kzoo to metro detroit 11/15  (metro detroit),kalamazoo,http://kalamazoo.craigslist.org/rid/3408309030.html,leaving chicago area thursday nov 15th @ 7:30am sharp... heading to metro detroit area... can drop off anywhere along the i-94 corridor.. sometimes i take m-14 thru ann arbor to i-275 to i-696 to go home.. call/text after before 9am or after 3pm if y [...],2012-11-13T22:26:02-05:00,emailnotfound
need ride to plainwell for work will split gas (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3407989806.html,starting a new job in plainwell looking for some one who goes that way not sure of the hours yet just checking since jobs are hard to find and i dont have a car and live in kalamazoo thank you,2012-11-13T19:29:18-05:00,emailnotfound
wmu/kalamazoo to columbus oh (thanksgiving weekend),kalamazoo,http://kalamazoo.craigslist.org/rid/3386645752.html,looking to get to columbus for thanksgiving weekend. your car or my truck. my license is suspended. need help! i am open to leave and return times. ,2012-11-04T16:35:16-05:00,emailnotfound
cheap affordable travel to any city,kalamazoo,http://kalamazoo.craigslist.org/rid/3327955297.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for amtrak and greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tickets b/c we have  [...]",2012-10-29T22:16:23-04:00,emailnotfound
"to sw florida, november 1-8 (pt. charlotte, fl &amp; locations enroute)",kalamazoo,http://kalamazoo.craigslist.org/rid/3368432906.html,"scheduling trip south on november 1 and returning on november 7. traveling with 5 year old labrador retriever, but would like another kalamazoo area woman to share driving, conversation, and gas. driving through...resting but not overnighting along t [...]",2012-10-27T11:20:20-04:00,emailnotfound
rideshare to halloweekend! (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3362745890.html,"hello all, 
my girlfriend and i really want to go to halloweekend this weekend and if anyone plans on making a tripp that way and return the next day or that same evening we'd love to accompany them and help pay for gas along the way. we're students, [...]",2012-10-24T19:15:54-04:00,emailnotfound
seeking ride from kalamazoo to indianapolis and back (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3359248061.html,"i'm looking for a round trip ride: 
nov. 3rd - kalamazoo to indianapolis 
nov. 5th - indianapolis to kalamazoo 
i'm open to a ride one way and not the other. 
i can pitch in for gas. thanks.",2012-10-23T12:31:01-04:00,emailnotfound
kalamazoo to florida- october 29 (kalamazoo michigan to northern florida),kalamazoo,http://kalamazoo.craigslist.org/rid/3356464490.html,"hi, i am looking for a decent person or professional to share responsibility equally with the gas and the driving. anywhere between here and northern florida, straight through. the entire trunk of my car is available for your luggage!! must have driv [...]",2012-10-22T10:46:24-04:00,emailnotfound
ride offered kalamazoo to pittsburgh,kalamazoo,http://kalamazoo.craigslist.org/rid/3354121943.html,"i am driving from southern michigan, near kalamazoo to pittsburgh on 10/24 or 10/25. let me know if you need a ride to pittsburgh or anywhere along the way, and we can figure out a gas price. 
hannah",2012-10-21T08:43:12-04:00,emailnotfound
really need to get to ann arbor this sunday (kalamazoo to ann arbor),kalamazoo,http://kalamazoo.craigslist.org/rid/3350605147.html,"i'm trying to get from kalamazoo for ann arbor sometime after 5 pm on sunday afternoon, the 21st. i'm tied up until that time, so anything earlier won't work. i really really could use this ride, if i can make it to ann arbor, i will have a ride all  [...]",2012-10-19T15:33:41-04:00,emailnotfound
kalamazoo to detroit 10/20,kalamazoo,http://kalamazoo.craigslist.org/rid/3350584998.html,"i'm driving to detroit saturday afternoon from kalamazoo and can drop you off along the way, or in the city. i'd like to split the gas and i'll be coming back sunday night or monday. 
call 248-462-0906 if interested. ",2012-10-19T15:26:02-04:00,emailnotfound
"driving to detroit (from kalamazoo) - oct 25th  (kalamazoo, mi 49009)",kalamazoo,http://kalamazoo.craigslist.org/rid/3348621899.html,"driving to detroit, from kalamazoo on thursday oct 25th. willing to pick up and drop off passengers ($25). 
email. or call/ text 269-290-9031",2012-10-18T18:03:07-04:00,emailnotfound
daily commute kazoo to gr (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3279636585.html,looking for ride share partners. flexible arrangement. non-smoking professional male. working hours normally 7 am to 5 pm. office located near 44th and us 131.,2012-10-13T13:14:28-04:00,emailnotfound
rideshare to kvcc (from red arrow in mattawan ),kalamazoo,http://kalamazoo.craigslist.org/rid/3333679313.html,i am starting school in jan and am looking to pay for gas or whatever we can work out for a ride to school and back. i live about 9 miles from valley but my car died and do not want to miss any classes..this would be perfect for another student or so [...],2012-10-12T10:29:25-04:00,emailnotfound
ride to sturgis michigan (kalamazoo airport),kalamazoo,http://kalamazoo.craigslist.org/rid/3330116813.html,might need a ride from kalamazoo airport at 1230 in the afternoon tomorrow to sturgis michigan. will pay 50.,2012-10-10T17:58:05-04:00,emailnotfound
ride needed to columbus or dublin ohio  (columbus),kalamazoo,http://kalamazoo.craigslist.org/rid/3324446436.html,"hi, 
i was looking for a ride from kalamazoo to columbus or dublin, ohio. if any one is going to these places on this thursday evening after 8:45pm(10/11) or friday(10/12). please let me know. 
my no:4043375372 
thank you, 
sam",2012-10-08T11:20:59-04:00,emailnotfound
ride needed - kalamazoo to ann arbor on sat 10/6 (kalamazoo),kalamazoo,http://kalamazoo.craigslist.org/rid/3318703752.html,"im looking for a ride to ann arbor on saturday oct 6th. ill be looking for a return ride sunday night or monday morning. 
im 26 male bronco grad. 
cheers",2012-10-05T15:23:49-04:00,emailnotfound
ride to cleveland or towards cleveland (kzoo to cleveland),kalamazoo,http://kalamazoo.craigslist.org/rid/3314375094.html,"trying to go home for fall break: oct. 12-14th. would love a ride to and from kalamazoo college to cleveland area and back again, but am interested in 
at least getting closer to cleveland to give my parents a break in driving. 
i can leave either on [...]",2012-10-03T17:27:25-04:00,emailnotfound
