title,postingFrom,permalink,shortDescription,postingDate,mailToLink
moving to port o'connor texas (key largo),keys,http://keys.craigslist.org/rid/3415966416.html,it's time for me to go. my problem is i've lost my job and am attempting to sell most of my possessions. are you moving to texas as well? i will help you move and share the driving. let's talk and see what we can do ,2012-11-17T09:45:59-05:00,emailnotfound
key west to fort lauderdale (key west),keys,http://keys.craigslist.org/rid/3404825978.html,i will be driving from key west to fort lauderdale airport on thursday nov 22. will leave at least by 10 am as i have a flight leaving at 4:30. need a ride let me know. pay for gas. thanks,2012-11-16T11:53:42-05:00,emailnotfound
use your car: get paid for driving patients to doctor visits (florida keys and surrounding areaa),keys,http://keys.craigslist.org/rid/3361354786.html,boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. you know how difficult it can be to get around in the keys when you really need to...help out your fell [...],2012-11-16T10:30:31-05:00,emailnotfound
transportation positions open (florida keys and surrounding area),keys,http://keys.craigslist.org/rid/3396236487.html,"we are currently searching for qualified drivers around the florida keys to provide injured workers with rides to and from their doctors appointments and physical therapy sessions. this is a low stress, rewarding driving job, but there are a few mini [...]",2012-11-16T10:22:24-05:00,emailnotfound
i have a moving truck (marathon),keys,http://keys.craigslist.org/rid/3408535443.html,"24 foot box truck (retired u-haul) gasloine engine and automatic transmission. no special drivers license needed. selling the truck at a reduced price. it runs great and gets 10 mpg. a/c needs work, but this time of year the windows down cools it nic [...]",2012-11-14T01:49:11-05:00,emailnotfound
ft lauderdale to key west! (key west),keys,http://keys.craigslist.org/rid/3396237873.html,"looking for a ride from fll to key west either tues nov 13 or wed nov 14. i will be there only until the 16th, but a one way ride would still be very helpful. will split gas! please contact me asap so that i can finish my flight bookings :) thanks! h [...]",2012-11-08T17:37:34-05:00,emailnotfound
going north? (florida keys),keys,http://keys.craigslist.org/rid/3393964928.html,"woman, 5 year old child, and 2 dogs need to head north and are looking for a ride. we are easy going people, and would make good company. please help if you can. thanks.",2012-11-07T18:19:23-05:00,emailnotfound
ride to everglades (everglades/homestead),keys,http://keys.craigslist.org/rid/3393491111.html,hoping someone may miraculously be heading to everglades park this next wednesday the 14th? no public transportation goes to the park. will pay gas money. need to get to a job interview any time between 10 am and 5 pm. give me a call or e-mail me. no [...],2012-11-07T15:04:39-05:00,emailnotfound
anyone sailing south (key west),keys,http://keys.craigslist.org/rid/3391281806.html,"i'm looking to travel to central america at some point in the spring next year. perhaps belize or costa rica. 
would like to go for a month to month and a half. 
i don't know much about sailing, but would gladly chip in time learning what i need to o [...]",2012-11-06T15:51:45-05:00,emailnotfound
leaving key west  tuesday nov 6th going north asheville nc (key west to nc),keys,http://keys.craigslist.org/rid/3387894529.html,"looking for help with driving north on 95 16 hrs to asheville nc but can drop off sooner if needed . 
i will be stopping at a hostel half way . call me 828-712-6885 johanna",2012-11-05T09:48:27-05:00,emailnotfound
