title,postingFrom,permalink,shortDescription,postingDate,mailToLink
tn to nj (alcoa),knoxville,http://knoxville.craigslist.org/rid/3417333711.html,i am needing a ride to nj before december 1. i have some money for gas and can help drive. i do have a well mannered cat with me as well.,2012-11-17T19:43:48-05:00,emailnotfound
"shuttle ride service to nashville,asheville,& atlanta for 1-10 (all areas of east tennessee)",knoxville,http://knoxville.craigslist.org/rid/3416162034.html,"professional shuttle ride service available to and from nashville,asheville,& atlanta from all of east tennessee including knoxville,alcoa,maryville,townsend,kodak,sevierville,pigeon forge,gatlinburg,cosby,newport,dandridge,etc. our rates for these a [...]",2012-11-17T11:16:01-05:00,emailnotfound
"greeneville to knoxville, knoxville to greeneville (greeneville / knoxville)",knoxville,http://knoxville.craigslist.org/rid/3372347709.html,"almost every day...for same gas money 
865 6886686",2012-11-17T11:05:48-05:00,emailnotfound
knoxville patient to doctor transport (knoxville and surrounding areas),knoxville,http://knoxville.craigslist.org/rid/3392686252.html,"boomerang transport is now hiring reliable drivers in and around knoxville, tn to transport patients to and from their doctor's office/physical therapy sessions. this is a low stress, rewarding driving job, though there are a few minimum requirements [...]",2012-11-16T10:21:44-05:00,emailnotfound
"great smoky mountains area rides (pigeon forge,gatlinburg,townsend,cherokee,asheville,etc.)",knoxville,http://knoxville.craigslist.org/rid/3365807827.html,"professional shuttle ride service available to all mountain & foothill areas of the great smoky mountains including mcghee-tyson airport,knoxville,maryville,townsend,kodak,strawberry plains,sevierville,pigeon forge,gatlinburg,the great smoky mountain [...]",2012-11-16T08:41:25-05:00,emailnotfound
need ride (la vergne to el paso),knoxville,http://knoxville.craigslist.org/rid/3413186699.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T01:09:39-05:00,emailnotfound
rides for less to any state or city,knoxville,http://knoxville.craigslist.org/rid/3402485116.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T18:54:31-05:00,emailnotfound
"ride offer: knoxville to kansas city, mo (knoxville)",knoxville,http://knoxville.craigslist.org/rid/3412111267.html,"hi! i'm jake, a professional stand-up comedian. 
my wife and i are driving from knoxville, tn to kansas city, mo on sunday, november 25. it's about 353 miles in between the 2 cities. want to go on an adventure and split the gas? asking for $75. 
if k [...]",2012-11-15T15:20:39-05:00,emailnotfound
ride offer: knoxville to asheville (knoxville),knoxville,http://knoxville.craigslist.org/rid/3412084580.html,"hi! i'm jake, a professional stand-up comedian. 
my wife and i are driving from knoxville, tn to asheville, nc thursday, nov 22. want to ride with us? asking for $20. 
check me out at http://jakeisfantastic.com . i'm laid back. i am looking someone e [...]",2012-11-15T15:09:45-05:00,emailnotfound
safe shuttle ride service to all of east tennessee & beyond (anywhere within 300 miles of knoxville),knoxville,http://knoxville.craigslist.org/rid/3383347461.html,"safe shuttle ride sevice available to all areas of east tennessee & beyond. we can shuttle up to 10 people at a time to many different areas including great smoky mountains national park,the blue ridge parkway,maryville,sevierville,gatlinburg,pigeon  [...]",2012-11-15T07:41:03-05:00,emailnotfound
"offering ride to south fl  - west palm beach (west knoxville, tn)",knoxville,http://knoxville.craigslist.org/rid/3385453605.html,"i'm a friendly, responsible male, and easy to get along with. 
offering a rideshare to the south florida area (west palm beach/lake worth) or anywhere in between, tomorrow morning, november 15th. you must be willing and able to contribute money for g [...]",2012-11-14T19:59:30-05:00,emailnotfound
"shuttle ride service covering all of eastern tn,western nc,& beyond  (anywhere within 300 miles of knoxville)",knoxville,http://knoxville.craigslist.org/rid/3381095520.html,"appalachian adventure company features custom shuttle ride service to and from all of eastern tennessee & western north carolina for you or your group of up to 10 people. our coverage area includes all towns & communities in etn & wnc, great smoky mo [...]",2012-11-14T08:43:04-05:00,emailnotfound
knoxville to albany ny- wanted (nov 17th ),knoxville,http://knoxville.craigslist.org/rid/3354311904.html,"ride needed. 50 yr old mature and responsible share expenses and/or driveing 
experienced traveler. clean and friendly 518-487-9902 ",2012-11-13T11:44:42-05:00,emailnotfound
"shuttle ride service to the great smoky mountains &  appalachian trail (davenport gap,newfound gap,fontana dam)",knoxville,http://knoxville.craigslist.org/rid/3344715483.html,"appalachian adventure company features shuttle ride service for 1-20 to all areas of the great smoky mountains national park including the appalachian trail crossings at davenport gap,newfound gap,clingman's dome,& fontana dam. we also provide pick-u [...]",2012-11-13T08:59:53-05:00,emailnotfound
going to newport news va soon,knoxville,http://knoxville.craigslist.org/rid/3406218661.html,"going to newport news va soon(about 2 weeks) and looking for someone to 
help with gas and driving... 
about a 10 hour ride. leaving on a thursday and coming 
back on sat....843-751-8689, jay",2012-11-13T05:09:10-05:00,emailnotfound
take a puppy to my daughter in fla. please (kingston to fla.),knoxville,http://knoxville.craigslist.org/rid/3405685789.html,i have a very small puppy that i need to get to my daughter in fla. i will provide a box to transport it in. need this asap please call me at 865 201 3979. thanks kimberly,2012-11-12T20:40:26-05:00,emailnotfound
"safe shuttle ride service to nashville,asheville,& atlanta for 1-10 (all areas of east tennessee)",knoxville,http://knoxville.craigslist.org/rid/3339822569.html,"professional shuttle ride service available to and from nashville,asheville,& atlanta from all of east tennessee including knoxville,alcoa,maryville,townsend,kodak,sevierville,pigeon forge,gatlinburg,cosby,newport,dandridge,etc. our rates for these a [...]",2012-11-12T13:06:59-05:00,emailnotfound
i need ride to nj (oakridge),knoxville,http://knoxville.craigslist.org/rid/3403760362.html,"i need a ride to nj sun or mon the 25th or 26th of november i am 44 yo male cleancut personable, and a great conversationalist, willing to share gas and driving. 865-206-8190",2012-11-12T06:57:48-05:00,emailnotfound
i can give someone a ride to atlanta (claiborne/union/knox),knoxville,http://knoxville.craigslist.org/rid/3401252991.html,i am heading home to atlanta on monday nov 12th offering anyone who needs it a free ride. having company for the trip would be cool. laid back open minded guy here,2012-11-10T21:29:40-05:00,emailnotfound
need a ride?  i need gas money (knoxville),knoxville,http://knoxville.craigslist.org/rid/3332568526.html,"hello. i need gas money for work the next couple of days. can provide a ride in knoxville area. need a ride to work, from work, to a friend's house, to ir from old city, anywhere? contact me 865 368 1932. $10 per ride, negotiable.",2012-11-10T14:38:50-05:00,emailnotfound
looking for ride to florida  (seymour-bradenton/sarasota ),knoxville,http://knoxville.craigslist.org/rid/3400112026.html,"looking for ride to bradenton-sarasota area or nearby at the beginning of december. 
responsible and mature, sparkling clean record( driving and criminal ) with small 10 lb dog. 
text only first responses and tell me your plans and needs. ty in advan [...]",2012-11-10T12:20:46-05:00,emailnotfound
wanted ride 11/11: knoxville or gatlinburg to greenville (trade show) (gatlinburg to greenville),knoxville,http://knoxville.craigslist.org/rid/3356873437.html,"need a ride sunday morning (early) november 11th from the convention center in gatlinburg to greenville...or from knoxville to greenville. if you are going to charlotte or columbia and passing through greenville, that will work too. 
i can kick in th [...]",2012-11-09T21:10:32-05:00,emailnotfound
