title,postingFrom,permalink,shortDescription,postingDate,mailToLink
carpool/rideshare app (ios/android),ksu,http://ksu.craigslist.org/rid/3345404474.html,"hello ride-sharers/carpoolers, 
using android/ios device? 
imagine going long distance or locally. 
you just put your start and destination on system and leave the match/sort on to the system intelligence. filter results by ratings, etc. 
post your r [...]",2012-11-15T18:57:55-06:00,emailnotfound
looking for a ride? (manhattan ks),ksu,http://ksu.craigslist.org/rid/3407067983.html,"looking for a cheap ride to airport? 
may be a ride to doctors or pharmacy, or grocery and shopping mall? 
call seven eight five, three95 five6 three six for an comfy safe ride, 
pay less and enjoy friendly neighbourhood ride.. 
operated by a student [...]",2012-11-13T12:22:26-06:00,emailnotfound
ride to topeka needed 4 the 17 (bus station),ksu,http://ksu.craigslist.org/rid/3406917085.html,i just need a ride i have to be up to topeka by 4am on saturday. anyone dont mind letting me tag along or tell me how much you would need to take me there please ,2012-11-13T11:28:36-06:00,emailnotfound
kansas city airport (manhattan),ksu,http://ksu.craigslist.org/rid/3390612839.html,looking for a ride tomorrow to the mci airport in kc. i'd like to leave manhattan around 11am - noon. i can fill up your tank with gas or donate cash. i will have a suitcase with me. thanks!,2012-11-06T10:41:16-06:00,emailnotfound
baylor/ksu game - ride to waco (manhattan to waco),ksu,http://ksu.craigslist.org/rid/3389862467.html,i have tickets to the ksu/baylor game on the 17th. anyone want to ride/drive down together?,2012-11-05T23:21:50-06:00,emailnotfound
ride to airport (kansas city),ksu,http://ksu.craigslist.org/rid/3367357911.html,anyone heading to the kansas city area from ksu willing to drop off at airport on saturday 11/17 in the morning? will pay gas. ,2012-10-26T18:07:16-05:00,emailnotfound
need personal items delivered to anchorage (concordia),ksu,http://ksu.craigslist.org/rid/3331965421.html,"i have about a pick-up load or less, of things to move to anchorage. one heavy bed frame and one large dresser. everything else is easily handled and carried and stacked. tell me what you can do for me. thank you.",2012-10-24T18:18:31-05:00,emailnotfound
"anyone need a ride? (manhattan, ks to st. louis, mo)",ksu,http://ksu.craigslist.org/rid/3347989797.html,"i am driving from k-state to st. louis, missouri on friday the 26th of october if anyone would like a ride. coming back to manhattan sunday the 28th. ",2012-10-18T12:58:27-05:00,emailnotfound
from wichita to manhattan (flexible schedule),ksu,http://ksu.craigslist.org/rid/3333782826.html,i need a ride from wichita to manhattan so i can pick up a vehicle and drive it back to wichita. i have a flexible schedule and i'm willing to chip in for some gas. ,2012-10-12T10:12:46-05:00,emailnotfound
i need a ride (pittsburg ks),ksu,http://ksu.craigslist.org/rid/3332730646.html,"i need help getting a ride to pitt state, this weekend would be nice, but any other weekend would be great too. willing to negotiate a fair price for gas. thank you.",2012-10-11T18:46:24-05:00,emailnotfound
need a ride to kc on 11/2 or 11/3 - share gas money (ksu - kc),ksu,http://ksu.craigslist.org/rid/3330327594.html,"need a ride for two people, we're flexible concerning the time and will definitely share gas money.",2012-10-10T18:33:34-05:00,emailnotfound
need ride to kc on the 11th or 12th (kstate to kc),ksu,http://ksu.craigslist.org/rid/3327973023.html,need ride to kc on the 11th or 12th after 5pm if possible,2012-10-09T17:18:14-05:00,emailnotfound
ride needed 10/11/12   @11:30am (manhattan ks to newton ks),ksu,http://ksu.craigslist.org/rid/3326120756.html,need ride from manhattan ks to newton ks or as close as possible try to get to newton by 1:30 pm ,2012-10-08T22:02:50-05:00,emailnotfound
