title,postingFrom,permalink,shortDescription,postingDate,mailToLink
needa ride? i can bring you anywhere (lafayette(statewide)),lafayette,http://lafayette.craigslist.org/rid/3367835659.html,"if you needa ride somewhere and are sick of riding in cabs, i can bring you anywhere 
i do: 
-stops within lafayette city limits $10 round-trip or $5 one way(**pricing may vary depending on mileage) 
out of town(going outside of lafayette) drops (**c [...]",2012-11-17T15:41:48-06:00,emailnotfound
cheap cheap cheap travel from and to any city or state,lafayette,http://lafayette.craigslist.org/rid/3344344172.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-11-14T15:02:55-06:00,emailnotfound
going to california (denham springs),lafayette,http://lafayette.craigslist.org/rid/3394231476.html,i am driving to sacramento california from denham springs. i am leaving between the 11th and thr 13th and i am driving straight though to sacramento. if you want to get in the passenger seat of the uhaul or need your furniture hauled hmu. 9169104463  [...],2012-11-07T19:34:06-06:00,emailnotfound
"going to denver, 11/12  (opelousas)",lafayette,http://lafayette.craigslist.org/rid/3389601936.html,"anyone need a ride and want to help with gas. leaving monday shortly after visiting dmv, 
if you're going anywhere along the way i can drop you off. 
yes you will have to help with gas. 
22male",2012-11-05T20:16:09-06:00,emailnotfound
"heading to new orleans (lafayette, la)",lafayette,http://lafayette.craigslist.org/rid/3341257781.html,"driving to new orleans on saturday morning of the 10th november, room for paying passengers, no drugs, no alcohol.",2012-10-31T10:38:19-05:00,emailnotfound
rider wanted- nov 1 (chattanooga/pittsburgh),lafayette,http://lafayette.craigslist.org/rid/3348149046.html,"driving to pittsburgh with overnight stop in chattanooga on thursday november 1. 
i have room for 1 rider and will drop off anywhere along the way .",2012-10-31T08:14:15-05:00,emailnotfound
"ride offer nov. 1. shev. dal. okc. tulsa (shreveport, dallas, ok city, tulsa.)",lafayette,http://lafayette.craigslist.org/rid/3369674691.html,"i will be leaving nov. 1 to travel back up to northwest oklahoma. 
need a ride call me.",2012-10-27T20:11:41-05:00,emailnotfound
ride needed north after blackpot (va/nc),lafayette,http://lafayette.craigslist.org/rid/3361833443.html,"one person looking for a ride north after blackpot, around october 28th or 29th. can pitch in for gas and driving. 
call, please do not email. 
804 586 4853 ",2012-10-24T12:12:40-05:00,emailnotfound
"say anything @ the republic, oct 26",lafayette,http://lafayette.craigslist.org/rid/3338753949.html,anyone from acadiana going to this show in new orleans?,2012-10-14T15:07:45-05:00,emailnotfound
"lafayette to washington dc (washington, dc)",lafayette,http://lafayette.craigslist.org/rid/3337469952.html,"grad student has got to travel lafayette to washington, dc monday october 15 or tuesday october 16. 347-742-6071. got min money for gas and scintillating personality.347-742-6071. susan",2012-10-13T21:17:22-05:00,emailnotfound
looking for a ride from lafayette to austin and back (lafayette) (lafayette),lafayette,http://lafayette.craigslist.org/rid/3335949607.html,"looking for a ride to austin on or around monday, october 15 until the october 17 or earlier. extremely nice and personable, just want to visit a friend in austin. i don't smoke... i don't think i'm too weird either. if you're available, i'm willing  [...]",2012-10-13T09:10:06-05:00,emailnotfound
need ride to california (san jose/anywhere close),lafayette,http://lafayette.craigslist.org/rid/3333589871.html,"hello all, i really want to get out to california, preferably san jose but anywhere close to that would be fine. i don't have a lot of money to share the cost but i would really appreciate any help i could get. my name is justin, if you think you can [...]",2012-10-12T08:46:47-05:00,emailnotfound
