title,postingFrom,permalink,shortDescription,postingDate,mailToLink
lancaster pa to naples fl.  (lancaster pa ),lancaster,http://lancaster.craigslist.org/rid/3415117807.html,ok so i will be driving to naples fl from lancaster pa on tomorrow which is 11/17/12 in the afternoon and i have space for one one person one bag or suitcase must be ok with pet as i have to tiny dogs and we can talk about the cost for the rise when  [...],2012-11-16T19:57:38-05:00,emailnotfound
lancaster to philly,lancaster,http://lancaster.craigslist.org/rid/3412650350.html,leaving lancaster tomorrow morning to philly if anyone interested in sharing a ride let me know. around 9:15,2012-11-15T19:18:17-05:00,emailnotfound
rental car needed (lancaster pa),lancaster,http://lancaster.craigslist.org/rid/3409397064.html,"my daughter and husband are full time missionaries. i have a 200.00 budget for renting a car for them. coming in from san. fran. ca 
needed from dec. 21st to jan 1st.",2012-11-14T12:55:55-05:00,emailnotfound
need rideshare from lancaster to nyc (lancaster to nyc),lancaster,http://lancaster.craigslist.org/rid/3408390867.html,"i am in lancaster right now and am looking for a ride to new york (new york city if possible). i am without a car and would really like to see my family to help out after the hurricane. i have almost no funds, and am looking to leave late november ea [...]",2012-11-13T23:23:25-05:00,emailnotfound
need boxes of belongings brought from lancaster to orlando (lancaster-orlando),lancaster,http://lancaster.craigslist.org/rid/3403594304.html,"i moved from lancaster to orlando last year and still have 5-6 boxes of books, pictures, and memorabilia sitting in someone's house in lancaster city. need to get it down here asap. if you are going to be driving to orlando and are willing to bring m [...]",2012-11-12T01:52:39-05:00,emailnotfound
flying? (central pa),lancaster,http://lancaster.craigslist.org/rid/3331525049.html,"if you are flying from bwi, hia or phila. i can provide you with a ride to the airport and then return to pick you up when you get back, avoid the high cost of airport parking, sometimes the cost for the rides could be less than the parking fee, i ha [...]",2012-11-07T10:58:33-05:00,emailnotfound
lancaster to orlando (orlando),lancaster,http://lancaster.craigslist.org/rid/3385759045.html,leaving lancaster tuesday nov6th going to orlando looking for someone to ride and share expenses.,2012-11-04T09:32:08-05:00,emailnotfound
deals on rideshare to any city look,lancaster,http://lancaster.craigslist.org/rid/3334579622.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family an [...]",2012-10-30T20:56:04-04:00,emailnotfound
going to phoenix?,lancaster,http://lancaster.craigslist.org/rid/3364463766.html,"if you're going to phoenix and have room in your trunk, i'll be willing to pay you for transporting boxes of household stuff. ",2012-10-25T14:44:55-04:00,emailnotfound
lancaster to philly sunday (lancaster to philly),lancaster,http://lancaster.craigslist.org/rid/3360112817.html,"need ride from lancaster to philly on sunday... just need to be at the 30th st. station before 9:00pm! the later the ride, the better. happy to help with gas!",2012-10-23T17:50:47-04:00,emailnotfound
"heading out to co or anywhere past???? (colorado springs, co )",lancaster,http://lancaster.craigslist.org/rid/3331875673.html,i am trying to head back to colorado got stuckj in pa since 02 moved back here from co never wanted to leave :(( well i can help out with gas a little and dont got much stuff just tryin to start a new life back in the state i love!!!!!! my name is jo [...],2012-10-11T13:50:24-04:00,emailnotfound
old cat needs ride to south florida (lancaster),lancaster,http://lancaster.craigslist.org/rid/3313199773.html,if you're on your way to south florida either on your own or transporting a snowbird's vehicle (providing they won't mind) ) and could use some help with your expenses please consider giving our cat a ride. she'll meow for the first 10-15 minutes of  [...],2012-10-06T07:03:45-04:00,emailnotfound
mansfield to lancaster,lancaster,http://lancaster.craigslist.org/rid/3312690113.html,"i drive from mansfield university to lancaster every friday 
afternoon and then return in the evening. i do the same on sunday.",2012-10-02T23:23:12-04:00,emailnotfound
