title,postingFrom,permalink,shortDescription,postingDate,mailToLink
anyone driving through st george,lasvegas,http://lasvegas.craigslist.org/rid/3417854588.html,i desperately need someone to stop in st george on your way to slc/provo to pick up a harley motorcycle frame. i will pay 50$ at pick up and another 50$ at drop. please call 208-four12-one631. thank you.,2012-11-18T00:43:07-08:00,emailnotfound
"can haul loads under 1500lbs across the country. (seattle, denver, baltimore)",lasvegas,http://lasvegas.craigslist.org/rid/3396661801.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T20:39:15-08:00,emailnotfound
ride to oregon (las vegas to portland),lasvegas,http://lasvegas.craigslist.org/rid/3417585144.html,"young, honest couple needs a ride home to oregon. we have gas $ when we get there. we are home sick. going to the beautiful nw?",2012-11-17T19:30:42-08:00,emailnotfound
i offer a ride from las vegas to san diego this weekend (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3410173899.html,"hi, i offer a ride from las vegas to san diego on sunday 18th, this weekend. im a 26 years old male, no drugs, no smoke, normal guy. 
was thinking to leave on sunday around 1pm, but maybe i can try to work out the schedule with you. 
text me at 619 5 [...]",2012-11-17T18:49:29-08:00,emailnotfound
ride offered - lv to az - tue 11/20 (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3417437679.html,"i am driving from las vegas to arizona for thanksgiving and plan to leave on tuesday the 20th at around noon. i am flexible, so i could possibly leave a day earlier or a day later, and i'm flexible on times as well. i've made this drive plenty of tim [...]",2012-11-17T17:47:03-08:00,emailnotfound
thanksgiving to san diego (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3384111575.html,"going to san diego on thursday 22. nov leaving vegas around 9:00 am and coming back saturday 24. nov around noon. 
each trip $35. please send a pic when replying. thank you.",2012-11-17T17:45:52-08:00,emailnotfound
girl needs ride to phx airport or elliott and i-10 (laughlin),lasvegas,http://lasvegas.craigslist.org/rid/3417347021.html,"i am one girl with no luggage 
maybe needing to get to phx from laughlin 
sun through thursday only for thxgiving ",2012-11-17T16:51:30-08:00,emailnotfound
mississippi,lasvegas,http://lasvegas.craigslist.org/rid/3417206996.html,"i am going on a trip before christmas, i will be heading from vegas to mississippi. i want to offset some of the expense. 
i can get you there cheaper than most or all other travel options 
if you want to go to 
phoenix, dallas, new orleans, memphis  [...]",2012-11-17T15:34:20-08:00,emailnotfound
ride needed - las vegas on wed. nov.28 (las vegas),lasvegas,http://lasvegas.craigslist.org/rid/3417053901.html,"i'm looking for a ride from las vegas to san francisco. 
leaving november 28th returning november 30th im going 2 a show on thurs nite, id like 2 leave tuesday late or wed early.....im traveling with my girlfriend, so we actually need 2 seats. we bot [...]",2012-11-17T14:17:52-08:00,emailnotfound
driver needed (nlv),lasvegas,http://lasvegas.craigslist.org/rid/3417018935.html,"driver needed.. transport son from legacy high school to ccsn, cheyenne campass. needs to be picked up at 1:30 pm mon. thru thur . 612-6015 please only call if you live close to legacy high school. ",2012-11-17T14:01:32-08:00,emailnotfound
