title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed - lawrence to kingman on wed 11/21 (lawrence),lawrence,http://lawrence.craigslist.org/rid/3414110275.html,"i'm looking for a ride from lawrence to kingman. 
leaving november 21st returning november 22nd. my grandma is in bad health. she asked me to be with her on thanksgiving. renting a car in lawrence during the holiday would require 3 days, since they w [...]",2012-11-16T11:58:03-06:00,emailnotfound
"my car, your gas, to anywhere",lawrence,http://lawrence.craigslist.org/rid/3402676078.html,"i have a 98 mercedes, its pretty comfy. my life is a mess right now, and i have no job and no school. so i wouldnt mind leaving kansas. if anyone wants to pay for the gas, ill drive wherever you want to go in the us",2012-11-11T14:59:48-06:00,emailnotfound
have a small trailer that needs to go to s. florida? (lawrence),lawrence,http://lawrence.craigslist.org/rid/3400295463.html,"do you have a small trailer that needs to be delivered to s. florida? leaving tuesday, wednesday at the latest. email for more information",2012-11-10T12:31:09-06:00,emailnotfound
i'm going to wichita for thanksgiving break (lawrence),lawrence,http://lawrence.craigslist.org/rid/3397423829.html,"any fellow wichitans who are going home for break? i drive a toyota avalon with a lot of space for your luggage. $25 covers your share of gas for roundtrip. i'm leaving lawrence either tuesday night or wednesday morning, and i'm coming back sunday.",2012-11-09T08:55:10-06:00,emailnotfound
oregon bound  (lawrence ),lawrence,http://lawrence.craigslist.org/rid/3389818203.html,hello all heading to salem oregon on 11/7 or 11/8 im 40 i smoke looking for some one that whats to share the expenses and driving there if interested call or text 785 741 4588 ty nathan ,2012-11-05T22:42:12-06:00,emailnotfound
ride to denver (denver),lawrence,http://lawrence.craigslist.org/rid/3387363450.html,i am looking for a ride up to denver for the new years shows and returning if possible. i have gas money and good stories to tell go see some music and make it there and back cheap. please be sane and willing to have a good time on your journey to 20 [...],2012-11-04T22:49:36-06:00,emailnotfound
ride offered to nola/ point between,lawrence,http://lawrence.craigslist.org/rid/3386325541.html,leaving tues nov 6 to new orleans. can drop off along the way. want to split gas/ driving. call mason 785-330-3928,2012-11-04T13:06:47-06:00,emailnotfound
"lawrence, ks to little rock, ar",lawrence,http://lawrence.craigslist.org/rid/3382691345.html,"going back to little rock sunday 11-4-12 if you need a ride let me know, i plan on leaving around 1200 noon. 501-515-2074",2012-11-02T18:28:25-05:00,emailnotfound
need ride to denver (lawrence),lawrence,http://lawrence.craigslist.org/rid/3375174764.html,"hello - i'm looking for a ride with someone going to or through denver on november 1...could go on 2nd though. i will share gas cost. 4192901259 i'm in lawrence but could possible get a ride to wichita, topeka, etc. ",2012-10-30T13:18:53-05:00,emailnotfound
need ride to hays (lenexa to hays),lawrence,http://lawrence.craigslist.org/rid/3356060403.html,hello there. i'm looking for a ride wed. afternoon or thursday morning to hays for my sister's wedding (on sat.) i can chip in for gas or drive if you need to rest. please reply by email and i can call you back. thanks!,2012-10-22T04:36:34-05:00,emailnotfound
lawrence to manhattan (lawrence),lawrence,http://lawrence.craigslist.org/rid/3319305533.html,"i need a ride to manhattan, from lawrence, tonight or this evening. (octorber 19th) 
i can pay for gas. 
i'm a mature, respectful ku student. 
please call or text: 785-917-0871. 
thank you!",2012-10-19T17:22:19-05:00,emailnotfound
lawrence/op to kc (lawrence/overland park),lawrence,http://lawrence.craigslist.org/rid/3348111168.html,"i am wanting to know if anyone who lives in lawrence or overland park is heading to kc this weekend (i will be at jccc until 5:50 tomorrow) and would like to be picked up there and just dropped off nearest to 31st & troust that you can get me, of cou [...]",2012-10-18T13:41:40-05:00,emailnotfound
