title,postingFrom,permalink,shortDescription,postingDate,mailToLink
jacksonville ar- hope ar (jacksonville ar),littlerock,http://littlerock.craigslist.org/rid/3417637643.html,i need a ride to hope arkansas from jacksonville arkansas very important for me to go home i would need to be there thanks giving day before noon i can provide gas money if anyone is going that way.,2012-11-17T22:13:36-06:00,emailnotfound
ride to lisa academy (little rock),littlerock,http://littlerock.craigslist.org/rid/3413825178.html,looking for rideshare to lisa academy on 21 corporate hill in west little rock asap.,2012-11-16T10:13:16-06:00,emailnotfound
discount travel for less to any state or city,littlerock,http://littlerock.craigslist.org/rid/3395740474.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T17:02:21-06:00,emailnotfound
ride offer: little rock to knoxville (little rock),littlerock,http://littlerock.craigslist.org/rid/3412073251.html,"hi! i'm jake, a professional stand-up comedian. 
my wife and i are driving from little rock, ar to knoxville, tn on tuesday, november 20 or wednesday, november 21. it's about 530 miles in between the 2 cities. want to go on an adventure and split the [...]",2012-11-15T14:05:21-06:00,emailnotfound
ride needed: little rock to nola (united states),littlerock,http://littlerock.craigslist.org/rid/3410811058.html,"hi there! i'm currently traveling round the south and staying with a friend in little rock. i am trying to get to new orleans within the next two weeks, preferably sometime next week. i'm honest, reliable, can pitch in for gas, and a generally happy  [...]",2012-11-14T23:05:53-06:00,emailnotfound
ride offered - little rock to orlando on sat 11/17 (little rock),littlerock,http://littlerock.craigslist.org/rid/3408764777.html,"i'm offering a ride from little rock to orlando. 
leaving november 17th returning november 27th. my travel dates are flexable and its a cargo van so there is plenty of room...as for money, just pitch in what you can for gas and its all good. contact  [...]",2012-11-14T07:09:32-06:00,emailnotfound
i am going to florida.  do you need a ride?,littlerock,http://littlerock.craigslist.org/rid/3408197836.html,i am available to leave anytime after friday. let me know if you need a ride. pitch in a little for gas?,2012-11-13T20:18:35-06:00,emailnotfound
rideshare - getting old because your vehicle needs transmission (call us today ),littlerock,http://littlerock.craigslist.org/rid/3404769600.html,"no need to keep ridesharing (north little rock ar) 
date: 2012-09-06, 12:14pm cdt 
reply to: your anonymous craigslist address will appear here 
no need to keep ride sharing if your car or truck needs a transmission. just call us and we will get you  [...]",2012-11-12T13:23:47-06:00,emailnotfound
offering ride to jonesboro tomorrow (downtown),littlerock,http://littlerock.craigslist.org/rid/3404401433.html,just asking for some gas money. call me at 972-898-8334.,2012-11-12T11:19:26-06:00,emailnotfound
ride offered: little rock through tn to nc (ar to asheville nc),littlerock,http://littlerock.craigslist.org/rid/3402043195.html,"hi there road warriors! 
i will be driving through little rock late morning on the 13th and heading all the way to nashville i hope. then the following day to asheville nc. i can drop you anywhere along the way. if you want to stay on for the whole r [...]",2012-11-11T10:09:46-06:00,emailnotfound
reliable driver available (little rock),littlerock,http://littlerock.craigslist.org/rid/3335672941.html,"i'm a safe, reliable, decent, insured and licensed driver, trying to make ends meet, i'm available for your transportation needs and available between the hours of 8:00am and 10:00pm (other times can be arranged with advance notice) 
i calculate rate [...]",2012-11-10T06:21:00-06:00,emailnotfound
"so, anybody else want to move to colorado? (little rock area)",littlerock,http://littlerock.craigslist.org/rid/3399397096.html,"im an easy to get along with outgoing single white female looking to get out to the front range area to find a place to settle in. i love big dogs and travel tho i find myself sans wheels. 
shoot me some info if you have any plans you may have to go  [...]",2012-11-10T01:57:01-06:00,emailnotfound
need ride to basketball game (conway),littlerock,http://littlerock.craigslist.org/rid/3399119064.html,i am arrive in little rock via plane. looking for someone who can drive me to conway for a basketball game and then back to airport. game is next tuesday. email if you can. will even buy ticket for you to game if into basketball.,2012-11-09T21:13:58-06:00,emailnotfound
need rideshare from benton to lr (little rock),littlerock,http://littlerock.craigslist.org/rid/3396749993.html,need to share ride/expenses with someone going from benton area to little rock on a daily basis. i am open on what time in morning to leave. ,2012-11-08T21:10:32-06:00,emailnotfound
ride needed (odessa),littlerock,http://littlerock.craigslist.org/rid/3396730235.html,"couple looking for ride to odessa,tx. willing to pay all gas. will not cover food and no drama.....just get there! 630-442-2154 ",2012-11-08T20:58:00-06:00,emailnotfound
