title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rideshare needed from roanoke to lynchburg m-f (cave spring),lynchburg,http://lynchburg.craigslist.org/rid/3399620481.html,i work downtown lynchburg on court street and commute monday through friday from roanoke. i will likely do so for several more months until my home in roanoke sells. i drive a comfortable full sized car that gets decent mileage but would like to shar [...],2012-11-18T07:30:46-05:00,emailnotfound
trans to california (lynchburg),lynchburg,http://lynchburg.craigslist.org/rid/3416964137.html,"we are leaving early on friday the 23rd of november for san diego califoria. anyone needing a ride give us a call. we can drop off anywhere along the way. 434 485 1507. 
we have a 15 passenger van that is in very good codition.",2012-11-17T16:36:12-05:00,emailnotfound
need ride (nashville tn to el paso tx),lynchburg,http://lynchburg.craigslist.org/rid/3416140066.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:07:10-05:00,emailnotfound
december 7th (lynchburg),lynchburg,http://lynchburg.craigslist.org/rid/3413302660.html,"on december 7th i am having shoulder surgery at the salem va medical center. i need someone to ride with me from lynchburg that morning and be able to drive me and my car back later that day, after my surgery. i will be there approximately 6 or 7 hou [...]",2012-11-16T03:54:31-05:00,emailnotfound
thanksgiving travel (lynchburg),lynchburg,http://lynchburg.craigslist.org/rid/3410908023.html,i am driving to northeast arkansas through memphis on thanksgiving - leaving l'burg early thursday moring. will be returning from the st louis area on sunday coming back to l'burg. if you need a ride either way txt me at 251-423-4292.,2012-11-15T01:53:46-05:00,emailnotfound
ride to dc on wed 21st  (lynchburg to dc),lynchburg,http://lynchburg.craigslist.org/rid/3406861318.html,"looking for a ride to dc metro area (dc, nova) on/around wed the 21st of nov. the ride will be for two people, and we would pay a large portion of the gas. preferably during the daytime. 
also looking for a ride back to lynchburg on the following sun [...]",2012-11-13T12:08:53-05:00,emailnotfound
"ride offered lynchburg, va to atlanta, ga",lynchburg,http://lynchburg.craigslist.org/rid/3404751432.html,i am driving from lynchburg to atlanta for thanksgiving probably sunday november 18 and returning to lynchburg saturday november 24. if anyone needs a ride in the same direction and is willing to contribute money for gas please contact me. i can fit  [...],2012-11-12T14:17:35-05:00,emailnotfound
rustburg to salem va hospital (lynchburg),lynchburg,http://lynchburg.craigslist.org/rid/3403607090.html,i occanionally have appointments at the salem va hospital. i am looking for someone that makes a round trip in order that i may ride with them. i am willing to pay a reasonable amount for a ride. please call 434-845-7175 if you have a ride and ask fo [...],2012-11-12T02:10:36-05:00,emailnotfound
"need thanksgiving ride from lynchburg to louisville, ky  (lynchburg, va)",lynchburg,http://lynchburg.craigslist.org/rid/3400078805.html,"hi i am in need of a ride from lynchburg, va to louisville, ky. if you are from liberty or another college and are going home for thanksgiving break please let me know. i can negotiate payment terms with you. thanks in advance...",2012-11-10T12:08:05-05:00,emailnotfound
"need help transporting a rescued puppy!  (rochester, ny)",lynchburg,http://lynchburg.craigslist.org/rid/3386623069.html,"i adopted a puppy from lynchburg, va. and his foster dad will drive to meet someone in va. he is 18 weeks old and up to date on all shots, neutered and has his vet papers confirming he is healthy. when i adopted him from the rescue that saved him fro [...]",2012-11-04T16:24:19-05:00,emailnotfound
from lynchburg to boston,lynchburg,http://lynchburg.craigslist.org/rid/3385387406.html,"in desperate need of a ride around thanksgiving time to get to boston, i work so would like to leave around the begining of the week like sunday or monday but that can be discussed. if you can call/text or reply as soon as possible that would be grea [...]",2012-11-04T01:46:57-04:00,emailnotfound
"will pay for ride, dixie airport to sheetz (madison heights)",lynchburg,http://lynchburg.craigslist.org/rid/3366570913.html,"i'm tempoarily without a vehicle, and need a ride, thursdays, fridays, and saturdays, just 2.5 miles. i live off dixie airport and 130, and need to get to work, right across the street from sheetz. i will pay $5 to work each day. please call sandy. 4 [...]",2012-10-26T13:36:14-04:00,emailnotfound
ride 95n (lynchburg),lynchburg,http://lynchburg.craigslist.org/rid/3350480543.html,"ride offered to phl, dc or anywhere in the middle. 
prefer only 1 person, no groups. email me with details. looking to drive this evening",2012-10-19T14:47:36-04:00,emailnotfound
lynchburg to arlington,lynchburg,http://lynchburg.craigslist.org/rid/3343908076.html,"next week, need a ride to arlington....$50.",2012-10-16T18:35:05-04:00,emailnotfound
"need ride asap (charleston, sc)",lynchburg,http://lynchburg.craigslist.org/rid/3329966935.html,"hello, 
i need a ride to the charleston, sc area. i need to leave as soon as possible. i can help with gas money. please reply via email if you can help me out. thank you!!!! 
blessings. ",2012-10-10T16:57:13-04:00,emailnotfound
