title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride to san antonio for thanksgiving (mcallen),mcallen,http://mcallen.en.craigslist.org/rid/3409694469.html,"two 20somethings looking for a ride from 
the valley to san antonio on the 22nd of november to visit family. send message if you can do this for us! ",2012-11-14T13:43:47-06:00,emailnotfound
don't drink n drive. ask a ride,mcallen,http://mcallen.en.craigslist.org/rid/3402100154.html,"need a ride?........ 
set an appointment...... 
better price than a taxi... 
call...or.....text. at 
956 776 1166 
mention the ride ",2012-11-11T10:37:18-06:00,emailnotfound
need a ride to mcallen right now or in the  morning!!! (alto bonito(please)),mcallen,http://mcallen.en.craigslist.org/rid/3401565277.html,i can pay for gas. i need the ride later today. i'd really appreciate if you can help. 210 870 5049,2012-11-11T01:44:03-06:00,emailnotfound
offering ride to san antonio (mission/mcallen/edinburg),mcallen,http://mcallen.en.craigslist.org/rid/3394171244.html,"hi , 
i will be travelling from the valley to san antonio on friday and am offering a ride to anybody that needs one. 
if you're able to chip in with gas that would be great. 
i'm courteous, friendly, respectful, and a non smoker and in my 20s 
if yo [...]",2012-11-07T19:01:00-06:00,emailnotfound
mcallen to nyc (mcallen/edinburg),mcallen,http://mcallen.en.craigslist.org/rid/3389111171.html,"needing a ride with a truck driver from mcallen/edinburg (tx) to new york city or new jersey. 48 y/o male, nonsmoker, no drugs,very respectful and courteous. just needing a ride to the big apple area asap. do not have money but will help with meals.  [...]",2012-11-05T16:16:17-06:00,emailnotfound
plantersville tx  (alamo),mcallen,http://mcallen.en.craigslist.org/rid/3380813120.html,"share ride to plantersville, tx on the 23nov near north houston 292-6186 or 702-4361 u pay for your share of gas. i provide auto",2012-11-01T23:04:37-05:00,emailnotfound
********in need of ride to san antonio (freer tx),mcallen,http://mcallen.en.craigslist.org/rid/3336608741.html,"looking for a ride from freer tx to san antonio. 
no bad habits i wil heplwith gas. 
please contact me at 7024393345 
thanks in advance",2012-10-13T13:42:48-05:00,emailnotfound
need ride har to la feria on sunday (har2laferia),mcallen,http://mcallen.en.craigslist.org/rid/3319554623.html,"sunday, would u be willing to take me 2 gt my truck in la feria 
if so leave digits so we can set up time...thanks for reading nd 
responding to post",2012-10-05T21:12:40-05:00,emailnotfound
need ride to san antonio 10/11 (mission/mcallen),mcallen,http://mcallen.en.craigslist.org/rid/3317525120.html,"hi i'm visiting home (the valley) for a few days next week. 
my ride needs to leave a day earlier than i do though. 
i'm looking for anyone travelling to or through san antonio, i can help chip in money for gas. 
i travel light and am respectful and  [...]",2012-10-05T01:03:15-05:00,emailnotfound
"your ride home ((mcallen, pharr/sanjuan area))",mcallen,http://mcallen.en.craigslist.org/rid/3311043656.html,"no of days many do not have transportation to get from point a to point b... 
wait till the see that i can benefit you by providing transportation at a lower rate for taxi services. 
available from (8 a.m. to 5 a.m) 
ask for 
- jesus 
@ 956-429-7903",2012-10-02T10:20:01-05:00,emailnotfound
