title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed from medford to fremont ca (bay area) on november 23rd (medford),medford,http://medford.craigslist.org/rid/3408173645.html,ride needed from medford to fremont ca (bay area) on the 23rd of november.i can pay $40 cash. please contact abe @541-512-1644 thank you.,2012-11-17T23:34:49-08:00,emailnotfound
sunday ride offer grants pass to seattle (grants pass),medford,http://medford.craigslist.org/rid/3417763073.html,"heading north sunday from grants pass up past seattle 
help with gas",2012-11-17T22:20:52-08:00,emailnotfound
need ride to salem oregon from cavejunction (or grants pass),medford,http://medford.craigslist.org/rid/3403039701.html,"need ride to salem ore just off i-5 exit drop off ,on off ramp quick and eazy return to freeway i-5 call 541-659-0019thank you",2012-11-17T21:44:05-08:00,emailnotfound
ashland- san francisco ride for thanksgiving? (san francisco),medford,http://medford.craigslist.org/rid/3410064308.html,hi i am driving back home for thanksgiving on tuesday around 1-5:30. i have not yet decided what time to leave but i will be coming back on sunday leaving at 10am. i have 3 extra seats left in my car and a good amount of space for bags. i'm looking t [...],2012-11-17T21:25:44-08:00,emailnotfound
big blue van heading south (ashland to redding),medford,http://medford.craigslist.org/rid/3417662246.html,"hey, traveling world. 
we are leaving ashland either late monday afternoon or tues morn. cruising south to redding, possibly beyond. we have room for several passengers & would love help with gas funds. 
peace & blessings. ",2012-11-17T20:35:34-08:00,emailnotfound
need rided medford - albany asap (medford/albany please help),medford,http://medford.craigslist.org/rid/3417656986.html,i need to get a ride back to albany asap. i was staying with friends when they got in a fight and kicked me out. it is cold and foggy and i have no where to go and not enough money for a bus ticket... please help!!!! 541-981-8517,2012-11-17T20:30:41-08:00,emailnotfound
ride wanted ashland to east bay for thanksgiving (ashland),medford,http://medford.craigslist.org/rid/3417617017.html,"i am looking for a round trip ride from ashland to pleasanton, ca or any bay area / san francisco bart station. i'm down to pitch in for gas and throw a couple extra bucks your way too. my preferred dates are wed the 21st to sun the 25th but i am fle [...]",2012-11-17T19:56:15-08:00,emailnotfound
ride to eugene sunday nov 18th (ashland area),medford,http://medford.craigslist.org/rid/3417529274.html,"ride offered to eugene sunday nov 18th from the ashland/medford area mid-day. 
please call (541)fivetwofive2915 
thanks!",2012-11-17T18:49:15-08:00,emailnotfound
l5 south bound  to medford,medford,http://medford.craigslist.org/rid/3417477120.html,please no flakes leaving se portland going to medford .,2012-11-17T18:12:54-08:00,emailnotfound
ashland to lake county (ukiah),medford,http://medford.craigslist.org/rid/3417471255.html,"lift-off tomorrow morning, share the ride?? call garrett @503.505.6952",2012-11-17T18:09:02-08:00,emailnotfound
ashland to shasta tomorrow! (mt.shasta),medford,http://medford.craigslist.org/rid/3417464018.html,pulling up anchor first thing tomorrow... share the ride? call garrett @503.505.6952,2012-11-17T18:04:15-08:00,emailnotfound
rideshare ashland area&gt;portland sunday  (medford),medford,http://medford.craigslist.org/rid/3417452853.html,"hip mamma driving vw to portland on sunday 11/18/2012. i have room for at least 2 more passengers. i'm on a limited budget and need to fill the tank when i return it, so i'm asking $40. i can drop you off at your door in the greater portland or close [...]",2012-11-17T17:56:51-08:00,emailnotfound
"seeking a ride: ashland to portland area 11/21 (ashland, or)",medford,http://medford.craigslist.org/rid/3417444591.html,"i'm looking for a ride from ashland or medford to the portland area/st helens on wednesday 11/21. i can leave any time that day and will help with gas. 
a little about me: female, 24, work in theatre, going to visit family for thanksgiving and don't  [...]",2012-11-17T17:51:32-08:00,emailnotfound
ashland to portland (a-town),medford,http://medford.craigslist.org/rid/3417156002.html,"im leaving town by 3pm, rolling a 92 honda accord. able to take one passenger and i am headed towards sandy. feel free to call 5032501056- kris",2012-11-17T15:07:49-08:00,emailnotfound
need a ride grants pass to sac/woodland area!!!! (grants pass),medford,http://medford.craigslist.org/rid/3417121155.html,looking for a ride on 19th or 20th please let me know thank you! need to get down there to see family for holidays,2012-11-17T14:50:11-08:00,emailnotfound
share ride to redding 11/19 (meddy/ashland/g.p/),medford,http://medford.craigslist.org/rid/3349533753.html,"hi! i'm mark! share the ride and adventure from medford/ashland/grants pass to redding on monday, november 19th!!! i'm a chill,mellow, 420-tolerant (just not in the car) alumnus from s.o.u. heading down to pick up my car from the shop. my number is ( [...]",2012-11-17T14:31:03-08:00,emailnotfound
grants pass to rogue river,medford,http://medford.craigslist.org/rid/3417041688.html,"need ride every monday, wednesday, & friday from rogue river to grants pass at 8:15 am 
and from grants pass to rogue river at 2:00 pm. 
will pay for all gas. grants pass location is very near exit 55.",2012-11-17T14:12:05-08:00,emailnotfound
"offered: s.f. bay area -&gt; medford, sun 11/18 (oakland to medford)",medford,http://medford.craigslist.org/rid/3416932602.html,"offered: ride from s.f. bay area to medford area. can pick up or drop off any reasonable points in between. leaving oakland sunday, 11/17 mid morning to early afternoon. can seat 1-2 more people. looking for riders to share gas, stories, and snacks.  [...]",2012-11-17T13:22:07-08:00,emailnotfound
grants pass to seattle or anywhere in between (grants pass),medford,http://medford.craigslist.org/rid/3416685218.html,"i will be leaving grants pass early wednesday morning around 7am (firm on time). heading north to seattle and can drop you off anywhere in between as long as its close to i-5. gas money will vary. 
bit about me: late twenties male, massage therapist, [...]",2012-11-17T11:38:51-08:00,emailnotfound
ride offered (mon) - ashland&gt;&gt;bay area,medford,http://medford.craigslist.org/rid/3416656605.html,we (my brother and i) are leaving ashland monday around noon heading to berkeley for thanksgiving. we are looking for a couple laid back riders to help with cost of gas and to bring good vibes. we are veteran travelers with good music and good storie [...],2012-11-17T11:27:30-08:00,emailnotfound
offering rides ashland-portland  (ashland),medford,http://medford.craigslist.org/rid/3416652606.html,"putting together a trip north to help people out so they can get to where they need to go. i have a 8 passenger nissan armada suv can take luggage, pets are fine. can drop you off at the door anywhere between ashland and portland can leave anytime to [...]",2012-11-17T11:25:57-08:00,emailnotfound
seeking ride north sunday 11/25 or monday 11/26 (ashland to se pdx),medford,http://medford.craigslist.org/rid/3416473313.html,"hello fellow rideshare folks. 
i am a 25 year old person looking for a ride north to portland on sunday november 25th or monday november 26th. i prefer monday, but would need to leave no later than 9am. i live in the inner se just across the ross isl [...]",2012-11-17T10:16:47-08:00,emailnotfound
"""trying to get home"" (ashland/bayarea)",medford,http://medford.craigslist.org/rid/3416459598.html,anyone coming to the bayarea? my son goes to sou and needs and ride to the bay. he can leave the afternnoon of 11/20 or anytime on 11/21. he does not drive but makes for good company. and if your are going back to the ashland/medford area 11/24 or 11 [...],2012-11-17T10:11:32-08:00,emailnotfound
ride: grants pass to pdx 11/17 please!,medford,http://medford.craigslist.org/rid/3415670511.html,"hey all, 
i am looking for a ride saturday 11/17 from grants pass ate to portlnd. 
easy going 28 yr old female. want to leave in the afternoon if possible. 
have gas $$$, of course. :) 
503 eight nine zero 5483. 
please text. 
j",2012-11-17T01:08:37-08:00,emailnotfound
ride offered to portland mon 11/19 (medford/ashland to pdx/eugene),medford,http://medford.craigslist.org/rid/3410896359.html,"ride offered to portland/eugene area on monday 11/19. time flexible. 
room for 1 or 2 riders and gear. leaving from rogue valley. 
experienced rideshare driver. please email if interested. 
return available on friday 11/23.",2012-11-16T23:36:09-08:00,emailnotfound
ride offered to bay area 11/21 (applegate to berkeley),medford,http://medford.craigslist.org/rid/3415615535.html,ride offered from medford/ashland area to sf/east bay on wednesday 11/21. fun and friendly driver looking for company and help with gas $. want a ride?,2012-11-16T23:34:29-08:00,emailnotfound
