title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed from willits to san francisco (willits),mendocino,http://mendocino.craigslist.org/rid/3417824913.html,"hi! my name is kiara, i'm an italian traveler looking for a ride from willits to san francisco on 20th november at any time during the day (the sooner the better!). 
thanx a lot!!!! ",2012-11-17T23:48:24-08:00,emailnotfound
ukiah to sfo or santa rosa... will pay some gas (ukiah),mendocino,http://mendocino.craigslist.org/rid/3417682877.html,"needing a ride from ukiah to sfo or santa rosa 
txt is preferred 
5o3 7 five 8 thirtythree 88",2012-11-17T20:54:42-08:00,emailnotfound
gas $ for ride to pdx (ukiah to portland),mendocino,http://mendocino.craigslist.org/rid/3417640991.html,"happy lil gay boy needs a ride to portland i can throw gas and conversation... 
five o three, seven 5 8, thirty three 88 
austin",2012-11-17T20:16:33-08:00,emailnotfound
ride needed from clear lake to ukiah or santa rosa (clear lake),mendocino,http://mendocino.craigslist.org/rid/3416560737.html,"i am in need of a ride to santa rosa or ukiah from clear lake. i can help with gas money! 
the ride is needed for this sunday nov. 18th. call or text @ 541 two3two 8886",2012-11-17T10:50:07-08:00,emailnotfound
english guy needs ukiah to san francisco on sunday for $ (ukiah),mendocino,http://mendocino.craigslist.org/rid/3416512346.html,"heading home for sister's wedding and need a ride to the big smoke. anytime sunday is good. i'm staying centrally. 
happy to donate for gas, as well as share stories of prices in europe that will make your hair stand on end :o) 
cheers.",2012-11-17T10:31:29-08:00,emailnotfound
ride needed from willits to eureka today,mendocino,http://mendocino.craigslist.org/rid/3416348044.html,i need a ride from willits to eureka today or tomorrow if anyone is going up.i can pitch on gas.please call 707 841 0452.,2012-11-17T09:28:58-08:00,emailnotfound
goin north from ukiah to ashland (mendo),mendocino,http://mendocino.craigslist.org/rid/3415702890.html,i'm driving up to ashland the 20th or 21st (most likely the 21st) have room to share. no smoking in the car though. :),2012-11-17T02:19:29-08:00,emailnotfound
need ride-willits to eureka today (sat) (willits),mendocino,http://mendocino.craigslist.org/rid/3415638921.html,i need a ride today (saturday) from willits to eureaka. will contribute gas money..please text (907) 301-9593 if you're going up. thanks!,2012-11-17T00:11:09-08:00,emailnotfound
need ride to ashland or eugene the 20/21st )'( (willits-&gt;eugene/ashland),mendocino,http://mendocino.craigslist.org/rid/3415534761.html,"hi, am hoping to catch a ride by the 21st to either ashland or eugene, have gas to pitch and i am a non annoying or smelly rider.. ;) 
have a tote and bag.... 
~d 54133seven9six38",2012-11-16T21:55:51-08:00,emailnotfound
need to get to l.a. for turkey day (laytonville),mendocino,http://mendocino.craigslist.org/rid/3415422392.html,"my 4 year old and i would be so grateful to get a lift down to l.a. to see our family 
for turkey day! we're great travelers and can split the gas with ya!",2012-11-16T20:14:30-08:00,emailnotfound
ride needed willits/ukiah to oakland dec. 1st (willits to oakland),mendocino,http://mendocino.craigslist.org/rid/3415113418.html,"sweet couple in need of a ride to oakland or san francisco on saturday december 1st. can offer driving, gas money and good conversation! 
please call 808-298-5657 and leave a message. (very limited phone reception) if you are headed that way, that da [...]",2012-11-16T16:55:22-08:00,emailnotfound
ride wanted: garberville to san francisco 11/19,mendocino,http://mendocino.craigslist.org/rid/3414508574.html,"hi, looking for a ride from garberville or laytonville to anywhere in the bay (bart) on monday, the 19th. i have gas money and a flight that i don't want to miss on tuesday! text me 414- 9one5 five 496",2012-11-16T12:25:49-08:00,emailnotfound
ride needed: caspar to sacramento (touring musician) (caspar inn),mendocino,http://mendocino.craigslist.org/rid/3369280593.html,"hi there, 
i'm performing at the caspar inn on saturday december 1st (with a reggae band called high life) and am hoping to find a ride from caspar area to sacramento on sunday morning to catch a flight to nashville, tn. the rest of the band is headi [...]",2012-11-15T21:01:32-08:00,emailnotfound
20 through clear lake to willits to eureka (i5 and 20),mendocino,http://mendocino.craigslist.org/rid/3412952202.html,"getting on 20 now from i5. if you want a ride as far as eureka let me know. got room for 1. 
email me your number and i will text or call you when i got service. peace.",2012-11-15T19:06:53-08:00,emailnotfound
seeking ride 11/21 to (los altos),mendocino,http://mendocino.craigslist.org/rid/3412340531.html,"hello and thanks for responding. 
i am in need of a ride from ukiah to los altos on the 21st. can be in ukiah (from eureka) by 12:00 and would like to head south soon after that (would like to arrive in los altos for dinner). 
am a good conversationa [...]",2012-11-15T13:56:11-08:00,emailnotfound
ride from mendo to santa rosa wanted (mendo),mendocino,http://mendocino.craigslist.org/rid/3412286012.html,"im looking for a ride to santa rosa from mendo coast 
im willing to help w gas etc.. cell is 707 357 5494",2012-11-15T13:33:07-08:00,emailnotfound
ride needed from ukiah / willits to san francisco (ukiah / willits),mendocino,http://mendocino.craigslist.org/rid/3412071282.html,"ride for one needed from ukiah / willits area to san francisco for a job. would like to leave as soon as possible. gas money, green and good conversation provided. 
please call 7o7-234-1066 if you are interested. thank you! ",2012-11-15T12:04:34-08:00,emailnotfound
ride needed from garberville or laytonville to the bay area  (laytonville),mendocino,http://mendocino.craigslist.org/rid/3410879718.html,"hey there my name is kat and i would like a ride to the bay on thursday evening 
or anytime on friday. anywhere in the bay, or near the bay is fine. 
if u can help me out my number is 415 813 9125 
take care :) ",2012-11-14T22:16:43-08:00,emailnotfound
need ride to clear lake (clear lake),mendocino,http://mendocino.craigslist.org/rid/3410041371.html,need ride to clear lake have a dog,2012-11-14T13:58:04-08:00,emailnotfound
need ride to sac (fair oaks),mendocino,http://mendocino.craigslist.org/rid/3409905387.html,need ride to sac have dog and gas asap..please..4156227766 ,2012-11-14T13:03:10-08:00,emailnotfound
ride needed to reno monday or tuesday (ukiah),mendocino,http://mendocino.craigslist.org/rid/3409303982.html,"would like to leave ukiah anytime monday or tuesday 
20 is a forward shot right to reno n.v. 
i'm 29, educated, with good hygiene and a drivers license. 
have $$ for gas, 2 bags. 
please email me or contact me by telephone. 9two5.3zero0. eight9three4 [...]",2012-11-14T09:22:45-08:00,emailnotfound
laytonville to santa cruz  (laytonville to santa cruz),mendocino,http://mendocino.craigslist.org/rid/3408496533.html,"hi all :) 
lookin' for a ride from laytonville/bell springs down to santa cruz on november 21, 
the day before thanksgiving. 
i am clean and easy going, quiet or sociable, and will toss in for petrol. 
please email me asap to make arrangements to mee [...]",2012-11-13T22:00:27-08:00,emailnotfound
"ride needed piercy--&gt;sf bay (piercy, ca)",mendocino,http://mendocino.craigslist.org/rid/3408436199.html,"hi, 
looking for a ride from piercy (i can meet you somewhere close like willits) to the bay area (going to san francisco) this sunday 11/18 or monday 11/19. i am kind and have compensation for the ride! 
hope to hear from you soon.",2012-11-13T21:00:25-08:00,emailnotfound
ride needed ukiah - ashland 2moro (ukiah),mendocino,http://mendocino.craigslist.org/rid/3408344907.html,"ride needed ukiah to ashland tomorrow early morn pref. 
can help with fuel 
non smokin or alcohol plz call 503-314-9109 
also need ride to san fran from ashland friday nov16 
need to arrive by 7:30pm in san fran 
thanx",2012-11-13T19:49:59-08:00,emailnotfound
ride needed ukiah-sf 2moro! (ukiah),mendocino,http://mendocino.craigslist.org/rid/3408241668.html,"need a ride pref. early morn tomorrow wednesday nov 14 to san fran ! call plz any hour is fine. can help with fuel. 
thank 
503-314-9109",2012-11-13T18:44:27-08:00,emailnotfound
this momma needs to get from willits to eureka w a spare tire (from willits to eureka),mendocino,http://mendocino.craigslist.org/rid/3407247329.html,"i am in willits and looking for someone going atleast to eureka hopefully today to get my car out of inpound... i've already hitched up with a spare tire once, (hoping my car would still be on the rd - to no avail) not looking forward to it again. i  [...]",2012-11-13T11:27:48-08:00,emailnotfound
willits to sfo?,mendocino,http://mendocino.craigslist.org/rid/3407127725.html,"hi all! 
i'm traveling in california and looking to join a ride to san-fran sometime between the 15th to the 20th. 
i'd love to share good mood, big smile and gas money of course :) 
i have no driver licence so i won't be able to drive. 
thanks for c [...]",2012-11-13T10:43:44-08:00,emailnotfound
ride needed: just laytonville to ukiah (laytonville),mendocino,http://mendocino.craigslist.org/rid/3407004126.html,my boyfriend and i need a ride from laytonville to ukiah today. please call sonia @ 8313596584 if ur available. we will pay for gas and ur time :),2012-11-13T09:59:44-08:00,emailnotfound
purple van ride offer to arcata on wensday/ thursday (ukaih),mendocino,http://mendocino.craigslist.org/rid/3406185867.html,"i am a sax player going north and want to be in arcata by thursday morning. 
michael vechello 
775-830-4165 
call anytime",2012-11-13T01:04:36-08:00,emailnotfound
a ride to iowa? (mendo),mendocino,http://mendocino.craigslist.org/rid/3406000436.html,"my husband and i (and our dog)are looking for a ride share to iowa sometime later in the month. we can help a little with gas and company, and my boyfriend is a licensed and safe driver(never been pulled over). we are hoping to get a ride with someon [...]",2012-11-12T21:06:23-08:00,emailnotfound
looking for a ride from mendo to sfbay area 11/20 pm (mendocino),mendocino,http://mendocino.craigslist.org/rid/3405384607.html,"looking for a ride from mendocino to bay area on tuesday, 11/20 after work (5:30ish). will pay gas money! 
trying to get to my fam for thanksgiving! 
thanks-",2012-11-12T15:15:11-08:00,emailnotfound
ride wanted from ukiah to san fran (or even santa rosa) on monday (ukiah),mendocino,http://mendocino.craigslist.org/rid/3403271923.html,"hello there, 
one english girl with some luggage seeking ride to san fran tomorrow (monday) to the castro. 
happy to leave whenever, but i need to be in the city in the afternoon. 
happy to pitch in for gas. 
i'm in ukiah. 
please text me on 619-822- [...]",2012-11-11T18:16:51-08:00,emailnotfound
ride offered mendocino to bay area monday,mendocino,http://mendocino.craigslist.org/rid/3403187382.html,"hello, i'm heading south from fort bragg to the bay area on monday evening. willits or ukiah pick up works. i'd love to share the trip and gas costs. calling is best right now 5one8-4two1-46five0. ",2012-11-11T17:25:44-08:00,emailnotfound
"ride desperately needed from branscomb(near laytonville) to eureka (branscomb, ca)",mendocino,http://mendocino.craigslist.org/rid/3402764573.html,"please help me get home. i am trapped here w/ an old pervert who is trying to cheat me out of my pay for a job i did. i am a good driver, female, have money and can offer green if you want some. kimberly. 707.616.1509.",2012-11-11T13:42:23-08:00,emailnotfound
friendly dude seeks ride to bay area weds/thurs ga$$$ (willits),mendocino,http://mendocino.craigslist.org/rid/3402575321.html,hi friends! i'm trying to hitch a ride to sf wednesday late pm or thursday am. i'm a 29 y/o organic farmer-type and i can bring you veggies or flowers. i can also help with gas and grass. please email or call 633-6338. thanks! brian,2012-11-11T12:12:22-08:00,emailnotfound
ukiha to sac (sac-fairoaks),mendocino,http://mendocino.craigslist.org/rid/3402522896.html,please need ride with in 20miles or so any direction of sac on tue 13th late afternoon or anytime wed 14th.even thurs works if i have to wait.have gas money and a medium sized well behaved dog.please call 415-876-8643or415-622-7766.trying to get to t [...],2012-11-11T11:48:18-08:00,emailnotfound
clearlake area to ukiha,mendocino,http://mendocino.craigslist.org/rid/3402521997.html,need ride to ukiha asap.have gas money and a medium sized well behaved dog.please call 415-622-7766 or 415-876-8643.thank-you.,2012-11-11T11:47:54-08:00,emailnotfound
"seeking ride: ukiah to san fran, sun/mon 11th november",mendocino,http://mendocino.craigslist.org/rid/3400566720.html,"heading down to the bay to fly out so hoping to find a nicer option than smelly old greyhound! 
can chip in for gas and am flexible with timing. 
call me on 415 967 9596",2012-11-10T12:20:24-08:00,emailnotfound
looking for thanksgiving ride to portland - have gas money (willits),mendocino,http://mendocino.craigslist.org/rid/3400212390.html,"hello there i'm living in willits and haven't bought a car yet so i'm looking for someone who is going to portland the monday, tuesday, or wednesday before thanksgiving. i'm more than happy to help with gas money.",2012-11-10T09:59:04-08:00,emailnotfound
ride offered - covelo to santa cruz on sun 11/18 (covelo),mendocino,http://mendocino.craigslist.org/rid/3399442401.html,"i'm offering a ride from covelo to santa cruz. 
leaving november 18th returning november 20th. can pick you up or drop you off any where along the way.... :) contact me on zimride: http://www.zimride.com/ride/share?ride=525592 ",2012-11-10T01:23:40-08:00,emailnotfound
