title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rideshare/carpool app (ios/android),merced,http://merced.craigslist.org/rid/3375287551.html,"hello ride-sharers/carpoolers, 
best carpool/rideshare app (ios and android) 
35+ countries, 475+ cities and growing 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all your [...]",2012-11-18T01:47:03-08:00,emailnotfound
daily rideshare to modesto from merced,merced,http://merced.craigslist.org/rid/3417413684.html,hi there i'm looking for a daily rideshare/carpool to either modesto or straight to the dublin/pleasanton bart station. shared costs.,2012-11-17T17:31:59-08:00,emailnotfound
ride from merced to la,merced,http://merced.craigslist.org/rid/3414226926.html,two seats needed from merced to the la area (specifically claremont) before thanksgiving. i'm trying for the 20-21. we both have licenses and can pitch on for gas. please text me 909-257-4295. ,2012-11-16T10:40:02-08:00,emailnotfound
ride needed - merced to san diego on tue 11/20 (merced),merced,http://merced.craigslist.org/rid/3411313552.html,"i'm looking for a ride from merced to san diego. 
leaving november 20th. uc merced student, looking for a ride close to san diego, ca. can leave one day before or after. thanks. contact me on zimride: http://www.zimride.com/ride/share?ride=534312 ",2012-11-15T07:10:37-08:00,emailnotfound
las vegas this weekend - private plane $150  (atwater / merced),merced,http://merced.craigslist.org/rid/3391882640.html,i am a pilot and instructor flying to the las vegas area for the weekend. leaving atwater-castle airport early/ mid friday afternoon and returning sunday evening. it's about a three hour flight. split the cost of the aircraft 50/50 which is under $30 [...],2012-11-06T17:35:36-08:00,emailnotfound
looking for daily rideshare to dublin bart station (merced),merced,http://merced.craigslist.org/rid/3389817452.html,"hi, i'm searching for anyone that commutes daily to the bart station located in dublin. i reside in merced so anyone in or around this area would be ideal. i'm looking to split costs and would be a passenger, as i do not have vehicle. i would have to [...]",2012-11-05T20:41:36-08:00,emailnotfound
"fresno to stockton and stockton to fresno (99, 4 and 5 freeways!)",merced,http://merced.craigslist.org/rid/3386206063.html,"i'm traveling frequently over the next two weeks from fresno to stockton and stockton to fresno. i will be passing thru merced both ways. if you need a ride either north or south and can contribute for gasoline then contact me for a lift! 
please if  [...]",2012-11-04T10:13:13-08:00,emailnotfound
"need a ride to l.a (merced,ca)",merced,http://merced.craigslist.org/rid/3370048565.html,"hello in need of a ride to l.a 
if able to help send me a txt to 213-5071294 
hope to hear from u soon 
lookng too depart tomrw evening or late around the day 
college student - 20 years old - male 
going to downtown l.a area",2012-10-28T01:12:11-07:00,emailnotfound
going to be driving through merced tomorrow omw to hollywood (sf bay area),merced,http://merced.craigslist.org/rid/3369995948.html,"driving to hollywood or nearby, i just need 2 things. 
1. 30 for gas 
2. no, none, zero drugs whatsoever please. cannot afford to risk taking you if that's the case. don't even smell like it, please. 
txt me 5 1 0 6 88 1 0 0 5 
leaving the bay around [...]",2012-10-27T23:30:31-07:00,emailnotfound
need a ride to sacramento (sacramento),merced,http://merced.craigslist.org/rid/3360163121.html,i need a ride to sacramento.. will help with gas money. please contact me at 916-410-4856,2012-10-23T15:12:22-07:00,emailnotfound
need ride from mariposa to san francisco  (mariposa),merced,http://merced.craigslist.org/rid/3353965485.html,"i am looking for a ride to the bay area next thursday or friday (25-26) 
callae 909-257-4295",2012-10-21T01:24:30-07:00,emailnotfound
ride to san francisco,merced,http://merced.craigslist.org/rid/3339776052.html,i need a ride to san francisco airport on the 30th of october i am located in winton email me with a price quote,2012-10-15T01:49:35-07:00,emailnotfound
need a ride to la?,merced,http://merced.craigslist.org/rid/3335607911.html,510-501-6802,2012-10-13T00:14:21-07:00,emailnotfound
