title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"can haul loads under 1500lbs across the country. (seattle, denver, baltimore)",missoula,http://missoula.craigslist.org/rid/3401491268.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T21:30:43-07:00,emailnotfound
missoula to idaho falls/pocatello (missoula),missoula,http://missoula.craigslist.org/rid/3417614518.html,i'm looking to get a ride to idaho falls or pocatello where my wife and the rest of the my family are and where i'd like to spend thanksgiving. i can pitch in with gas and help with driving if necessary. i'm interested in leaving on wednesday morning [...],2012-11-17T20:54:12-07:00,emailnotfound
ride offered 11/19 (kalispell to cheyenne),missoula,http://missoula.craigslist.org/rid/3416747990.html,"driving to cheyenne on monday in a real gas hog. lots of seating, looking for help with fuel costs. please contact via text if interested. 
foroh6-twowono-ate5tooeight ",2012-11-17T13:04:04-07:00,emailnotfound
share a ride to w. yellowstone (missoula),missoula,http://missoula.craigslist.org/rid/3416602759.html,"hi there, 
i am looking to catch a ride or have a rider to w. yellowstone this weekend or some time in the near future. i was doing research on the river there and need to collect my materials which will take me a couple of hours. if you need a ride  [...]",2012-11-17T12:06:28-07:00,emailnotfound
seeking ride from portland to missoula sun 25th (after thanksgiving) (pdx to mso),missoula,http://missoula.craigslist.org/rid/3416347931.html,"hi, 
i have a ride to portland for thanksgiving but am looking for a ride back after, preferably on sunday but saturday works too. definitely willing to split gas and bring tasty snacks! 
thanks, 
sarah",2012-11-17T10:28:56-07:00,emailnotfound
"going to bend, or (missoula to bend)",missoula,http://missoula.craigslist.org/rid/3415561922.html,"i am leaving for bend tomorrow morning, saturday. if you wanna pitch in on a lil gas i would be happy to take you all or part of the way. it's short notice so just call/text me if you wanna go. leaving before 10am. returning sunday morning. 
541.661. [...]",2012-11-16T23:26:06-07:00,emailnotfound
ride desired for christmas (mso-chicago are),missoula,http://missoula.craigslist.org/rid/3415527143.html,two normal people and a good dog are trying to get to the midwest for christmas and are trying to avoid paying insane airline fees. obviously would split for gas but would rather use another vehicle. reply with where you are headed. thanks,2012-11-16T22:47:52-07:00,emailnotfound
ride offered from missoula to portland on the 20th (missoula),missoula,http://missoula.craigslist.org/rid/3415391492.html,"i'm heading out to portland for the holiday season and have room for a few passengers that are willing to split gas. my car gets pretty good mileage, so $30 should be alright. 
if you're interested, email or call me at 205-515-2898. i will not respon [...]",2012-11-16T20:50:30-07:00,emailnotfound
need ride missoula to kalipsell (missoula),missoula,http://missoula.craigslist.org/rid/3415023508.html,starving college student needs ride to kalispell saturday to celebrate best friend's birthday. i can help with gas. ,2012-11-16T17:08:40-07:00,emailnotfound
"*_*offer: missoula- salt lake city, ut (missoula(around nov 20thish))",missoula,http://missoula.craigslist.org/rid/3414929069.html,"hey, 
leaving, give or take a few days around nov 20thish. split gas, plenty of room, reliable car. contact me anytime. i might leave the day after thanksgiving. 
630.675.4274 
james",2012-11-16T16:22:30-07:00,emailnotfound
"ride offer: missoula to jackson, wy",missoula,http://missoula.craigslist.org/rid/3414808942.html,"howdy, i have room for one and maybe a few bags. headed to jackson, wy next week, probably leave nov. 21st or 22nd. please email for more info. probably take i15 through idaho. 
thanks !",2012-11-16T15:28:02-07:00,emailnotfound
looking for ride to portland 12/16 (missoula),missoula,http://missoula.craigslist.org/rid/3414294709.html,"hi there. 
i'm looking for a ride to portland, oregon or eugene, or by 12/16. i can chip in for gas. hope you can help me out. 
thanks 
alex",2012-11-16T12:04:58-07:00,emailnotfound
2 people need ride to seattle (from missoula),missoula,http://missoula.craigslist.org/rid/3414036111.html,"hi, 
my partner nan and i need a ride to seattle or north of. we would like to to find a ride for this weekend by 11/16or17/2012. 
we can share gas and company. reply to our ad or call us. 
thanks in advance, 
rick gold 
four06five41-0016",2012-11-16T10:31:18-07:00,emailnotfound
