title,postingFrom,permalink,shortDescription,postingDate,mailToLink
st. louis to mobile/pensecola and back (st. louis / mobile / pensacola),mobile,http://mobile.craigslist.org/rid/3414759777.html,"i will be driving to pensacola/mobile area end of november. leaving day and time open...but i am thinking 11/22 evening, after thanksgiving dinners. otherwise friday 11/23 or any day/time thru tuesday 11/27. then i would be returning to st. louis in  [...]",2012-11-16T16:06:54-06:00,emailnotfound
need ride. daphne to ingalls  (daphne),mobile,http://mobile.craigslist.org/rid/3414575293.html,"my name is chris, i need a ride from daphne/ eastern shore area to ingalls. first shift....please text 251-404-5669 if your available",2012-11-16T14:51:47-06:00,emailnotfound
"driving from fl to ca leaving tonight in truck 4 u/your stuff sat 17th (from naples, fl to los angeles, ca)",mobile,http://mobile.craigslist.org/rid/3382225892.html,"hi... 
hubby is returning back to los angeles from naples florida leaving tonight saturday 17th at about 5-6ish pm est. 
feel free and give me a call (much better than email and txt) to touch base if interested in a ride for you or ""stuff"" transporte [...]",2012-11-16T06:58:39-06:00,emailnotfound
cheap travel to any city or state in usa,mobile,http://mobile.craigslist.org/rid/3398840700.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T17:02:46-06:00,emailnotfound
going to iowa (mobile),mobile,http://mobile.craigslist.org/rid/3403541274.html,need help getting my mother and two kids from mobile alabama to davenport iowa. can help with gas but really need help.,2012-11-11T23:47:30-06:00,emailnotfound
im needing a ride to atlanta please help i have a big project to do (mobile),mobile,http://mobile.craigslist.org/rid/3389640529.html,hey how are you im jay a 20 year old male and im a up coming comedian and i am doing a big project in the atl but really need a ride because i have nobody that wants to help me out...im not working because im fighting to become big one day but ima tr [...],2012-11-08T10:07:26-06:00,emailnotfound
mobile to atlanta i need a ride i have a project to do (mobile),mobile,http://mobile.craigslist.org/rid/3386913866.html,hey how are you im jay a 20 year old male and im a up coming comedian and i am doing a big project in the atl but really need a ride because i have nobody that wants to help me out...im not working because im fighting to become big one day but ima tr [...],2012-11-07T10:42:00-06:00,emailnotfound
ride offered 11/10 from mobile to denver,mobile,http://mobile.craigslist.org/rid/3373715224.html,"11/10 ride offered from mobile to denver-----traveling west to oregon----- 
cost is $120 = 1/2 of gas expense 
please call or txt me @ 850-866-9040",2012-11-06T11:39:36-06:00,emailnotfound
"carpool to ingalls shipyard, pascagoula (mobile)",mobile,http://mobile.craigslist.org/rid/3388969520.html,"carpool mobile to ingalls shipyard admin 2 parking lot. we meet at 6am at exit 22, i-10 dip 163 south, behind the checkers at military rd. for the 7am to 3:30pm shift (m-f) we are two looking for a third. we rotate driving duties, every third day you [...]",2012-11-05T15:19:22-06:00,emailnotfound
mobile to galveston (mobile to galveston),mobile,http://mobile.craigslist.org/rid/3385931701.html,i'm heading to galveston from mobile. i have room for a passenger and a suitcase. leaving thursday morning the 22nd and comming back on sunday. would like to split fuel. i'm 27 and male.,2012-11-04T10:06:37-06:00,emailnotfound
