title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride to phoenix (bhc/kingman),mohave,http://mohave.craigslist.org/rid/3417472877.html,"headed to phoenix on monday or tuesday 
will be glad to share ride and gas expenses 
please be presentable (hygienic) 
267 377 6450",2012-11-17T19:10:06-07:00,emailnotfound
ride around bullhead in my car some small gas money required (bullhead city az),mohave,http://mohave.craigslist.org/rid/3416428558.html,"if u need a ride somewhere around bullhead city, like for thxgiving groceries or whatever 
i am one lady with a nicer car 
for groceries or more this week only 
u can contribute some money toward gas as i am stuck here waiting for 
some mail to arriv [...]",2012-11-17T10:59:47-07:00,emailnotfound
"lake havasu city to flagstaff, az (lake havasu city)",mohave,http://mohave.craigslist.org/rid/3412867809.html,"i'm actually starting this drive in fullerton, ca. i will arrive in lake havasu city hopefully between 4:00pm and 5:00pm. i am willing to pick up passengers to go straight to flagstaff, az. my car is in perfect running order and can easily fit a pass [...]",2012-11-15T19:15:35-07:00,emailnotfound
looking for ride north (williston north dakota),mohave,http://mohave.craigslist.org/rid/3410496136.html,"looking for a ride to the oil field boom in williston north dakota for work. 
any time from the end of dec. to mid. feb would be great. and or anywhere 
somewhat near there will also be good. i will be able to help with gas cost 
(somewhat) as well.  [...]",2012-11-14T18:35:16-07:00,emailnotfound
12/16: ride offered to sf/bay area for you and your stuff! (lake havasu to bay area),mohave,http://mohave.craigslist.org/rid/3409121763.html,"my husband and i are moving to the bay area on saturday december 15th. we will be passing through lake havasu on sunday, december 16th. we are driving both a 16' moving truck and our own car and have room for passengers. we also have room extra space [...]",2012-11-14T09:15:23-07:00,emailnotfound
"tow n ride to odessa tx (needles,ca)",mohave,http://mohave.craigslist.org/rid/3407409299.html,"my car has been totaled near by and i am currently stranded in needles, ca. need some one to help me tow a small and light trailer to odessa, tx. i need to get back immediately. have around $150 to throw in. this is a lot to ask, but any help would b [...]",2012-11-13T13:26:38-07:00,emailnotfound
laughlin to vegas and back 11/14 (laughlin),mohave,http://mohave.craigslist.org/rid/3406130105.html,i'll be driving to vegas wednesday morning and coming back after 8pm. accepting riders to share gas cost either way.,2012-11-13T00:31:40-07:00,emailnotfound
lake havasu to san francisco (parker),mohave,http://mohave.craigslist.org/rid/3394024193.html,"leaving november 26 or 27th to san fancisco and returning a few days later. will stay in luxury marriott hotels. just want the company of a younger guy 18-24, no drugs or crap like that who wants to see the city?",2012-11-07T16:47:33-07:00,emailnotfound
kingman to needles (kingman),mohave,http://mohave.craigslist.org/rid/3375978935.html,"need to get my social secuirty card at social security office 
please call if i can catch a ride 
there and back can pitch in little gas 692 5525 ",2012-11-05T10:53:32-07:00,emailnotfound
havasu to las vegas (havasu),mohave,http://mohave.craigslist.org/rid/3383163522.html,need a ride to vegas and back need to pick up mail and finish last min stuff will help with gas anyday at anytime thanks,2012-11-02T21:52:30-07:00,emailnotfound
need ride to long beach asap (fort mohave),mohave,http://mohave.craigslist.org/rid/3381423316.html,"i need a ride to long beach, ca from fort mohave, az 
leaving today (friday). will put money in for gas. 
please call kelly at 928/303-5763.",2012-11-02T07:59:19-07:00,emailnotfound
ride from kingman to flagstaff nov 1 (kingman - flagstaff),mohave,http://mohave.craigslist.org/rid/3380547199.html,need to get to flagstaff no later than 4 am nov 2 for work at a new job...desperately needed!!! please contact asap!,2012-11-01T18:04:56-07:00,emailnotfound
havasu to vegas airport 11/2  leaving 3pm (havasu),mohave,http://mohave.craigslist.org/rid/3380469410.html,couple empty seats. will take u to airport. $25. 928-412-1356 ryan ,2012-11-01T17:21:45-07:00,emailnotfound
need a ride on november 8th (phoenix/mesa airport),mohave,http://mohave.craigslist.org/rid/3378523391.html,"i need to get a ride to the phoenix/mesa airport or some place close by. my plane leaves early on friday morning so i want to go on thursday some time let me know what you have available and what the cost will be 
thanks much",2012-10-31T20:56:31-07:00,emailnotfound
lake havasu to seattle or any place on the way (lake havasu),mohave,http://mohave.craigslist.org/rid/3374941259.html,i am a single woman with suv with plenty of room. i am leaving first week of nov. share gas and food. please call me at 206_551_9529. call me anytime i need to plan this trip home. i am very easy to get along with there is room for storage or possibl [...],2012-10-30T09:51:55-07:00,emailnotfound
lake havasu to santa cruz ca nov. 4 or 5,mohave,http://mohave.craigslist.org/rid/3373036970.html,"hello! 
my father (age 60) would like to drive up to california to see me, but is having problems with his vision right now - so i'm looking for someone who can drive him most of the way in exchange for a free ride. let me know if you have a license  [...]",2012-10-29T12:05:16-07:00,emailnotfound
bullhead city to vegas airport,mohave,http://mohave.craigslist.org/rid/3367657302.html,"i need a ride from bullhead city to the vegas airport on november 21st. my flight is at 9am, so either early morning or evening of the 20th. will split gas! ",2012-10-26T19:05:40-07:00,emailnotfound
need ride from lake havasu to needles (lake havasu),mohave,http://mohave.craigslist.org/rid/3366862308.html,"need ride on oct 26 from lake havasu, arizona to needles, ca to amtrak station to catch 12:30 am train. family emergency. will be at edge of town at palo verde north road and interstate 95 
tryin to hitch a ride. call 714 465 7252 if you can help out [...]",2012-10-26T12:27:09-07:00,emailnotfound
need ride to los angeles from mohave valley (mohave valley),mohave,http://mohave.craigslist.org/rid/3354987137.html,"can leave wed., thurs, fri, sat. will pay for gas. 
call 626 905 0016. thanks",2012-10-21T13:05:00-07:00,emailnotfound
"lake havasu to santa cruz, ca oct. 21 or 22",mohave,http://mohave.craigslist.org/rid/3342149612.html,"hello travelers! 
my father (age 60) would like to drive up to california to see me, but is having problems with his vision right now - so i'm looking for someone who can drive him most of the way in exchange for a free ride. let me know ! 
thank you [...]",2012-10-15T23:15:51-07:00,emailnotfound
need ride to vegas10/13 (lhc),mohave,http://mohave.craigslist.org/rid/3328542284.html,need ride to vegas on sat morning to airport call troy 928 230 5242 will help with gas ,2012-10-09T20:28:04-07:00,emailnotfound
lhc to vegas,mohave,http://mohave.craigslist.org/rid/3324294321.html,"i will be going to vegas tuesday the 9th leaving around 4am, if you need a ride contact me ",2012-10-08T07:18:49-07:00,emailnotfound
lake havasu to las vegas,mohave,http://mohave.craigslist.org/rid/3320481518.html,starting in lake havasu going to vegas by way of kingman early monday morning. if you need a ride contact me.,2012-10-06T09:14:38-07:00,emailnotfound
ride offered - lake havasu city to amarillo on tue 11/6 (lake havasu city),mohave,http://mohave.craigslist.org/rid/3319359541.html,"i'm offering a ride from lake havasu city to amarillo. 
leaving november 6th. the dates are very flexible depending on everyone's schedules. my sister and i need to be in new jersey before thanksgiving.my sister and i are making a cross country trek, [...]",2012-10-05T17:13:25-07:00,emailnotfound
need a ride to walmart and back (bhc ),mohave,http://mohave.craigslist.org/rid/3301813497.html,my car is in the shop. my sister and i need.a ride monday from our apt in laughlin to walmart in bhc and back. will pay for gas and a little more,2012-10-04T15:59:58-07:00,emailnotfound
