title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"u need a ride to the casino mohegan (strat, bridg, new h)",newhaven,http://newhaven.craigslist.org/rid/3415624645.html,"i will take 2 people to the casino mohegan sun for $200 round trip 5 hours maximum wait, on monday 19 anytime you want to go, 
if there is a 3rd person will be $250 
if you are interested please leave your contact info including your phone and email  [...]",2012-11-17T02:48:05-05:00,emailnotfound
share yale taxi to hartford bdl airport early sun. am (new haven),newhaven,http://newhaven.craigslist.org/rid/3414750394.html,"share yale taxi to hartford bdl airport early sun. am, 11/18/2012. maximum $50 each. leaves at 4:25 am! call 916-715-7920",2012-11-16T17:02:58-05:00,emailnotfound
ride to boston for h-y 11.16,newhaven,http://newhaven.craigslist.org/rid/3412638444.html,"driving up to boston on friday, 11.16 for the harvard-yale game. let me know if you need a ride! i'm actually driving through new haven from philly on the way up but will probably be going through new haven around 3:30/4pm. ",2012-11-15T19:12:22-05:00,emailnotfound
deals on travel to any state or city,newhaven,http://newhaven.craigslist.org/rid/3402616417.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T18:05:28-05:00,emailnotfound
thanksgiving trip (waterbury to clearfield pa),newhaven,http://newhaven.craigslist.org/rid/3396294073.html,will be heading out to clearfield pa on thanksgiving. leaving at about 7am and will be returning from clearfield on that saturday. but won't leave until about 11am. anyone need a lift along there. i'll drive just looking to split the gas bill.,2012-11-14T20:46:04-05:00,emailnotfound
do u need bike ride ? (stamford to nyc),newhaven,http://newhaven.craigslist.org/rid/3410302978.html,fast and furious ride on bike stamford to nyc for $100 call @ 2035704848,2012-11-14T18:54:45-05:00,emailnotfound
new haven to buffalo ny 11/19/12 (university of new haven),newhaven,http://newhaven.craigslist.org/rid/3410160706.html,"i am driving to buffalo for the thanksgiving holiday. i will be leaving west haven bright and early on monday morning (11/19/12). i'd love to split the expense with someone, or perhaps more than one person. if one person joins me, it will be $50; the [...]",2012-11-14T17:48:49-05:00,emailnotfound
professional driver (branford),newhaven,http://newhaven.craigslist.org/rid/3378394919.html,"professional driver (ct public service license) will drive you (in your car) to shopping, casinos, the doctors or whatever. i offer a low hourly rate for driving and waiting for you. airport runs will be done at an agreed upon flat rate. call (203) 8 [...]",2012-11-13T09:43:24-05:00,emailnotfound
"ride offered: nyc to pittsburgh to cincinnati, leave 11-12 (nyc/nj)",newhaven,http://newhaven.craigslist.org/rid/3372330447.html,"i am posting in the connecticut craigslist in case people in that area can get near nyc to share a ride from the nyc area all the way to pittsburgh then toward cincinnati, i can drop you off at any location along the way. the cost for the ride will b [...]",2012-11-11T10:11:38-05:00,emailnotfound
thanksgiving ride available: new haven to maine,newhaven,http://newhaven.craigslist.org/rid/3401351904.html,"hello! 
i will be driving from new haven to mount desert island, maine for thanksgiving, leaving wednesday afternoon (the 21st) and returning some time on sunday (probably early). it's a seven hour drive and i'd love the company. i'm willing to drop  [...]",2012-11-10T22:46:40-05:00,emailnotfound
new haven to boston friday or saturday,newhaven,http://newhaven.craigslist.org/rid/3396703579.html,i will be driving to boston from new haven on friday evening or saturday morning. i'm looking for someone who is headed that direction and would be interested in splitting the gas. i will be returning from boston on either sunday night or monday morn [...],2012-11-08T21:40:52-05:00,emailnotfound
ride offer to dc saturday morning (new haven&gt;dc or points in between),newhaven,http://newhaven.craigslist.org/rid/3393347646.html,"i'm driving from new haven to dc, leaving new haven saturday morning (would like to leave between 8:30am and 10am). can take up to three others, and can drop off at points along the way (ie nyc, philly, baltimore). i'm a non-smoker & good driver! ema [...]",2012-11-07T14:11:33-05:00,emailnotfound
anyone going to indiana?// (i live in waterbury),newhaven,http://newhaven.craigslist.org/rid/3393012221.html,"im trying to get there before tuesday....before or on tuesday 11/13 
i will pay all the gas 
2035273871",2012-11-07T12:11:13-05:00,emailnotfound
milford - boston and back (hamden),newhaven,http://newhaven.craigslist.org/rid/3391506288.html,"i drive from milford to wakefield ma (and back) every other week on fridays and sundays 
i have room for 1/2 non smokers not carrying a lot of luggage. 
can drop off at or near exits and t-stops 
gas donations appreciated",2012-11-06T17:24:22-05:00,emailnotfound
friendly experienced driver available (new haven/shoreline),newhaven,http://newhaven.craigslist.org/rid/3391390887.html,"do you need a ride to work? 
to school? 
to the market? 
to the doctor's? 
whereever you need to go, i'll take you. experienced, mature woman, with references, will put a smile on your face while you sit back and relax. call 203-361-8953 or 203-468-7 [...]",2012-11-06T16:35:37-05:00,emailnotfound
"new haven to boston 5:30 today! (boston, ma)",newhaven,http://newhaven.craigslist.org/rid/3384303244.html,"driving from stamford, ct to boston, ma today at 5:30pm sharp. i am driving a new minivan with plenty of room for 5 people and their belongings. can drop you off anywhere in nyc or along the way. if you need more of a door thing because of all the st [...]",2012-11-03T14:55:24-04:00,emailnotfound
"tomorrow: ride offered to nyc, phlly, baltimore, dc (boston, ma)",newhaven,http://newhaven.craigslist.org/rid/3383490973.html,"tomorrow (sunday, nov 4) i'm driving from boston to dc. if you are looking for a ride to anywhere along i-95 s, i can take you there: nyc, philadelphia, baltimore, dc. i'm looking for someone who can contribute money for gas & tolls. if you are hesit [...]",2012-11-03T09:00:55-04:00,emailnotfound
do u need a ride somewhere? (waterbury),newhaven,http://newhaven.craigslist.org/rid/3380470450.html,"$5 rides anywhere in waterbury. $10 rides to any of the surrounding towns. call or text jae at two-zero,three-526-0339. ",2012-11-01T20:22:20-04:00,emailnotfound
going from boston to new haven tomorrow (boston),newhaven,http://newhaven.craigslist.org/rid/3380136842.html,"hi, 
i am going from boston to new haven tomorrow (november 2nd) around noon, but i 
am flexible with time. if you would like a ride there, let me know! my phone 
number is: 203-6060537. or, contact me by replying to this post. 
thanks! 
alexandra ",2012-11-01T17:41:29-04:00,emailnotfound
ride offered: wallingford ct to central ny,newhaven,http://newhaven.craigslist.org/rid/3379833074.html,"hello! i am driving from wallingford ct to visit a friend in elmira, ny leaving around tomorrow at 1pm. i will be travelling on i84 and route 17 west. if you would like a ride anywhere along this route please text 781 856 6957. if you are within a re [...]",2012-11-01T15:34:49-04:00,emailnotfound
ride offered - new haven to new york on thu 11/1 (new haven),newhaven,http://newhaven.craigslist.org/rid/3379136239.html,"i'm offering a ride from new haven to new york. 
leaving november 1st returning november 1st. leaving around 5 or 6 p.m. give me a call at 718-360-3720 keith i'm really cool wise and down to earth. super humble and concise. i'm a great listener, driv [...]",2012-11-01T11:04:34-04:00,emailnotfound
seeking rideshare from jfk to new haven on nov. 5th,newhaven,http://newhaven.craigslist.org/rid/3378939384.html,"hi, 
i'm flying in to jfk monday, nov. 5th at 6:20 pm and would like to find a ride to new haven. i'm flying in from dublin on aer lingus and will have 1 big and 1 small piece of luggage. i would like to get dropped off in front the train station in  [...]",2012-11-01T09:24:48-04:00,emailnotfound
"ride offer: new haven, ct to orange, nj (new haven)",newhaven,http://newhaven.craigslist.org/rid/3378635763.html,"ill be leaving new haven around 1 pm on thursday, november 1st. 
email if you need a ride all/part of the way. split gas.",2012-11-01T02:10:38-04:00,emailnotfound
ride offered to tn (knoxville),newhaven,http://newhaven.craigslist.org/rid/3377402538.html,"ride offered to knoxville tn, leaving new haven tuesday nov 6 contact jake 203 843 7444 phone calls only",2012-10-31T13:50:35-04:00,emailnotfound
looking for ride to the city tonight (new haven/shoreline),newhaven,http://newhaven.craigslist.org/rid/3376907704.html,"hey, 
i'm on the shoreline and can meet someone around new haven or saybrook tonight for a ride back to the city. 
let me know! 
thanks, 
dan",2012-10-31T10:32:33-04:00,emailnotfound
looking for rideshare to nyc (new haven),newhaven,http://newhaven.craigslist.org/rid/3376856318.html,"looking for someone who is driving into the city. brooklyn, manhattan or west side of queens. equal share of fuel/tolls. one way needed only. not looking for car service at this time.",2012-10-31T10:07:30-04:00,emailnotfound
rides to nyc (ct),newhaven,http://newhaven.craigslist.org/rid/3376471482.html,im giving rides to nyc for $75. taxis cost $150. im an ex-limo driver.,2012-10-31T02:02:48-04:00,emailnotfound
rideshare new haven-nyc oct 31 6 am (new haven),newhaven,http://newhaven.craigslist.org/rid/3376296874.html,"i am taking a taxi to nyc (east side) wednesday early morning 6 am - it costs $150. if anyone would like to share, we can split the cost. send me an email if you are interested. ",2012-10-30T23:13:37-04:00,emailnotfound
discount travel  look,newhaven,http://newhaven.craigslist.org/rid/3334627697.html,"*this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak we can get you or your friends tickets from and to any city in the country. so be sure to tell family and [...]",2012-10-29T22:25:17-04:00,emailnotfound
experienced driver available (new haven/shoreline),newhaven,http://newhaven.craigslist.org/rid/3357866169.html,"do you need a ride to work? 
to school? 
to the market? 
to the doctor's? 
whereever you need to go, i'll take you. experienced, mature woman, with references, will put a smile on your face while you sit back and relax. call 203-361-8953 or 203-468-7 [...]",2012-10-22T19:32:06-04:00,emailnotfound
ride to and from roller derby practice (branford-vernon),newhaven,http://newhaven.craigslist.org/rid/3357162415.html,if you want to participate in women's flat track roller derby and want to be active in this growing sport. commute will be from branford green to and from ron a roll. please contact me. text or call me at: 760-597-0385 our practice location is at ron [...],2012-10-22T14:53:56-04:00,emailnotfound
need a ride to texas? (bristol),newhaven,http://newhaven.craigslist.org/rid/3356104517.html,"i would like to move to texas soon. i have a small car so you would need to be traveling light. i am a 61 yr. man, honest and respectful.",2012-10-22T06:55:35-04:00,emailnotfound
conn to los angeles (forestville),newhaven,http://newhaven.craigslist.org/rid/3344384517.html,"leaving very soon! seeking someone traveling light to share driving small 
suv and expenses - non-cigarette smoker, small dog coming along, chill, 
only positive, clean, with valid drivers license. 
pls reply with your info, etc... ",2012-10-21T22:59:28-04:00,emailnotfound
leaving for los angeles (conn),newhaven,http://newhaven.craigslist.org/rid/3325093672.html,"leaving for la, soon, looking for someone traveling light to share driving 
and expenses...approx $225 for gas. open to sleeping arrangements at hotels, 
camping, etc...non-cigarette smoker, honest person with driving license... 
would like to leave  [...]",2012-10-21T22:58:36-04:00,emailnotfound
connecticut to denver (ct),newhaven,http://newhaven.craigslist.org/rid/3353760852.html,i will be driving from ct to denver leaving on the 24th or 25th if you need a ride and wanna share the expenses contact me at 720-252-3082 or nmele231@yahoo,2012-10-20T23:44:46-04:00,emailnotfound
ny - new haven car/vanpool,newhaven,http://newhaven.craigslist.org/rid/3350789478.html,"rider looking to commute by rideshare/carpool from riverdale/kingsbridge area of bronx to new haven weekdays for 8:30-5 workday. possibility of also creating own van pool, but would need at least 2 other people. i would certainly consider stops along [...]",2012-10-19T16:45:14-04:00,emailnotfound
new haven - hartford (nh),newhaven,http://newhaven.craigslist.org/rid/3350671584.html,"hey, i will be coming in saturday to new haven and was wondering if anyone was in the area and traveling to hartford? i really want to try and get there to see my cousin before he leaves for the army. one wasy is fine! thanks for responding in advanc [...]",2012-10-19T15:59:06-04:00,emailnotfound
heading to montana  (shoreline),newhaven,http://newhaven.craigslist.org/rid/3349958485.html,"going to montana in middle of november not sure of the exact dates, going through chicago. have a truck, so you can bring some stuff, split gas and exc.",2012-10-19T11:41:09-04:00,emailnotfound
"new haven, ct to vermont (new haven, ct)",newhaven,http://newhaven.craigslist.org/rid/3345863661.html,"i travel frequently from new haven to vermont and am seeking a rideshare with someone who also needs to do a similar route. i often go to burlington vt or rutland vt (white river junction is also a good drop off point for me), and i would be interest [...]",2012-10-17T15:37:38-04:00,emailnotfound
easy rider driving service (new haven/shoreline),newhaven,http://newhaven.craigslist.org/rid/3338325676.html,"do you need a ride to work? 
to school? 
to the market? 
to the doctor's? 
whereever you need to go, i'll take you. experienced, mature woman, with references, will put a smile on your face while you sit back and relax. call 203-361-8953 or 203-468-7 [...]",2012-10-14T12:49:34-04:00,emailnotfound
need a ride to san antonio? (san antonio),newhaven,http://newhaven.craigslist.org/rid/3338019298.html,"would like to find someone to share expenses on the way to san antonio, tx. i have a small car so can't load up much. can leave anytime in the next four weeks.",2012-10-14T10:10:49-04:00,emailnotfound
