title,postingFrom,permalink,shortDescription,postingDate,mailToLink
can someone transport 4 snowtires to salem? (coquille),oregoncoast,http://oregoncoast.craigslist.org/rid/3418012069.html,"i would like 4 17"" snow tires moved from coquille to salem. 
$50.00 sounds fair for your trouble. 
delivered 1 block off i-5 at major exit. 
four06-four39-0820. ",2012-11-18T05:17:03-08:00,emailnotfound
 white dude needs a ride south (til it quits rainin),oregoncoast,http://oregoncoast.craigslist.org/rid/3417376148.html,"need a ride south, headed to pheonix az, i got a motor cycle but i dont really wanna ride through the nastyness. inquiries call or text 541 294 1867",2012-11-17T17:08:59-08:00,emailnotfound
looking for a ride from oregon coast to sf bay (tillamook (101)),oregoncoast,http://oregoncoast.craigslist.org/rid/3416630356.html,"we are trying to get to the bay area before thanksgiving! going to the northeast bay, but anywhere in the bay would be great. we're a pretty darn easy going couple so it should be a pleasant ride. we can meet up wherever needed but tillamook is right [...]",2012-11-17T11:17:11-08:00,emailnotfound
oregon to tacoma washington (roseburg),oregoncoast,http://oregoncoast.craigslist.org/rid/3415914443.html,"willing to pay for fuel for a lift to tacoma washington exit 127 off of i 5 would like to leave this weekend. saturday late afternoon or sunday early. 
425-443-0778",2012-11-17T06:15:30-08:00,emailnotfound
"offer: astoria or long beach, wa to portland (united states)",oregoncoast,http://oregoncoast.craigslist.org/rid/3415644278.html,"heading tomorrow 11/17....let me know what you are willing to chip in for gas, earliest time you are free to leave and how much.size of your bags",2012-11-17T00:20:03-08:00,emailnotfound
seaside to portland (11/16 or 11/17) (seaside),oregoncoast,http://oregoncoast.craigslist.org/rid/3414998840.html,i'm driving from seaside to portland either saturday evening or sunday early morning. anyone looking for a ride?,2012-11-16T15:56:34-08:00,emailnotfound
bandon/port orford/gold beach/brookings ride offer 11/20 (coquille to brookings south 101),oregoncoast,http://oregoncoast.craigslist.org/rid/3414972744.html,"i have room for a rider who can help with gas, $10 port orford, $15 gold beach/brookings. if interested give me a call, no pets 541-672-3345",2012-11-16T15:43:51-08:00,emailnotfound
"looking for ride from gold beach to brookings (gold beach,oregon)",oregoncoast,http://oregoncoast.craigslist.org/rid/3408287478.html,hello im looking for a once every 2 wks ride down to fred myers & us bank (same street) in brookings from gold beach. hopefully a woman non smoker please. to pick me up from gold beach & go shopping at store & a quick run into the us bank in brooking [...],2012-11-16T08:45:38-08:00,emailnotfound
4 snowtires need a ride from coquille to salem (coquille),oregoncoast,http://oregoncoast.craigslist.org/rid/3412936169.html,"are you going to salem with room for 4 snowtires? anytime before thanksgiving. i'll pay you $50.00 for your trouble, 
406-439-0820 ",2012-11-15T18:56:51-08:00,emailnotfound
inexpensive travel to any state or city,oregoncoast,http://oregoncoast.craigslist.org/rid/3412697089.html,"**this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel tic [...]",2012-11-15T16:42:04-08:00,emailnotfound
need a bicycle double kid cart transported to portland (florence),oregoncoast,http://oregoncoast.craigslist.org/rid/3411723975.html,had a really nice guy named fred pick up my husbands bicycle/trike that he can't use anymore yesterday. he really wanted to take the kid cart that went with it but they couldn't afford to drive a truck down and ended up with the trike hanging out of  [...],2012-11-15T09:54:18-08:00,emailnotfound
"ride offered, newport to medford, 11/22 (i-5 s)",oregoncoast,http://oregoncoast.craigslist.org/rid/3410799023.html,"i'm renting a car and driving from newport, via corvallis, down i-5 to the medford area on thanksgiving day. i'm looking for one or two good people to share gas and make the drive a little more interesting. i'm planning on leaving newport around 9 or [...]",2012-11-14T20:55:27-08:00,emailnotfound
looking for a ride to portland friday (lincoln city),oregoncoast,http://oregoncoast.craigslist.org/rid/3410445959.html,"have gas money, looking to leave anytime. 
two06nine1five1six7three",2012-11-14T17:07:48-08:00,emailnotfound
i need ride to sat.  ducks game (coos bay to eugene - have gas money),oregoncoast,http://oregoncoast.craigslist.org/rid/3408642539.html,"hello 
i need a ride to the stanford/ducks game sat 17th. i am in northbend/coos bay. i can go friday night or saturday. i can pay for gas. if you stay around, i can pay for gas back too. if you stay night friday night, i can pay for your motel. call [...]",2012-11-14T02:14:48-08:00,emailnotfound
ride needed to santa cruz/bay area 11/23 (coos bay),oregoncoast,http://oregoncoast.craigslist.org/rid/3404959348.html,"hi. my name is chris. i am looking for a ride to santa cruz ca or somewhere in the bay area on friday, the day after thanksgiving. i will chip in for gas. i am calm cool and collected. thanks ",2012-11-12T12:30:50-08:00,emailnotfound
i need a ride to eugene! (coos bay),oregoncoast,http://oregoncoast.craigslist.org/rid/3394645012.html,"hey my name is danny. i'm moving back home to alaska, flying home from eugene tuesday morning at 6am. i'm looking for somebody to give me and my three bags a ride. i'd take any ride arriving before the flight weather it be monday morning or early tue [...]",2012-11-11T21:24:49-08:00,emailnotfound
"i need a ride to rockaway, or - monday (seaside)",oregoncoast,http://oregoncoast.craigslist.org/rid/3402872146.html,"responsible man, early 50s, nonsmoker, seeks ride to rockaway, about 34 miles south. 
monday. 
please provide phone number. 
thank you.",2012-11-11T14:34:48-08:00,emailnotfound
