title,postingFrom,permalink,shortDescription,postingDate,mailToLink
shared rides by southern gentleman&gt;ready 2 assist in your travel needs (pc&gt;bay &amp; 600 miles area),panamacity,http://panamacity.craigslist.org/rid/3385713754.html,"hi i'm a local mature and honest man who will be glad to help anyone with their local or even out of town trips. i'm in that group that too young for social security and can't find work due to my bad leg and this economy. 
i have nice 4 door clean au [...]",2012-11-17T12:20:33-05:00,emailnotfound
"are you going my way,fl.,or out west,& need a vehicle delevered. (panama city beach,fl.)",panamacity,http://panamacity.craigslist.org/rid/3394952096.html,"if you need any driveable vehicle delevered to fl.or out west usa,or canada,i can do it ,any time. 
cdl driver,with references, maine,& fl. also ,can be sent out to pu. vehicles too. 
call------david toole--------850-747-8614---",2012-11-17T11:42:45-05:00,emailnotfound
need ride to atlanta next tues or wed (panama city),panamacity,http://panamacity.craigslist.org/rid/3415397095.html,"hello. i'm looking for a ride from panama city to atlanta tuesday, nov. 20 or wed. nov, 21 
could also make monday 11/19 work if necessary. 
very responsible mature man, and happy to pay for all your gas, etc. for the trip. 
if this works for you,ple [...]",2012-11-16T22:54:49-05:00,emailnotfound
you need ride? call the southern gent & save $$^cool-clean trips (beach or panhandle^ se &amp; maybe beyond),panamacity,http://panamacity.craigslist.org/rid/3413750312.html,"a few miles or many many miles just call the pro with the cool ride! 
news flash &gt; best ac (cold) big comfortable clean car ready to travel for you! about 1/2 price or less than a taxi! 
check with the pros for your personal preferred pickup with  [...]",2012-11-16T10:43:01-05:00,emailnotfound
use your car: drive patients to doctor visits (panama city and surrounding areas),panamacity,http://panamacity.craigslist.org/rid/3365603184.html,"boomerang transport is looking for reliable drivers in your area. our drivers take injured workers to their doctors/physical therapy appointments. 
basic requirements: 
you will need to use your own vehicle (4 door sedan, suv or minivan) 
be customer [...]",2012-11-16T10:30:21-05:00,emailnotfound
do u need ride 2 birmingham~nashville~tampa~boonenc^big car let's chat (pcbeach or around this area),panamacity,http://panamacity.craigslist.org/rid/3403814632.html,"i need to go to birmingham area for one to three days sometimes this week or soon but i don't have the gas $ &gt; if you need a ride up that way then i have room for 2 or 3 people! 
need to go to biloxi, ms? &gt; visit family or have fun and catch th [...]",2012-11-16T10:27:41-05:00,emailnotfound
ride to the greyhound station (pcb),panamacity,http://panamacity.craigslist.org/rid/3413615724.html,"so im looking for a short ride from the beach to get to the greyhound bus station sometime in a week hoping to find someone who is gonna be free cuz its kinda important that i get there in time 
im not rly sure what time is is cuz my boyfriend is arr [...]",2012-11-16T09:41:52-05:00,emailnotfound
?? going to atl. with a truck soon??  (st.andrews/cove area),panamacity,http://panamacity.craigslist.org/rid/3409655433.html,looking for someone going to atlanta in the next week. i am trying to get my motorcycle & myself there between this weekend & thanksgiving. i'm seriously needing employment in that area soon!! i can chip in on gas if you're headed in that direction w [...],2012-11-14T14:29:31-05:00,emailnotfound
need ride to wisconsin from pcb (southeastern wisconsin),panamacity,http://panamacity.craigslist.org/rid/3361783400.html,hi i need a ride to wisconsin and i have a small van load of personal belongings that need to go with me.i am in the panama city beach area and i need to go to the lake geneva wisconsin area.if you think you can help me out just tell me how much you  [...],2012-11-07T18:33:09-05:00,emailnotfound
ride offered 11/10 panama city to denver,panamacity,http://panamacity.craigslist.org/rid/3373636451.html,"11/10 ride offered from panama city to denver 
cost is $120 = 1/2 of gas expense 
please call or text me @ 850-866-9040 ",2012-11-06T12:38:18-05:00,emailnotfound
