title,postingFrom,permalink,shortDescription,postingDate,mailToLink
nashville,pensacola,http://pensacola.craigslist.org/rid/3417060151.html,driving from pensacola to nashville. need someone to keep me alert with conversation. no cost to you just be ready by 7am november 19th. three one six 5 one 9 seven four one nine,2012-11-17T17:20:53-05:00,emailnotfound
anyone need rides around pensacola today? (pensacola),pensacola,http://pensacola.craigslist.org/rid/3399892240.html,"i'm starting off in the north part of pensacola near the psc area. i'm not doing anything else so far, so figured i'd see if i couldn't do something here. my day is open until this evening around 8ish, and then it's movie time! 
the vehicle is a stan [...]",2012-11-17T14:08:09-05:00,emailnotfound
st. louis to pensacola / mobile and back (st. louis / pensacola / mobile),pensacola,http://pensacola.craigslist.org/rid/3414751406.html,"i will be driving to pensacola end of november. leaving day and time open...but i am thinking 11/22 evening, after thanksgiving dinners. otherwise friday 11/23 or any day/time thru tuesday 11/27. then i would be returning to st. louis in 1-2 days aft [...]",2012-11-16T17:03:24-05:00,emailnotfound
"driving from fl to ca tonight in truck 4 u/your stuff sat 17th (from naples, fl to los angeles, ca)",pensacola,http://pensacola.craigslist.org/rid/3382274025.html,"hi... 
hubby is returning back to los angeles from naples florida leaving tonight saturday 17th at about 5-6ish pm est. 
feel free and give me a call (much better than email and txt) to touch base if interested in a ride for you or ""stuff"" transporte [...]",2012-11-16T07:49:24-05:00,emailnotfound
anyone else need to go to the food pantry? (pensacola),pensacola,http://pensacola.craigslist.org/rid/3407406870.html,poor working class just trying to survive. i can offer a bag of food for the ride there and back. ,2012-11-13T15:25:46-05:00,emailnotfound
pensacola to indiana 11/17 (indianapolis),pensacola,http://pensacola.craigslist.org/rid/3403557573.html,"driving to indianapolis saturday 11/17. looking for good company to help share cost and maybe some driving if you can. planning on leaving super early. should take about 10 hours. my little dog will be with me, but she shouldn't be a problem. i'm 31  [...]",2012-11-12T01:05:45-05:00,emailnotfound
pensacola to mexico road trip dec 2012 (chichen itza),pensacola,http://pensacola.craigslist.org/rid/3401750362.html,"heading to the yucatan in december for the mayan celebration... wanting to arrive in chichen itza, mexico on the 19/20th. will take about 4 days driving to get there. the main route takes round 48 hours. 12 hours of driving at least for a four day tr [...]",2012-11-11T07:54:52-05:00,emailnotfound
"from pensacola to michigan 13th november  (pensacola, fl to lansing, mi )",pensacola,http://pensacola.craigslist.org/rid/3401472615.html,room for one and a few bags. plan on driving straight through but can stop over a night if needed. looking for $80.00 worth of gas. i drive a jeep that runs great but the heat is not strong since we're heading north :-(. i plan on returning after dec [...],2012-11-11T00:42:47-05:00,emailnotfound
pensacola to the keys,pensacola,http://pensacola.craigslist.org/rid/3400367416.html,looking for good company to join me in this long drive! want to split gas costs and drive time. leaving pensacola beach at 10 am sharp tuesday and leaving ft lauderdale about 6 am fri morning. if u need to go somewhere along the way like orlando or s [...],2012-11-10T13:59:09-05:00,emailnotfound
pensacola - jacksonville (pensacola),pensacola,http://pensacola.craigslist.org/rid/3399925094.html,"driving from pensacola to jacksonville and back, sunday or monday. 
space for two and bags 
gas split 30$ 
time and dates flexible 
music welcome 
no smoking in car, sorry! 
pets welcome 
face eating zombies not! 
call or text 907 388 9799 
mel ",2012-11-10T11:07:36-05:00,emailnotfound
gulf coast to pittsburgh for thanksgiving (gulf coast),pensacola,http://pensacola.craigslist.org/rid/3384128969.html,"i am going to pittsburgh for thanksgiving and am considering driving. 
planning on leaving on the 20th and returning on the 28th, probably driving straight through. 
these dates are somewhat flexible. 
i am mid 60's male, good driving record and a sa [...]",2012-11-09T15:29:53-05:00,emailnotfound
need ride to pens from talla. sunday or monday (from tallahassee),pensacola,http://pensacola.craigslist.org/rid/3396145558.html,"need a ride back to pensacola (uwf) from tallahassee on sunday or monday. 
will pay gas.",2012-11-08T16:57:47-05:00,emailnotfound
ride ofered (pace/milton),pensacola,http://pensacola.craigslist.org/rid/3391425317.html,ride ofered around milton /pace/ maybe pensacola for a small $fee to anywhere in pace/milton.,2012-11-06T16:49:43-05:00,emailnotfound
ride offered 11/10 pensacola to denver,pensacola,http://pensacola.craigslist.org/rid/3373695965.html,"ride offered 11/10 = pensacola to denver------traveling west to oregon------- 
cost is $100 = 1/2 of gas expense 
please call or txt me @ 850-866-9040",2012-11-06T12:38:57-05:00,emailnotfound
"ride needed: pensacola/mobile to asheville, nc",pensacola,http://pensacola.craigslist.org/rid/3389252311.html,hello! we are two young wanderers just following the road. we left our farm jobs in texas recently and have been visiting friends and family in the midwest . now we're deciding to leave the car behind and continue on by other means. hoping to find so [...],2012-11-05T18:18:29-05:00,emailnotfound
in need of a good deed :) (pensacola),pensacola,http://pensacola.craigslist.org/rid/3387400592.html,"hey there's two kids right outside of pensacola needing a ride back to gainseville fl. theyre trying to hitch east on i 10 but i guess it's pretty rough out there. if you are heading through that way at all and can help the situation, you can contact [...]",2012-11-05T00:25:53-05:00,emailnotfound
i need a ride homestay-corry station (mobile hwy-base),pensacola,http://pensacola.craigslist.org/rid/3383713144.html,i am in need of a ride m-thursday from my hotel to the corry station base. text 4009496,2012-11-03T11:02:16-04:00,emailnotfound
looking for ride to defuniak springs,pensacola,http://pensacola.craigslist.org/rid/3383355033.html,"looking for a ride to defuniak springs, fl. its just me and my girlfriend we each have 1 bag. we can help out with gas. thanks",2012-11-03T06:21:30-04:00,emailnotfound
need a lift to daily labor in pensacola (pace),pensacola,http://pensacola.craigslist.org/rid/3369965561.html,"i am looking to catch a ride with anyone going to (or nearby) the daily labor work center or landrum staffing in pensacola 2-3 days out of the week. 
i live in pace and will provide gas $$ once i get paid for working. 
thanks in advance, 
-rory- ",2012-11-01T14:39:31-04:00,emailnotfound
