title,postingFrom,permalink,shortDescription,postingDate,mailToLink
peoria to flagstaff sunday afternoon (75th/cactus),phoenix,http://phoenix.craigslist.org/wvl/rid/3417906000.html,"i'm leaving the west side of phx(peoria) sunday afternoon/early evening......big 4x4....eats gas..... 
dave 
480.254.1424 ",2012-11-18T03:33:45-07:00,emailnotfound
rideshare from phx-skyharbor to sedona/voc (sky harbor),phoenix,http://phoenix.craigslist.org/nph/rid/3380904898.html,"hi im shaun, i will be in phoenix on december 3rd, looking for a ride to the village of oak creek, verde valley rd. i can pay up to $30 or a small tattoo. here is a link to my portfolio&gt; http://www.facebook.com/dawgzhaustattooz 
if you're interest [...]",2012-11-18T01:24:36-07:00,emailnotfound
i'm looking for a ride to n. cali. do you need a passenger (150 miles north of san fransisco),phoenix,http://phoenix.craigslist.org/cph/rid/3417768095.html,"i am heading north and would appreciate a ride if you are heading that direction. i have one medium sized backpack, gas contributions, and an easy going attitude. so if your looking to share expenses or just in need of a companion on the road ahead,  [...]",2012-11-17T23:27:12-07:00,emailnotfound
need a ride to arizona (from n. dakota),phoenix,http://phoenix.craigslist.org/nph/rid/3417704451.html,"looking to leave north dakota (jamestown, but i can get to you....) this week...preferably asap. will share gas costs. just me and my clothes need to get home stat...need a ride to arizona or as close to there as you are going???",2012-11-17T22:15:27-07:00,emailnotfound
"rides for less, 602-810-3444 (all areas)",phoenix,http://phoenix.craigslist.org/nph/rid/3417689659.html,"need a ride to work, store, all casinos 
phoenix sky harbor, mesa gateway airport, greyhound bus stations. 
tempe, chandler, scottsdale, gilbert, mesa, phoenix and out of town. 
flat rates and discounts 
round trips 
one way 
call 602-810-3444 
less  [...]",2012-11-17T22:01:03-07:00,emailnotfound
*****rides***** (valleywide- all areas),phoenix,http://phoenix.craigslist.org/nph/rid/3417688339.html,"need a ride to work, store, 
phoenix sky harbor, mesa gateway airport, greyhound bus stations. 
tempe, chandler, scottsdale, gilbert, mesa, phoenix and out of town. 
call for quotes 
flat rates and discounts 
round trips 
one way 
call 602-810-3444 
 [...]",2012-11-17T21:59:52-07:00,emailnotfound
"valley-wide rides, flat rates  (all areas)",phoenix,http://phoenix.craigslist.org/nph/rid/3417687862.html,"are you in need of a ride to work, airport, casino, maybe even the bus depot? 
anywhere in the valley. 
discounts and flat rates. 
one way and round trips. 
call 602-810-3444",2012-11-17T21:59:27-07:00,emailnotfound
"leaving for olympia, washington",phoenix,http://phoenix.craigslist.org/evl/rid/3417659603.html,"leaving sunday morning to olympia, washington from mesa, i will be taking i-10 to la then i -5 north. i can make stops near exits. if you need a ride. just pay for a tank of gas. contact me by e-mail and i will reply asap.",2012-11-17T21:33:01-07:00,emailnotfound
goodyear rideshare (goodyear/gilbert),phoenix,http://phoenix.craigslist.org/wvl/rid/3403025047.html,"hi.. could you occasionally use a cross valley ride including from downtown or the east valley to goodyear (or vicinity) between 4:00 and 7:00 pm or from goodyear to downtown or the east valley between 5:00 and 7:00 a.m. if so, i may be able to help. [...]",2012-11-17T21:27:47-07:00,emailnotfound
need ride phx to flagstaff sun 11/18 (gilbert to flag),phoenix,http://phoenix.craigslist.org/evl/rid/3417619649.html,"need ride on sunday 11/18 from gilbert area to the sedona exit off of i-17. my destination is about 10 minutes north on the 179 freeway, but if you can't do that, my friend can pick me up at the i-17/179 junction. thanks. 
can help with gas $, drivin [...]",2012-11-17T20:58:30-07:00,emailnotfound
arizona to new york (az- nyc),phoenix,http://phoenix.craigslist.org/cph/rid/3417576193.html,"driving to ny from az for thanksgiving. then to new hampshire on friday 23rd. 
leaving on monday most likely, not trying to do very long days in the car. 
looking for rider to help with gas cost and maybe some driving (5 spd) 
will be passing through [...]",2012-11-17T20:23:51-07:00,emailnotfound
"flat rates, discounts, less than a taxi. (valley-wide)",phoenix,http://phoenix.craigslist.org/nph/rid/3417545957.html,"need a ride to the work, store, or even the casino 
how about a ride to and from the airport 
or bus station 
going bar hopping, i can get u there will cost less then a taxi, 
flat rates 
discounts on round trips 
give me a call 602-810-3444 ",2012-11-17T20:01:14-07:00,emailnotfound
"flat rates, discounts, less than a taxi. (valley-wide)",phoenix,http://phoenix.craigslist.org/nph/rid/3417545378.html,"need a ride to the work, store, or even the casino 
how about a ride to and from the airport 
or bus station 
going bar hopping, i can get u there will cost less then a taxi, 
flat rates 
discounts on round trips 
give me a call 602-810-3444 ",2012-11-17T20:00:50-07:00,emailnotfound
