title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride from racine to waupun (racine to waupun),racine,http://racine.craigslist.org/rid/3348302137.html,i am in need of a favor i need to find a ride up to the waupun as soon as possible so that i can go see him. i just received a call asking me if i can come up there to see him(my ex husband). please can someone please help me out in my time of need t [...],2012-11-17T14:42:23-05:00,emailnotfound
drive gig (kenosha ),racine,http://racine.craigslist.org/rid/3409381853.html,hi i am visiting from ca and i am thinking about moving to the area.i need to go see colleges and places to live and also go to a couple banks.i will pay u $$$$ or gas(whatever u want to work out) to rent your car for a day to run errands.i am a 22 y [...],2012-11-14T12:50:28-05:00,emailnotfound
lake geneva to stevens point,racine,http://racine.craigslist.org/rid/3402781716.html,looking for a ride to stevens point on 11/16. someone.can also meet me at the 39/94 split in baraboo if need be. i can help with gas money too,2012-11-11T16:50:44-05:00,emailnotfound
ride needed to work (burlington-delevan),racine,http://racine.craigslist.org/rid/3398729845.html,"i just picked up employment in delevan and i need a ride to, and back m-f. i live in burlington, and will compensate accordingly. please contact me. i will find out my start time on monday. ",2012-11-09T18:28:14-05:00,emailnotfound
"anyone travelling west to nevada? (henderson,nv)",racine,http://racine.craigslist.org/rid/3390624486.html,"im here in henderson,just next to las vegas. there is no old style or special export available here and i'm wondering if anyone travelling this way would consider bringing a few cases with them.? let me know. ",2012-11-06T11:45:39-05:00,emailnotfound
after school care (racine),racine,http://racine.craigslist.org/rid/3390052906.html,looking for ride for my daughter from mckinley middle to our home on fridays only. we live ohio/kinzie area. we are out of the district and need to find her transportation home. was hoping to find a parent in the district to do it. i would pay for th [...],2012-11-06T05:36:41-05:00,emailnotfound
need ride to clearwater,racine,http://racine.craigslist.org/rid/3389762726.html,hi im a 48 yr.old female in need of a ride to clearwater beach florida a.s.a.p. to get back to my husband whos a vet at bay pines hospital. train fare is outrageous. i will pay the gas. i will need room for a large suitcase. serious enquires only.no  [...],2012-11-05T22:58:57-05:00,emailnotfound
i need a reliable ride to work (burlington),racine,http://racine.craigslist.org/rid/3329945169.html,"i just got back from madison on a temp contract, and need absolutely reliable transportation to and from interviews & potentially my 9-5 office job. compensation will be negotiated and i do have a vehicle to be driven. anyone, who can help me out ple [...]",2012-11-05T16:28:45-05:00,emailnotfound
car trailer (chicago/kenosha),racine,http://racine.craigslist.org/rid/3388577431.html,if you need a car hauled on a trailer with a winch in the chicago and kenosha area call bill 847 322 5486,2012-11-05T13:56:27-05:00,emailnotfound
racine/milwaukee to madison,racine,http://racine.craigslist.org/rid/3380638084.html,"i am going to madison on monday, november 5th leaving 5:30 am 
from racine. if you need a ride let me know and we can go from there. 
thanks, 
drew",2012-11-01T21:59:11-04:00,emailnotfound
reliable ride for you (kenosha county),racine,http://racine.craigslist.org/rid/3323906684.html,"hi there my name is cassie, i'm a down to earth 25 year old navy wife who is currently in twin lakes. i offer rides to people in the area who need them and need them locally or out of the area either way i'm a driver and used to driving long distance [...]",2012-10-31T14:07:05-04:00,emailnotfound
