title,postingFrom,permalink,shortDescription,postingDate,mailToLink
looking for a ride to amazon (sparks),reno,http://reno.craigslist.org/rid/3417604887.html,"hello. my name is blanca and i will be starting my assignment with amazon on dec 6, the orientation 6am-11am. my first day is on friday dec 7, from 7am-530pm. this is my set assignment for sunday, monday, friday, and saturday. if your schedule looks  [...]",2012-11-17T19:46:17-08:00,emailnotfound
ride needed from grass valley to sf,reno,http://reno.craigslist.org/rid/3417523685.html,"hi, there! my name is luna, i'm a spanish traveler looking for a ride to san francisco from grass valley (nevada city or auburn could work, too) for november 24th (flexible, though). i guarantee good vibe and dynamic conversation! please, contact me  [...]",2012-11-17T18:45:17-08:00,emailnotfound
ride today to nevada city n grass valley (west reno),reno,http://reno.craigslist.org/rid/3416941127.html,"hey anyone going to cali via i-80 and 20 let me know 
lots of space chilled ride. 
call text hari 
510-258-9192",2012-11-17T13:25:50-08:00,emailnotfound
need ride from slt to la,reno,http://reno.craigslist.org/rid/3416888733.html,"need ride from slt to la. tonight or tomorrow!! 
have help with gas money.",2012-11-17T13:02:48-08:00,emailnotfound
ride needed - south lake tahoe to placerville on sun 11/18 (south lake tahoe),reno,http://reno.craigslist.org/rid/3416674678.html,"i'm looking for a ride for two from south lake tahoe to placerville. leaving anytime on sunday the 18th or early on monday the 19th. 
we have gas money 
256 738 5545",2012-11-17T11:34:37-08:00,emailnotfound
(amazon) transportation (reno / sparks),reno,http://reno.craigslist.org/rid/3416366508.html,bt.express is offerring our round trip transportation service to the employees of amazon all shifts are availible call 379-9936,2012-11-17T09:36:07-08:00,emailnotfound
n transportation availible (reno/sparks),reno,http://reno.craigslist.org/rid/3416267171.html,"bt. express is offerring its round trip transportation service to the employees of amazom ""all shifts are availible"" for more info. call;379-9936",2012-11-17T08:57:39-08:00,emailnotfound
need ride to herlong (bordertown),reno,http://reno.craigslist.org/rid/3416251845.html,looking for an individual or car pool to herlong.... ...it is a swing shift.......call 775-843-0882......,2012-11-17T08:51:37-08:00,emailnotfound
ride to amazon? (reno to fernley),reno,http://reno.craigslist.org/rid/3415992897.html,"greetings, my orientation is going to be on nov 29. and i am going to start working at the next day 6pm to 4am, if we have the same schedule you can have my service. just $7 per trip. my schedule is fridays to monday 6pm to 4am. just give me ring. 77 [...]",2012-11-17T07:00:09-08:00,emailnotfound
ride needed 3x a wk. to incline (n.star/kingsbeach-incline),reno,http://reno.craigslist.org/rid/3415878550.html,"looking for a rideshare/carpool going to incline village-at the base of mt rose hiway before you get into incline. from truckee-northstar-kingsbeach- mondays, wednesdays, fridays...on a weekly basis...need to be there approx. by 10:oo a.m. returning  [...]",2012-11-17T05:52:37-08:00,emailnotfound
need reno to amazon 11/24 (reno/amazon),reno,http://reno.craigslist.org/rid/3415368019.html,"my name is michael. i have initiation on sat 11/24 from 6-11 am. i work 6pm to 4:30 am sun, mon, tues, wed. will pay $6 per trip. can meet most anywhere in reno-sparks. i am easy going, good company and dependable. your help will be appreciated. emai [...]",2012-11-16T19:33:09-08:00,emailnotfound
"looking for ride to incline village m,w,f weekly (truckee to incline-and/or back)",reno,http://reno.craigslist.org/rid/3415335003.html,"looking for a ride to incline village from truckee mondays, wednesdays, and fridays-early mornings and back at the end of the day-if possible. would be grateful to dial in a ride there or a ride back those 3 days and am offering to pay fpr gas and ma [...]",2012-11-16T19:09:42-08:00,emailnotfound
discount travel to any state,reno,http://reno.craigslist.org/rid/3415261883.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-16T18:20:59-08:00,emailnotfound
ride offered toward portland sunday (s reno),reno,http://reno.craigslist.org/rid/3415042098.html,offering a ride sunday up i-5 to portland. leaving in the morning. have room for lots of stuff in the back if needed. gas is $80 to portland and negotiable for earlier stops. call 775-530-1536,2012-11-16T16:18:05-08:00,emailnotfound
need a ride to amazon (reno to fernley),reno,http://reno.craigslist.org/rid/3395792560.html,my name is trevor ward and i am in need of a ride to amazon. i am willing to pay a really nice compensation for this help. my orientation starts on november 18 9:00 am to 2:00 pm for the shift of 6:00 pm to 4:30 am. thank you.,2012-11-16T15:15:23-08:00,emailnotfound
need a lift back to the bay (or sc) for thnxgiving? ill drive! 11/21 (south lake tahoe ),reno,http://reno.craigslist.org/rid/3414913729.html,"hello travelers! 
im heading home to santa cruz on wed nov 21 and have room for 3 + your bags in my car. i can drop you off anywhere along the way, going down 50 and through the east bay. i have an all wheel drive, weather shouldn't be an issue. trad [...]",2012-11-16T15:15:16-08:00,emailnotfound
reno to  sacramento ride offered,reno,http://reno.craigslist.org/rid/3414909338.html,"will drive from reno to sacramento on saturday morning will be leaving around 9:30. 
call or text 916-467-3013",2012-11-16T15:13:12-08:00,emailnotfound
