title,postingFrom,permalink,shortDescription,postingDate,mailToLink
going to fl (orlando),richmond,http://richmond.craigslist.org/rid/3416911032.html,"am heading to florida on 11/24. let me know if you need a ride. i can drop you off anywhere along the rt 95. the ride will cost you $100.00. 
let me know. ",2012-11-17T16:12:32-05:00,emailnotfound
rva - nyc (richmond - nyc) 11/21 (southside),richmond,http://richmond.craigslist.org/rid/3382971280.html,"hello 
this drive if for you to nyc for 45 us dollars, payable upon drop-off. 
car is a reliable honda accord and departure is wednesday, november 21 - the day before thanksgiving...gobble gobble. 
you are welcome to enjoy a ride and share in company [...]",2012-11-17T13:34:44-05:00,emailnotfound
moving or riding down south? (nyc-tn-fl),richmond,http://richmond.craigslist.org/rid/3416352310.html,"hello.... we are offering a ride in a uhaul that is traveling from nyc to tn and then on to ft lauderdale florida. we are asking that you share some driving responsibility, help unpack the uhaul in tn, and pay a small bit for gas. 
move date is set f [...]",2012-11-17T12:30:39-05:00,emailnotfound
need ride to wal mart (highland springs),richmond,http://richmond.craigslist.org/rid/3416296540.html,i am needing a ride for my son and i to go from highland springs to the mechanicsville wal mart. anytime today or tomorrow. i need to pick up a few household items and a tv. will share with gas costs. thank you!!,2012-11-17T12:09:11-05:00,emailnotfound
need ride (nashville tn to el paso tx),richmond,http://richmond.craigslist.org/rid/3416146641.html,"i dont usually do this but i am in a bit of a desperate situation. me, laura, sam and lili are stranded here in lavergne at the old driftwood inn. thanks to laura's fiance micah we have been able to stay here up until tomorrow. thanks to a couple of  [...]",2012-11-17T11:09:45-05:00,emailnotfound
"rides unlimted (southside,va)",richmond,http://richmond.craigslist.org/rid/3360776459.html,"hello my name is kenny, i'm looking to make a couple bucks by offering my car as a cab or anywhere you need to go for low rates. i'm available everyday all day, last minute no problem. just call me or email me i'm willing to work with you on price,if [...]",2012-11-17T04:54:59-05:00,emailnotfound
ride offered - richmond to alexandria on thu 11/22 (richmond),richmond,http://richmond.craigslist.org/rid/3415417291.html,"i'm offering a ride from richmond to alexandria. 
leaving november 22nd returning november 25th. i'm willing to take you to pretty much anywhere in fairfax co or alexandria, or anywhere on the way. contact me on zimride: http://www.zimride.com/ride/s [...]",2012-11-16T23:10:28-05:00,emailnotfound
taxi (804),richmond,http://richmond.craigslist.org/rid/3349571410.html,"taxi for all areas on 804, good prices, ",2012-11-16T20:43:12-05:00,emailnotfound
now giving rides in the richmond area & suburbs (ric &amp; suburbs),richmond,http://richmond.craigslist.org/rid/3351347432.html,"don't want to lose your new job due to lack of commutation? 
looking for a less expensive way to move to your new apartment? 
need help with errands or a sober ride back home? 
i am va licensed, insured, prompt, safe and reliable driver with no dui/d [...]",2012-11-16T19:33:12-05:00,emailnotfound
"cheap rides (rch, all areas)",richmond,http://richmond.craigslist.org/rid/3370041478.html,"safest, fasted way to your destination, 24/7, text or call (804) 426-3967 insured minivan.",2012-11-16T06:15:06-05:00,emailnotfound
ride up to dc next weekend (downtown richmond),richmond,http://richmond.craigslist.org/rid/3400725361.html,"hi there, 
i'll be visiting friends up in washington next weekend -- planning on leaving saturday morning (11/17) and returning monday evening (11/19) gas being what it is, and long car trips by myself being boring, i'd love to have a ridesharer or t [...]",2012-11-15T21:27:15-05:00,emailnotfound
"richmond to nj on dec 07 2012 (richmond, va)",richmond,http://richmond.craigslist.org/rid/3412850298.html,"hi, 
i am going to nj for pickup if any one want a ride on dec 07 2012 after noon contact me. 
us taxi 
804-665-6111",2012-11-15T21:05:23-05:00,emailnotfound
need a reliable driver (southside),richmond,http://richmond.craigslist.org/rid/3412843802.html,"hi my name is darius and im 21 years old. i just got hired at martins today over in stony point. i stay on the southside by haynes furniture store, behind reid elementary. i will need a reliable person to get me back and forth to work on the days i d [...]",2012-11-15T21:01:40-05:00,emailnotfound
richmond to dulles airport 11/25 (rva - iad),richmond,http://richmond.craigslist.org/rid/3412796573.html,"i am driving up to dulles airport on sunday 11/25, starting in the afternoon at 1.30pm. can accommodate upto 3 passengers in my clean 4-door sedan who is/are willing to share gas/tolls. 
can drop you at any metro station in outer dc or dulles airport [...]",2012-11-15T20:35:32-05:00,emailnotfound
carpool/rideshare app (ios/android),richmond,http://richmond.craigslist.org/rid/3345494415.html,"hello ride-sharers/carpoolers, 
30 countries, 270 cities and growing. best carpool/rideshare app (ios and android) 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all your p [...]",2012-11-15T19:58:54-05:00,emailnotfound
ride needed - richmond to harrisonburg on fri 11/16 (richmond),richmond,http://richmond.craigslist.org/rid/3412188646.html,"i'm looking for a ride from richmond to harrisonburg. 
leaving november 16th returning november 18th. contact me on zimride: http://www.zimride.com/ride/share?ride=535322 ",2012-11-15T15:52:39-05:00,emailnotfound
rva to nova for thanksgiving (vcu),richmond,http://richmond.craigslist.org/rid/3403294159.html,"i am a vcu student, and i will be traveling home to loudoun county for thanksgiving. if any other vcu students need a ride to fairfax/prince william/loudoun county for the holiday, let me know. we would simply split the gas, and any tolls that we hap [...]",2012-11-14T22:57:26-05:00,emailnotfound
do you need a ride? (richmond ),richmond,http://richmond.craigslist.org/rid/3409615091.html,do you need a ride? whatever the reason or need give me a call. let me take you in my benz for cheaper than a cab. anthony 804-909-1499 thanks,2012-11-14T14:14:48-05:00,emailnotfound
fredericksburg to raleigh nc (fredericksburg),richmond,http://richmond.craigslist.org/rid/3409130191.html,"going to raleigh nc for the weekend.. can pickup from anywhere in richmond.. i have place for 3 people.. 
departing from fredericksburg friday evening at 5-6pm and returning from raleigh on sunday 5-6pm. 
let me know if you need a ride.. we can share [...]",2012-11-14T11:18:35-05:00,emailnotfound
offering affordable rides today 687-7405 (richmond and tri cities),richmond,http://richmond.craigslist.org/rid/3409094682.html,offering affordable rides today safe and reliable call me now 804 687 7405,2012-11-14T11:04:47-05:00,emailnotfound
transportation services,richmond,http://richmond.craigslist.org/rid/3340331799.html,"we service wedding, nights out, proms, funerals, birthdays, sporting events, wine tours, concerts or airports or just a night out. our limousine have ice & bottle water, cd player, i pod hook up and sirius radio some limousines have tv & dvd player.  [...]",2012-11-14T09:39:38-05:00,emailnotfound
amazon employee need a ride to and from work,richmond,http://richmond.craigslist.org/rid/3377308591.html,"yes i'm a new hire at amazon and i will be needing a ride to and from work friday, saturday,sunday and some monday from 6pm to 5am. willing to pay!!!!!!...please respond...would love to have someone who already work the same shift as i ..you can reac [...]",2012-11-13T19:32:27-05:00,emailnotfound
in need of some help :/ (west end ),richmond,http://richmond.craigslist.org/rid/3406829966.html,"i just recently crashed my car and totalled it but i have 2 jobs and need help gettin to and from. i can give you some money, i wont need you all the time, my dad can pic me up at night but i need rides different times each week... if u can help even [...]",2012-11-13T11:57:37-05:00,emailnotfound
heading west?  (richmond - idaho),richmond,http://richmond.craigslist.org/rid/3406524194.html,"i'm looking to make it home for the holidays and would like to rideshare if possible. if you're going somewhere remotely close to idaho (ut, co, wy, mt, or, wa, etc), i can catch a bus the rest of the way. i don't have much gas money, but i have an e [...]",2012-11-13T09:54:49-05:00,emailnotfound
need a driver for children in the morning (northside),richmond,http://richmond.craigslist.org/rid/3406397618.html,i have two children who attend out of zone schools and i need someone to drive them in the mornings only.this would be from the northside to the fan area at 7:am.please email for more info...thank you!,2012-11-13T08:44:32-05:00,emailnotfound
someone with free time & car needed (richmond),richmond,http://richmond.craigslist.org/rid/3402770343.html,"hey 
i'm hoping i can find someone who has free time and a car that can help me out this week. 
my father is being released from a nursing home this week and i need to pick him up but before that i need to get some things ready for him but have no ca [...]",2012-11-11T16:45:11-05:00,emailnotfound
ride offered - richmond to norfolk on wed 11/21 (richmond),richmond,http://richmond.craigslist.org/rid/3401747883.html,"i'm offering a ride from richmond to norfolk. 
leaving november 21st. contact me on zimride: http://www.zimride.com/ride/share?ride=526279 ",2012-11-11T07:52:14-05:00,emailnotfound
ride share to orlando and back (richmond/wmbg areas),richmond,http://richmond.craigslist.org/rid/3401220081.html,"seeking ride share partner. i'm leaving richmond/williamsburg areas dec 15, 12:01 am, returning dec 22, pm. split gas (around $50 each way). one way ride is ok too. you must have valid drivers license, be sane, have good hygeine, and able to hold a c [...]",2012-11-10T21:06:23-05:00,emailnotfound
need ride : i need to get to wyoming  (williamsburg ),richmond,http://richmond.craigslist.org/rid/3401043828.html,need to get to wyoming soon will take any ride out that way ,2012-11-10T19:14:53-05:00,emailnotfound
"richmond &gt; dc - wed, nov 14 (rva)",richmond,http://richmond.craigslist.org/rid/3401035895.html,"looking for a ride from richmond, va to washington, dc, on wednesday, nov 14, no later than noon. 
alternatively, i could offer a ride. 
email by tuesday night, if you can. thanks.",2012-11-10T19:10:12-05:00,emailnotfound
richmond - nyc,richmond,http://richmond.craigslist.org/rid/3400204464.html,"driving to new york city from richmond tomorrow. looking to share gas and toll costs with others. will be leaving at around 10 am, but flexible w time somewhat. i am 42 yo male and a good conversationalist!",2012-11-10T12:56:02-05:00,emailnotfound
driving to asheville 19 nov (richmond to asheville),richmond,http://richmond.craigslist.org/rid/3399936903.html,i am driving from richmond to asheville on monday 19 nov and i would love to get some passengers to share the ride and gas funds with. not sure what time i'll be headed out but probably early afternoon. let me know if you need a ride to avl or anywhe [...],2012-11-10T11:12:33-05:00,emailnotfound
non-emergency medical transport (richmond &amp; surrounding),richmond,http://richmond.craigslist.org/rid/3399868342.html,we offer transport to doctors appointments at hospitals or other offices in and around the greater richmond area. we also offer a certified e.m.t. with cpr/aed for the professional rescuer as your driver/companion. driver has extensive experience wit [...],2012-11-10T10:43:24-05:00,emailnotfound
going up north to ny maybe farther (richmond va),richmond,http://richmond.craigslist.org/rid/3397611397.html,hi i am going up to ny maybe farther monday 11/12 night or tuesday 11/13 early morning. if anybody out there needs lift let me know. can pick up along the way. starting point richmond va area . ,2012-11-09T11:13:01-05:00,emailnotfound
ride from broad & belvidere to midlothian turnpike & turner rd. (richmond-chesterfield),richmond,http://richmond.craigslist.org/rid/3397307091.html,"i will begin meetings on 11/20 which end at 730pm and i will need a weekly ride on each tuesday to my home. i reside off of midlothian turnpike not far from chippenham parkway. i prefer to find someone who works in the downtown, carytown, or near wes [...]",2012-11-09T08:54:10-05:00,emailnotfound
parham rd - boulvard downtown richmond (need ride from parham rd to boulvard),richmond,http://richmond.craigslist.org/rid/3396429457.html,"need ride from parham rd across from regency mall to 
downtown to the boulvard greyhound station. 
its not very far from me. would greatly appreciate it. 
look foward to hearing from you all! 
thank ; alyssia. ",2012-11-08T19:09:12-05:00,emailnotfound
rva - nyc (pickup &amp; dropoff - your preference),richmond,http://richmond.craigslist.org/rid/3396235087.html,"driving a rental up to nyc tomorrow friday just after 5pm. 
i'm looking to go up with only (1) person (dog friendly) 
i will pick you up & drop you off where you need to get picked-up or dropped-off. 
since this rental is for the weekend , i'm coming [...]",2012-11-08T17:36:19-05:00,emailnotfound
ride needed 10 pm @ night (forest hill to hull st),richmond,http://richmond.craigslist.org/rid/3395817020.html,need a ride from walmart forest hilll to 5900 block of hull st. willn to pay about 6 -7 bucks a day since i need to b picked up 5 days a week,2012-11-08T14:47:09-05:00,emailnotfound
rva to baltimore after thanksgiving (the fan),richmond,http://richmond.craigslist.org/rid/3395105404.html,"looking for a possible ride to baltimore on the morning of saturday, november 24th.",2012-11-08T10:21:47-05:00,emailnotfound
ride offered - richmond to fredericksburg on sat 11/10 (richmond),richmond,http://richmond.craigslist.org/rid/3395066862.html,"i'm offering a ride from richmond to fredericksburg. 
leaving november 10th returning november 11th. contact me on zimride: http://www.zimride.com/ride/share?ride=521910 ",2012-11-08T10:04:48-05:00,emailnotfound
boston for thanksgiving~*!,richmond,http://richmond.craigslist.org/rid/3395062765.html,"calling all drivers and adventurers.... 
i'm looking for ride/carpool to boston for thanksgiving. are you heading that way from richmond/dc area? 
i am looking for a roundtrip ride, around the dates of nov 21-26th. flexible... and wanting to bring my [...]",2012-11-08T10:02:54-05:00,emailnotfound
vcu area to fairfax county area  (richmond),richmond,http://richmond.craigslist.org/rid/3394983686.html,"hi. i am a vcu business student. my permanent resident is northern va in the annandale/falls church area. i usually travel to n.va every other weekend. i am going for the weekend of thanksgiving from vcu on wedn. morning to n.va, then coming back on  [...]",2012-11-08T09:23:55-05:00,emailnotfound
"richmond, va to san antionio, tx (richmond, va to san antionio, tx)",richmond,http://richmond.craigslist.org/rid/3394094564.html,"i am planning a trip from richmond, va to san antionio, tx i am leaveing on 12/07/2012. i will be traveling down hwy 85 passing thru atlanta ga before i get to hwy 10. if anyone would like to ride down with me i only ask that you chip in a little wit [...]",2012-11-07T19:21:41-05:00,emailnotfound
amazon employee need a ride to and from work (petersburg),richmond,http://richmond.craigslist.org/rid/3393536857.html,"hi! i'm a new hire (female) at amazon and i immediately need a ride to and from work sunday, monday, tuesday & wednesday from 5:00 pm to 4:30 am. i would need a ride from downtown petersburg (petersburg bus station) to amazon's petersburg location an [...]",2012-11-07T15:22:20-05:00,emailnotfound
cheapest ride around (richmond),richmond,http://richmond.craigslist.org/rid/3392144583.html,"call d. w. for a ride the cheapest ride around ' 
804 475 5238",2012-11-06T23:41:18-05:00,emailnotfound
 afforable rides 24/7 service  (local and long distance),richmond,http://richmond.craigslist.org/rid/3391142100.html,im offering rides anywhere in the va area. i have a safe and reliable ride. call me 804 687 7405 lanel,2012-11-06T14:56:34-05:00,emailnotfound
richmond to detroit (richmond to det),richmond,http://richmond.craigslist.org/rid/3385100708.html,"hello, my name is chris and i am driving to detroit from richmond friday nov 9 at around 2pm. i am looking for someone to pitch in on gas money. i can drop you off somewhere that is on the way. if interested email me or text me at 804-901-7721. ",2012-11-06T13:54:11-05:00,emailnotfound
richmond to williamsburg (mcv to williamsburg),richmond,http://richmond.craigslist.org/rid/3385461545.html,i am driving to williamsburg this tuesday nov 6 in the morning. i am willing to drop you off if you can pitch in on gas. if interested email me or text me at 804-901-7721. thanks,2012-11-06T13:54:06-05:00,emailnotfound
