title,postingFrom,permalink,shortDescription,postingDate,mailToLink
i'm going to buffalo airport - do you need a ride? (roch to buffalo),rochester,http://rochester.craigslist.org/rid/3411171308.html,i have room for 6 passengers in my van. if you need a ride to catch a flight out of buffalo thanksgiving week call me 585/298-4052,2012-11-18T06:22:08-05:00,emailnotfound
i want to start over.... (rochester),rochester,http://rochester.craigslist.org/rid/3416660891.html,thinking of just leaving and starting over. my life for the longest has sucked i'm stuck in a job that i cant get out of great money but oh and did i mention it sucks?? i just got out of a 1 and 1/2 year meaningless relationship what a waste of time. [...],2012-11-17T14:29:13-05:00,emailnotfound
"anyone brining items to hurricane victims? (brighton, ny)",rochester,http://rochester.craigslist.org/rid/3415963131.html,"the harley school has late-donated items for hurrican sandy victims. if you are going down to nj area, can you bring donated items?",2012-11-17T09:44:12-05:00,emailnotfound
offering ride rochester to binghamton 11/25 (penfield),rochester,http://rochester.craigslist.org/rid/3414963180.html,"hello, 
i'm a college student returning to binghamton on sunday 11/25 from rochester. since there's some extra room in my car i thought i'd offer a ride to anyone going the same direction. i'm flexible with the departure time and i 'll have room in m [...]",2012-11-16T18:39:12-05:00,emailnotfound
wa/fl/ny (united states),rochester,http://rochester.craigslist.org/rid/3381181135.html,"wife and i will be traveling to florida,(gainsville) spend a couple of days their and then off to upstate ny, we have a full size pickup (long bed) that will be empty until we get to florida, we are willing to take some ones belongings if you like, p [...]",2012-11-16T02:31:37-05:00,emailnotfound
roc to alb: 11/21 (park avenue ),rochester,http://rochester.craigslist.org/rid/3412726718.html,"i will be traveling to albany on wednesday november 21st and will be leaving from park ave. i have a clean drivers record, and i am easy going and can accommodate 2 people @ $25 each. 
please email if interested - thanks!",2012-11-15T19:57:29-05:00,emailnotfound
two people + dog need ride to west coast (rotc - west coast in dec.),rochester,http://rochester.craigslist.org/rid/3406406714.html,"we're heading home after spending a few weeks in rochester, ny. we'd like to leave anytime after the 28th of nov. our specific destination is northern california but we would be happy to get dropped off anywhere between portland & san fran. we have t [...]",2012-11-15T17:23:26-05:00,emailnotfound
will haul to denver co (elmira),rochester,http://rochester.craigslist.org/rid/3377051217.html,"i'm driveing a pickup truck from mansfield pa to denver co a couple days after christmas. 
i will have room to haul or tow a trailer. 
i can go i-70 or i-80 and can go a little out of the way if necessary. 
keywords; west, ohio, indiana, illinois, io [...]",2012-11-15T09:53:22-05:00,emailnotfound
"rideshare: maine to rochester ny (falmouth, maine)",rochester,http://rochester.craigslist.org/rid/3409976276.html,"i live in maine but am currently working in the rochester, new york area for a technology company. 
on the afternoon of wednesday, 11/21 i will be driving from rochester to portland, maine and can take up to two riders. in the late morning or early a [...]",2012-11-14T16:31:14-05:00,emailnotfound
u-need-a-ride (trailways bus depote),rochester,http://rochester.craigslist.org/rid/3409292112.html,"family connections is now providing a van service to most nys correctional facilitys ie; attica,wende,auburn,elmira,greatmeadows,coxsackie.and green c.f. also wyomning,orleans,groveland, livingston, all trips are by appointment only!!! all departures [...]",2012-11-14T12:18:33-05:00,emailnotfound
