title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"can haul loads under 1500lbs across the country.  (seattle, denver, baltimore)",rockies,http://rockies.craigslist.org/rid/3396649943.html,"will be in denver saturday. driving a little ranger w/canopy and towing a 4x6 trailer around the country looking for loads that aren't big enough for the transport companies, but a nuisance for someone that just needs it moved. i'm out of seattle and [...]",2012-11-17T21:38:50-07:00,emailnotfound
offer: wed 230pm avon&gt;boulder (avon&gt;boulder wednesday),rockies,http://rockies.craigslist.org/rid/3417430454.html,"we are heading to boulder wednesday leaving at around 2pm-230pm. if you need a lift to anywhere in between and have a some gas $ shout!! 
matt 
970.445.7459 ",2012-11-17T18:42:27-07:00,emailnotfound
breck - leadville  (breck),rockies,http://rockies.craigslist.org/rid/3417354633.html,trying to move to leadville last minute. if i have a ride i have the chance to have an interview on tuesday the 20 or wednesday 21. i live in breck and can meet for the most part anywhere in summit. will help with gas. if possible i would like a ride [...],2012-11-17T17:56:01-07:00,emailnotfound
ride offered front range to summit county 11.19  (broomfield to dillon),rockies,http://rockies.craigslist.org/rid/3417250312.html,"i am heading from broomfield area to summit county on monday morning. let me know if you are looking for a ride from boulder or westminster or arvada or golden or etc! shoot me a text 970.485.1093 
summer",2012-11-17T16:57:21-07:00,emailnotfound
fairplay to co spgs/back  (fairplay),rockies,http://rockies.craigslist.org/rid/3417027224.html,"need a ride to co spgs from fairplay and back.....will pay$30.00 for gas plus $30.00 extra! i need an hour or less in the springs..sunday,or monday 719-221-8396",2012-11-17T15:05:20-07:00,emailnotfound
offered summit county to sacramento,rockies,http://rockies.craigslist.org/rid/3417002143.html,"leaving sunday evening, dillon to sacramento area and points in between. gas contribution a must, ability to help drive a plus.",2012-11-17T14:53:37-07:00,emailnotfound
thanksgiving ride wanted: avon to denver (avon),rockies,http://rockies.craigslist.org/rid/3414863061.html,"looking for a ride to denver for thanksgiving weekend, ideally wednesday afternoon or thursday morning. i live in avon but can meet in vail or surrounding areas. will pay gas $. if you're coming back west saturday or sunday a round trip would be amaz [...]",2012-11-16T15:51:49-07:00,emailnotfound
breck to dia 11/20,rockies,http://rockies.craigslist.org/rid/3414824518.html,"my flight leaves at 11:30 so i plan on leaving breck between 8 and 8:30 am. i hate flying sober so help a brother out or chip in for gas. we also have a couch to crash on if you are not along the way but still need a ride. 
shoot me a text at 630-779 [...]",2012-11-16T15:34:55-07:00,emailnotfound
vail to golden-- golden to vail,rockies,http://rockies.craigslist.org/rid/3414811665.html,"i need to get down and see the fam for thanksgiving. 
ride #1 
i am hoping to leave vail sometime wednesday afternoon to get to golden, which is right off i-70 - you could even just drop me at the park and ride and hop right back on the hwy. 
ride #2 [...]",2012-11-16T15:29:12-07:00,emailnotfound
ride to denver please from glenwood (glenwood spring),rockies,http://rockies.craigslist.org/rid/3414429634.html,"hello i am trying to make it to denver by 7am on thanksgiving day 22nd i know that is a tough time but also wiling to go a day early if necessary. 
wiling to pay for all the gas and food along the way also 420 friendly if that helps 
thanks and hope  [...]",2012-11-16T12:55:34-07:00,emailnotfound
need leadville to denver (leadvegas),rockies,http://rockies.craigslist.org/rid/3414428120.html,"hey, just trying to catch a ride down to denver today/night, the earlier the better. i have a bike and a small shoulder bag, can pitch whatever on gas, trying to get down for my buddies wedding tomorrow. 
call or text 
chris 
314.322.60 two two",2012-11-16T12:54:59-07:00,emailnotfound
