title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"northstar, heavenly snowboard carpool (lodi)",sacramento,http://sacramento.craigslist.org/rid/3417932277.html,"my name is anthony, i'm 29 years old and been snowboarding roughly 15yrs. i'm looking for somebody to carpool with to save money on gas. i live in lodi and can either go through sacramento up 99 or up 50 to heavenly. i drive a v6 4x4 tacoma and gas r [...]",2012-11-18T03:30:12-08:00,emailnotfound
ride offered sac to los angeles sunday 6:30pm (sac to la...),sacramento,http://sacramento.craigslist.org/rid/3417920660.html,"i'm driving south bound on the 5 fwy from sac to la can make a stop along the way 
i'll be leaving in the evening on sunday nov 18th 
gas contribution only, i'll be doing the driving... 
please leave a contact # for a response. 
thanks... ",2012-11-18T03:05:48-08:00,emailnotfound
carpool app (ios/android),sacramento,http://sacramento.craigslist.org/rid/3389535641.html,"hello ride-sharers/carpoolers, 
trusted by people from 450+ cities across 35+ countries and growing 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all your preferences load [...]",2012-11-18T01:45:52-08:00,emailnotfound
ride offered: sacramento - la (roseville),sacramento,http://sacramento.craigslist.org/rid/3417881677.html,"my boyfriend and i are young professionals driving home to los angeles (santa monica), and we have space for one or two people in the back seat of my jetta, otherwise known as pepe silvia. 
we are leaving saturday, november 24th from roseville (but w [...]",2012-11-18T01:38:43-08:00,emailnotfound
offering roundtrip ride 2 san jose from sacramento saturday 12/01/2012 (sacramento to san jose to sacramento),sacramento,http://sacramento.craigslist.org/rid/3417831027.html,"leave sacramento saturday, december 1, 2012 in the morning around 7:00am -10:00am depending on how many riders i have. 
leave san jose saturday, december 1, 2012 around 10:00pm -12:30am. 
willing to pick up and drop off along the way, including bart  [...]",2012-11-17T23:59:00-08:00,emailnotfound
ride offered - davis to fallbrook on wed 11/21 (davis),sacramento,http://sacramento.craigslist.org/rid/3417790030.html,"i'm offering a ride from davis to fallbrook. 
leaving november 21st returning november 25th. since this is going on craigslist, i will only give rides to other college students from davis or the surrounding cities if i can meet with you somewhere on  [...]",2012-11-17T22:56:15-08:00,emailnotfound
davis to bay area/ oakland friday 8/31 (davis --&gt; bay area),sacramento,http://sacramento.craigslist.org/rid/3417775274.html,"davis to bay area wed 11/20 for thanksgiving break 
flexible with times, but want to leave early afternoon. 
can drop you off anywhere along the 80 freeway, 880 freeway, or at the bayfair bart station. 
also driving back to davis sometime sunday. 
$1 [...]",2012-11-17T22:36:13-08:00,emailnotfound
if you need a ride to sf call now (midtown),sacramento,http://sacramento.craigslist.org/rid/3376234217.html,i want to leave to sf tonight. please call forty per person. 415.504.5643,2012-11-17T21:43:16-08:00,emailnotfound
leaving to sf berkely oakland (sacramento (midtown)),sacramento,http://sacramento.craigslist.org/rid/3378400787.html,i want tom leave to the bay area tomorrow at nine am please call me i have a big car with room for three passengers it will only cost $35.00 per person and can drop off anywhere in between. reserve your seat 415.504.5643,2012-11-17T21:19:15-08:00,emailnotfound
anyone going to sebastopol/santa rosa? (sacramento),sacramento,http://sacramento.craigslist.org/rid/3417705920.html,"hey folks, 
i'm in need of a lift to santa rosa by monday. i have a place to stay sunday night in sebastopol and monday i am meeting a rideshare up to washington that will drain me of my funds so i will just be able to provide conversation and a brea [...]",2012-11-17T21:16:54-08:00,emailnotfound
leaving to la (sacramento),sacramento,http://sacramento.craigslist.org/rid/3417689939.html,offering a ride to la for very cheap. i will leave sunday afternoon/night. let me know if you are interested. email me or text me at 8183269042 ,2012-11-17T21:01:20-08:00,emailnotfound
ride offered - sacramento to new york on mon 11/26 (sacramento),sacramento,http://sacramento.craigslist.org/rid/3417689168.html,"i'm offering a ride from sacramento to new york. 
leaving around november 26th . traveling across the country from sacramento to new york and everywhere inbetween. email me with your destination montheijosh@gmail.com and il tell you how much and when [...]",2012-11-17T21:00:37-08:00,emailnotfound
going to los angeles sunday  (sacramento),sacramento,http://sacramento.craigslist.org/rid/3417683285.html,"i'm driving down to la, i'm a uc berkeley graduate and cu",2012-11-17T20:55:05-08:00,emailnotfound
spokane wa. bound-need a ride? (sac to id),sacramento,http://sacramento.craigslist.org/rid/3417631734.html,i am driving to idaho on weds this week. i am willing to take a traveling partner if they pitch in for some gas . i am not willing to go out of my way to drop any one off so it has to be on the route for a drop off. i will go from 5 to or to 97 thru  [...],2012-11-17T20:08:40-08:00,emailnotfound
are you looking for a ride? the ride guy and woman 24/7 rides offer (where do you need to go?),sacramento,http://sacramento.craigslist.org/rid/3417600392.html,"do you need a ride but don't want to pay for expensive taxi cab? 
i can drive you local or long distance, shopping, dr. appointments, errands, school, work, or whatever. 
i am a father and husband looking to make some extra money to take care of my f [...]",2012-11-17T19:42:43-08:00,emailnotfound
are you looking for a ride? the ride guy and woman 24/7 rides offer (where do you need to go?),sacramento,http://sacramento.craigslist.org/rid/3417597370.html,"do you need a ride but don't want to pay for expensive taxi cab? 
i can drive you local or long distance, shopping, dr. appointments, errands, school, work, or whatever. 
i am a father and husband looking to make some extra money to take care of my f [...]",2012-11-17T19:40:21-08:00,emailnotfound
