title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"driving to amarillo, tx (south bay)",sandiego,http://sandiego.craigslist.org/csd/rid/3417978970.html,"i am driving way one from chula vista, ca to amarillo, tx on nov 24th, leaving about 8am. i will have my poodle with me, if anyone is interested in a ride. ",2012-11-18T04:42:22-08:00,emailnotfound
excellent app for carpool/rideshare (ios/android),sandiego,http://sandiego.craigslist.org/ssd/rid/3371878060.html,"hello ride-sharers/carpoolers, 
using android/ios device? 
imagine going on long distance distance or locally anywhere around and requiring ride partners 
post your ride on your android phone and check back later on your ipad! truly cross platform wi [...]",2012-11-18T01:45:57-08:00,emailnotfound
ride needed to bear (pacific beach),sandiego,http://sandiego.craigslist.org/csd/rid/3417879555.html,"im looking for a ride up to big bear or some were close. i have cash to help out with gass. 
please give me a call at 858 436 58six six",2012-11-18T01:34:14-08:00,emailnotfound
sdiego to la: mon 11/19- am: want to ride along? chip in on gas? (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3386322117.html,"text/call me: 713-513-0090 [monday nov 19 - am] 
thanks",2012-11-18T00:32:08-08:00,emailnotfound
"ride offered- driving to nor. cal, need a ride? (ocean beach)",sandiego,http://sandiego.craigslist.org/csd/rid/3417770318.html,"driving to nor. cal, leaving this mon. night or tues. morning. if you're interested in a ride there or anywhere along the way and are willing to help with gas, give me a call 425-737-0697 
namaste",2012-11-17T22:29:56-08:00,emailnotfound
ride needed: tucson to san diego on sunday -18/2011(any time) .,sandiego,http://sandiego.craigslist.org/csd/rid/3417763811.html,ride needed: tucson to san diego on sunday -18/2011(any time) .. ,2012-11-17T22:21:46-08:00,emailnotfound
ride offered to sonora mexico (going to rocky point and bahia kino),sandiego,http://sandiego.craigslist.org/csd/rid/3417667288.html,"hello, 
im heading down to my place in kino bay mexico for a few days and i have room for a rider willing to pay half gas. 
just me and my friendly dog in a nice crv. 
thank you. 
heath 
61nine 75six 242three",2012-11-17T20:40:13-08:00,emailnotfound
need help moving to marin/ north bay,sandiego,http://sandiego.craigslist.org/nsd/rid/3417650338.html,hey! i am moving from escondido to marin/novato area for a new job and need someone with a big truck or van or maybe even a trailer to help shlep my bed and some other stuff. i would like to move up there the 24 or 25 of november. $200 or up for nego [...],2012-11-17T20:24:45-08:00,emailnotfound
ride offered - san diego to lodi on tue 11/20 (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3398646118.html,"i'm offering a ride from san diego to lodi. 
leaving november 20th returning november 25th. looking for people who are heading to nor cal. must be 420 friendly. let me know if your interested. i am flexible on the price if you arent going as far. ",2012-11-17T20:05:50-08:00,emailnotfound
ride offered san diego to phoenix (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3408547980.html,"hello, 
i am driving from san diego to phoenix on monday the 19th. i'm looking for someone to help out with gas. i have three seats open and i can also haul something. i'm driving a truck and pulling a little trailer with a motorcycle on it. call, te [...]",2012-11-17T19:20:29-08:00,emailnotfound
need ride to orange county (anywhere),sandiego,http://sandiego.craigslist.org/csd/rid/3376045050.html,need ride from san diego to orange county . also need to carpool back in forth from oc to san diego and vice versa in the future. please call jay at 714 605 6866.. thanks!,2012-11-17T18:24:05-08:00,emailnotfound
ride from ucsd to sd airport on thursday around 1???,sandiego,http://sandiego.craigslist.org/csd/rid/3417485029.html,"let me know if anyone is going, i can buy ya lunch or split gas as buses that long mess up my back",2012-11-17T18:18:12-08:00,emailnotfound
offered: 805 & clairemont to oceanside 78 & emerald sun day 2 pm (805 &amp; clairemont to 78 &amp; emerald),sandiego,http://sandiego.craigslist.org/csd/rid/3417460479.html,"hi, ride offered to non smokers / no drugs from 805 & clairemont mesa blvd to oceanside 78 & emerald and points in between. plan would be to leave tomorrow sun day slightly after 2 pm. if interested, please respond with itinerary, offer and contact # [...]",2012-11-17T18:01:55-08:00,emailnotfound
going my way? (sd/denver co),sandiego,http://sandiego.craigslist.org/nsd/rid/3417460174.html,i'm a woman and am heading back to denver within a week or two. i will have a 16 ft moving truck towing my car. if you can drive the truck and can help with the gas...please let me know and respond if you are a safe and experienced driver! send a pic [...],2012-11-17T18:01:42-08:00,emailnotfound
ride offered sun 11/18 (sd to palm springs/palm desert),sandiego,http://sandiego.craigslist.org/csd/rid/3417371169.html,"driving to palm desert on sunday evening via the i-15 - i-215 - i-10 route through temecula, palm springs and hemet or moreno valley. leaving from utc area around 7pm. email if interested.",2012-11-17T17:05:58-08:00,emailnotfound
call anytime!! (san diego/la),sandiego,http://sandiego.craigslist.org/csd/rid/3367430199.html,"if you need a ride, locally or out of town, but do not want to pay expensive taxi fares, call me. 
anywhere you need a ride ie.) work, school, appointments, errands, designated driver, special events, help moving, etc. 
please feel free to call (619) [...]",2012-11-17T16:52:03-08:00,emailnotfound
ride offered - s.d. to big sur on wed 11/21 or thu 11/22 (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3412408259.html,"i'm offering a ride from san diego to big sur. 
leaving november 21st or 22nd, returning november 25th (flexible for that day or after). it's $45 each way, if only one passenger. if 2 passengers, then only $35/person. if 3 passengers, then $25/person [...]",2012-11-17T15:21:23-08:00,emailnotfound
ride needed - s.d. to big sur on wed 11/21 or thurs 11/22 (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3412463028.html,"i'm looking for a ride from san diego to big sur. 
leaving late on wed, november 21st or early thurs. nov. 22 
returning november 25th (i'm flexible on or after that date). i'm insured to drive others' vehicles, so i can pitch in on driving time, too [...]",2012-11-17T15:21:20-08:00,emailnotfound
need a ride? anywhere? (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3417105202.html,do you need a ride? i can drive you anywhere in san diego to and from. i am cheaper then a cab and have room for 4 in my mercedes mini van.for same day service please text only to 619-333-6701 or reply with an email for pricing and availability.i wil [...],2012-11-17T14:42:24-08:00,emailnotfound
"ride offered - san diego to 26101 magic mountain parkway, valencia on sat 11/17 (san diego)",sandiego,http://sandiego.craigslist.org/csd/rid/3417100762.html,"i'm offering a ride from san diego to 26101 magic mountain parkway, valencia. 
leaving november 17th. a drop off anywhere in between is fine as well (call 310-972-0298) contact me on zimride: http://www.zimride.com/ride/share?ride=539351 ",2012-11-17T14:40:15-08:00,emailnotfound
safe designated driver day or night (all san diego county),sandiego,http://sandiego.craigslist.org/csd/rid/3399991461.html,"call us for your day/night plans 
we are nondrinkers and are available for rides to and from almost anywhere 
call us now! 
rick and shelby 619-743-1101",2012-11-17T14:12:45-08:00,emailnotfound
ride offered - san diego to la on sun 11/18 (san diego),sandiego,http://sandiego.craigslist.org/csd/rid/3416497925.html,"i'm offering a ride from san diego to los angeles. 
leaving november 18th around 8 am. i'm a recent college graduate who is relaxed and easygoing. i am looking for ridesharers who are also easygoing and looking for a cheap, quick, and safe way to get [...]",2012-11-17T10:26:04-08:00,emailnotfound
vista to florida. may have room for cargo (vista),sandiego,http://sandiego.craigslist.org/nsd/rid/3416475185.html,"hi 
my girlfriend and i are driving to jacksonville florida sometime between november 28 and december 2. we will be taking i-8 then to i-10 all the way out there. planning to stop in tucson, houston, new orleans, then jacksonville. we are taking a pi [...]",2012-11-17T10:17:30-08:00,emailnotfound
ride offered: san diego to phoenix/yuma 11/17 this afternoon $30,sandiego,http://sandiego.craigslist.org/esd/rid/3416446182.html,"i'm driving to phoenix today on highway 8 through yuma. i'd like to leave before 3pm, but i can leave later. $30 per person, non smokers only 
take care, 
kevin 
541-224-7864 
my phone doesn't work so good at my friends house so you can text me and i [...]",2012-11-17T10:06:28-08:00,emailnotfound
ride offered - oceanside to santa cruz on fri 11/23 (oceanside),sandiego,http://sandiego.craigslist.org/nsd/rid/3416427941.html,"i'm offering a ride from oceanside to santa cruz. 
leaving november 23rd returning november 27th. i'm rolling out from oceanside to santa cruz sometime between 5-8pm on friday 11/23. departing from santa cruz to oceanside sometime tuesday 11/27 after [...]",2012-11-17T09:59:33-08:00,emailnotfound
ride offered - encinitas to las vegas on fri 4/26 (encinitas),sandiego,http://sandiego.craigslist.org/nsd/rid/3416390747.html,"i'm offering a ride from encinitas to las vegas. 
leaving april 26th returning april 28th. contact me on zimride: http://www.zimride.com/ride/share?ride=539031 ",2012-11-17T09:45:24-08:00,emailnotfound
ride offered - poway to las vegas on wed 11/21 (poway),sandiego,http://sandiego.craigslist.org/nsd/rid/3416302937.html,"i'm offering a ride from poway to las vegas. 
leaving november 21st returning november 25th. heading to vegas in the morning on the 21st. would like at least 2 ppl to help with gas. we could come back on saturday or sunday anytime. please have cash u [...]",2012-11-17T09:11:37-08:00,emailnotfound
ride to s.fco (santa clara),sandiego,http://sandiego.craigslist.org/nsd/rid/3416269797.html,"good morning 
my name is victor and i want to go to santa clara ca. to spend the holidays, it is possible on wednesday after the 4:00 pm and return on sunday. 
thanks",2012-11-17T08:58:42-08:00,emailnotfound
ride offered: san diego to vegas today 11/17 (chula vista),sandiego,http://sandiego.craigslist.org/ssd/rid/3416209972.html,offering ride to vegas today at around 11 am....returning tommorow..call 619 852 0700,2012-11-17T08:35:12-08:00,emailnotfound
need a ride from mission valley to oceanside (mission valley),sandiego,http://sandiego.craigslist.org/csd/rid/3416116111.html,"good morning, it is about 7:54 a.m. and i am looking for a ride to oceanside from mission valley. i am willing to pay someone $40 to take me from here to there...i have transportation from there. i need to be up there by 10:00 a.m. so i need to leave [...]",2012-11-17T07:56:54-08:00,emailnotfound
"san diego to phoenix (san diego, south san diego)",sandiego,http://sandiego.craigslist.org/csd/rid/3415962601.html,leaving to the phoenix area today 11-17-12. wanting to get out of the sd area by 1pm. 40 bucks for gas is the price. 480-734-8923.,2012-11-17T06:43:53-08:00,emailnotfound
offering ride - san diego to los angeles (downtown la),sandiego,http://sandiego.craigslist.org/csd/rid/3415955665.html,"$35 to downtown los angeles. can pick up any exit off the 5 freeway. beyond downtown los angeles, charge extra. commute on daily basis and have room for +4 people plus luggage. -andy (213)265-1734 ",2012-11-17T06:40:00-08:00,emailnotfound
need a ride to arizona (sd),sandiego,http://sandiego.craigslist.org/csd/rid/3415724292.html,"im a college student & need a ride to back to flagstaff, az on nov 24 or later. 
i can also catch a ride to any neighboring towns/cities so my friends can pick me up (like sedona, camp verde, phoenix, grand canyon). 
i have 1 suitcase & a bag-pack &  [...]",2012-11-17T03:05:42-08:00,emailnotfound
