title,postingFrom,permalink,shortDescription,postingDate,mailToLink
rides/$10.00 anywhere in town-outta town 2 (santa maria/orcutt),santamaria,http://santamaria.craigslist.org/rid/3357595040.html,"i'm heidi and i am available anytime to take or drop you to work, grocery shopping, errands ect. i can wait for you to finish shopping, ect. i don't mind traveling out of town. or a drop off across town, to work ect. to go home from the bar. or to th [...]",2012-11-16T19:35:45-08:00,emailnotfound
orcutt/grover beach roundtrip car pooler (orcutt),santamaria,http://santamaria.craigslist.org/rid/3413013180.html,"professional woman looking for 1-3 people to rideshare from orcutt to grover beach area/roundtrip mondays through fridays. we can split fuel cost and switch vehicles per person, per week/day, if interested. work hours are 8am-8:30am or so until 4:30p [...]",2012-11-15T19:45:50-08:00,emailnotfound
app for rideshare (ios/android),santamaria,http://santamaria.craigslist.org/rid/3345405611.html,"hello ride-sharers/carpoolers, 
app name is rideshare4less a.k.a rs4l 
best carpool/rideshare app (ios and android) 
carpoolers make your ride repeating! 
android - 
https://play.google.com/store/apps/details?id=com.rs4l.rideshare 
ios - 
http://itun [...]",2012-11-15T16:57:47-08:00,emailnotfound
lompoc vs culver city cif football playoff game (lompoc to culver city),santamaria,http://santamaria.craigslist.org/rid/3412594601.html,i live in santa barbara and would like to ride share with someone who is going to the lompoc hs/culver city cif football playoff game this fri 11/16 in culver city. i will help pay for gas. call fred at 805 957-4636,2012-11-15T15:50:57-08:00,emailnotfound
san luis obispo to bay area (san luis obispo),santamaria,http://santamaria.craigslist.org/rid/3411347407.html,"i drive up monthly for work in the bay area, i am willing to drop you off anywhere in between. 
leaving either thursday night or friday morning. 
can fit two passengers comfy or squeeze three. 
i just want you to pitch in for gas for my truck . 
32,  [...]",2012-11-15T07:26:30-08:00,emailnotfound
orcutt to san francisco (santa maria),santamaria,http://santamaria.craigslist.org/rid/3410839015.html,"i drive up monthly for work in the bay area, i am willing to drop you off anywhere in between. 
leaving either thursday night or friday morning. 
can fit two passengers comfy or squeeze three. 
i just want you to pitch in for gas for my truck . 
32,  [...]",2012-11-14T21:32:33-08:00,emailnotfound
"need a ride to slo tonight, kinda desperate and poor (orcutt)",santamaria,http://santamaria.craigslist.org/rid/3407373088.html,"so......i could have a possible date tonight, i have skyped with a woman several times and i really am in like with her, i do not have any money to spend but i can trade you a computer flat panel monitor....please help.8055981837",2012-11-13T12:13:20-08:00,emailnotfound
slo to santa maria/santa barbara/ventura/malibu (slo/santa maria - traveling),santamaria,http://santamaria.craigslist.org/rid/3386606239.html,"i will be driving from the slo/santa maria area on wednesday nov 7th around 11am driving to malibu. 
i will be taking my time on hwy 1 in a convertible arriving in malibu by 3:30 or 4pm on wednesday. 
i can drop you off along the way in the spots men [...]",2012-11-04T13:16:10-08:00,emailnotfound
i still love you (north carolina),santamaria,http://santamaria.craigslist.org/rid/3361741420.html,"you opened it. tonight at midnight, your true love will realize they truly miss you. something good will happen to you between 1:00 pm to 4:40 pm, it could be anywhere. tonight at midnight they will remember how much they love you. you will get a sho [...]",2012-10-31T10:53:23-07:00,emailnotfound
going to lax from sb (lax),santamaria,http://santamaria.craigslist.org/rid/3362207790.html,headed to lax from sb today (wednesday) around 3 pm. have room for two people. call 805 708-8294,2012-10-24T12:28:37-07:00,emailnotfound
