title,postingFrom,permalink,shortDescription,postingDate,mailToLink
nightshift tpa post office carpooling? (sarasota),sarasota,http://sarasota.craigslist.org/rid/3410858161.html,"anybody going to work 8pm shift at the ybor tampa post office..?? 
i'm supposed to start the 8th of december and instead of paying about 20 bucks to and fro per day we could save some cash!! 
halvsies..3 ways..4 ways? 
i have a lil car but we can cra [...]",2012-11-17T18:35:54-05:00,emailnotfound
"ride offered: nyc, philly, d.c., richmond, i-95 corridor etc. (sarasota, fl)",sarasota,http://sarasota.craigslist.org/rid/3414748629.html,"hi there, 
there's a fairly good chance i'll be leaving somewhere along the lines of the 20th, 21st or 22nd headed north to great barrington, ma but could stop anywhere along i-95 up to nyc at which point i'll be continuing straight north to southwes [...]",2012-11-16T17:02:14-05:00,emailnotfound
local or long distance. call me if you need a ride. reasonable rates (sarasota/bradenton),sarasota,http://sarasota.craigslist.org/rid/3414678862.html,"local & mature gentleman with experience as high profile chauffeur & bodyguard will provide you with safe and affordable transportation wherever you may need to go via my cadillac. 
late night? no problem. 
early morning? no problem. 
special request [...]",2012-11-16T16:33:21-05:00,emailnotfound
"leaving sw florida tonight in truck to la 4 u/stuff transported sat 17 (from naples, fl to los angeles, ca)",sarasota,http://sarasota.craigslist.org/rid/3382268677.html,"hi... 
hubby is returning back to los angeles from naples florida leaving tonight, saturday 17th at about 5-6ish pm est. 
feel free and give me a call (much better than email and txt) to touch base if interested in a ride for you or ""stuff"" transport [...]",2012-11-16T07:34:49-05:00,emailnotfound
alternative to shared rides or public transportation: use (sarasota's favorite discount sedan service),sarasota,http://sarasota.craigslist.org/rid/3354064975.html,"call david at (941) 320-6698 to ride to the airport or anywhere else. 
private, reliable, personalized transportation in a smoke-free clean vehicle 
book 24/7 anytime; go anywhere for a reasonable fair price. 
commercially insured, background check p [...]",2012-11-16T07:34:25-05:00,emailnotfound
"need ride nov 20 or 21 or 22 to nyc or new england (sarasota, fl)",sarasota,http://sarasota.craigslist.org/rid/3411247318.html,"hi there! if you need help with gas costs and are headed north let me know! i'm an easy going smoke free 32 year old male. i can drive both automatic and shift. cheers! 
my phone number, in misspelled words: for won three, for too nine, sicks o three [...]",2012-11-15T09:36:03-05:00,emailnotfound
$39 to ft. lauderdale or miami (sarasota/bradenton/venice ),sarasota,http://sarasota.craigslist.org/rid/3368035566.html,"the regular fare is $50, however if you see this add on craigslist you will only pay $39, here is a coupon code 12122012, book online at http://www.floridaredlineshuttle.com/ or call 1.800.591.2522 
do not call to ask what is the fare ($39) 
you can  [...]",2012-11-14T19:04:19-05:00,emailnotfound
anyone need a ride to coco beach (sarasota ),sarasota,http://sarasota.craigslist.org/rid/3409908881.html,just want get out of town for a day going surfing no room for luggage or board $75 for gas would be great 941 735-8362 flexible on days,2012-11-14T16:04:33-05:00,emailnotfound
from tx to florida or fl to tx,sarasota,http://sarasota.craigslist.org/rid/3386039842.html,do you need to go to tx from florida or tx to florida i could take you or bring you to florida please call me at 941-204-6888 ask for debbie,2012-11-14T08:55:48-05:00,emailnotfound
need ride to o-town (pay $75) (n. sarasota),sarasota,http://sarasota.craigslist.org/rid/3408073217.html,"hello - i need a ride to downtown orlando. greyhound costs $40, so i might as well give you $75 to avoid the horror of riding the bus. looking to leave town asap. thanks!",2012-11-13T20:11:11-05:00,emailnotfound
