title,postingFrom,permalink,shortDescription,postingDate,mailToLink
"ride needed, scranton to mass 11/21-11/24 (greater scranton to wmass)",scranton,http://scranton.craigslist.org/rid/3415379681.html,"i'm looking for a ride home for thanksgiving. i need to travel from north eastern pa to one of the new england states, ideally massachusetts. western ny state may also work. i'll split the cost of tolls and gas in half with you. thanks for your consi [...]",2012-11-16T22:41:42-05:00,emailnotfound
has anyone tried rides2work.com? (nepa),scranton,http://scranton.craigslist.org/rid/3377762855.html,"my cousin started using it last month and swears by it. says he hasn't missed work since. 
it's www.rides2work.com if anyone is interested. thanks.",2012-11-12T14:27:19-05:00,emailnotfound
ride offer: 11.15 to scranton / willes from dc or from balt.,scranton,http://scranton.craigslist.org/rid/3399919289.html,"hi there, 
i'm driving from dc to montrose, pa through baltimore and scranton, pa thursday the 15th. i'll likely head off from dc starting around 7pm. 
i'm fine with picking up in baltimore if immediately along the route, such as at a public trans st [...]",2012-11-10T11:05:17-05:00,emailnotfound
ride offer : 11.12 to washington dc (or baltimore) (scranton / wilkes to dc or balt),scranton,http://scranton.craigslist.org/rid/3399910684.html,"hi there, 
i'm driving from montrose, pa, through scranton, pa en route to dc monday, 12th. 
i'll likely be coming through scranton between 12-3pm for a evening dc arrival. 
i'm fine with dropping off in baltimore if immediately along the route, such [...]",2012-11-10T11:01:39-05:00,emailnotfound
"needed ride to commodore  ,pa asap",scranton,http://scranton.craigslist.org/rid/3397554709.html,"please need ride to commodore ,pa from ponoco moutians asap.please call julia 570-843-5071 
my bf left and i am trying to move with only some of my things if i cant find ride i will loose everything i own please i need help",2012-11-09T10:50:36-05:00,emailnotfound
artist arisan craftsman,scranton,http://scranton.craigslist.org/rid/3396781091.html,im a craftsman and an artisan looking for new projects. i will look at any project or idea or give my personal vision or create yours. call brad with your project i love interactive and functional. wood metal or stone and other medium.cell 1 201 655  [...],2012-11-08T22:31:09-05:00,emailnotfound
need a ride ? (scranton),scranton,http://scranton.craigslist.org/rid/3392701955.html,"need a ride ? ny, nj, philly, dc...airports, hospitals, business, vacation, school, shopping, night out on the town. your car or my cadillac. lowest rates.. 604-7668",2012-11-07T10:10:19-05:00,emailnotfound
"hamlin,pa-casino in wilkes-barre (wallenpaupack lake estates)",scranton,http://scranton.craigslist.org/rid/3391514092.html,"need a ride to work from hamlin,pa to the casino in wilkes-barre. i start work at 11pm. will go earlier. i can be reached at (570)503-1569",2012-11-06T17:27:47-05:00,emailnotfound
ride offer: vt to dc and places in between 11/21/12 (vt to dc metro area),scranton,http://scranton.craigslist.org/rid/3386152257.html,"a friend and i are heading to the dc metro area for thanksgiving with my family. we have three more seat belts and/or some amount of luggage carrying capacity in my reliable, relatively environmentally respectful saturn. we will be departing from mid [...]",2012-11-04T12:48:51-05:00,emailnotfound
"need a ride after storm 2 dc, philly or nyc (scranton)",scranton,http://scranton.craigslist.org/rid/3373525173.html,"hello: 
i am trying to get to any major city with amtrak service so that i can get back to dc after the storm. please call 202-709-7056. thank you.",2012-10-29T18:30:53-04:00,emailnotfound
ride free to california (east coast (nepa)),scranton,http://scranton.craigslist.org/rid/3369574145.html,"looking for travel companion.....east coast to los angeles california area...... 
or you can be dropped off somewhere on the route.... 
early december - 5 day trip 
male driver with room for 1...preferably female....pets ok 
please, serious inquires  [...]",2012-10-27T20:04:10-04:00,emailnotfound
need ride 8-10 am  5-6 days week (scranton (mall area) to eynon),scranton,http://scranton.craigslist.org/rid/3367593592.html,"hello, i am looking to compensate someone to take me from scranton, steamtown mall area, to sugerman's plaza in eynon on a regular basis. i work in eynon 6 days a week. if you are already traveling that route i would love to hitch a ride and will spl [...]",2012-10-26T21:22:21-04:00,emailnotfound
philadelphia-allentown-scranton-binghamton- syracuse ,scranton,http://scranton.craigslist.org/rid/3326747750.html,"hi, i'm a syracuse university employee and student making a trip to syracuse, ny from the university of pennsylvania in philadelphia; i also go through, allentown pa, scranton, pa, binghamton, ny and pass by cortland, ny (highway 81) almost every wee [...]",2012-10-26T21:17:02-04:00,emailnotfound
bloomsburg to chicago (bloomsburg),scranton,http://scranton.craigslist.org/rid/3367364968.html,"i need a ride from bloomsburg pa to downtown chicago il on november 14th or 15th. greyhound and trailways don't have tickets for then for some reason. i can help pay for gas, obviously.",2012-10-26T19:10:55-04:00,emailnotfound
pa to ca - december,scranton,http://scranton.craigslist.org/rid/3367325169.html,"looking for travel companion.....nepa to la area..or dropped off somewhere on the route....male driver with room for 1...please, serious inquires only! ",2012-10-26T18:50:31-04:00,emailnotfound
drive share from scranton to dc and rockville (scranton to dc and rockville),scranton,http://scranton.craigslist.org/rid/3359429766.html,"i am going to drive back from scranton, pennsylvania to bethesda, maryland. it's a long way and i am interested to share driving with any one interested to have this ride. any contribution on gas price is welcome but not necessary! 
i'd leave scranto [...]",2012-10-23T13:35:11-04:00,emailnotfound
emergancy need ride to phily airport (dunmore),scranton,http://scranton.craigslist.org/rid/3359266383.html,i have to get to phily airport right away. i will pay for gas. please call 570-575-3373,2012-10-23T12:37:29-04:00,emailnotfound
need ride from work (scranton to taylor),scranton,http://scranton.craigslist.org/rid/3358920399.html,i work different shifts downtown in scranton and live in taylor. i normally use colts buses for transportation since i dont drive at this time but thats not an option on saturday nights. i am looking for someone local that could drive me home in exch [...],2012-10-23T10:29:26-04:00,emailnotfound
need ride from hamlin to hawley (hamlin),scranton,http://scranton.craigslist.org/rid/3358288380.html,"my son is 20 years old and he works at the castle formely the hawley silk mill in hawley, he works tuesday, wednesday, and fridays,he is looking for a ride to or from there any of these days,if you can only go one way for one day thats ok or both way [...]",2012-10-22T23:27:48-04:00,emailnotfound
w/b to nj,scranton,http://scranton.craigslist.org/rid/3341396461.html,"looking for a ride to and from nj.....maybe go down 1 weekend....come back the next...or 3 or 4 days....can go anytime.....i can land anywhere near a train station in nj..... 
willing to pay reasonable amount.....thanks!!",2012-10-20T09:28:00-04:00,emailnotfound
need a ride to humboldt (amazon.com),scranton,http://scranton.craigslist.org/rid/3345076003.html,"hello ! 
my name is john and i live in conyngham just off route 93 and i need rides to and from work in the humboldt industrial park in hazleton. my shift is 6:45 pm to 5:15 am wednesday to saturday. if you are coming through conyngham on these days  [...]",2012-10-17T10:50:57-04:00,emailnotfound
need rideshare from jessup to target in dickson city,scranton,http://scranton.craigslist.org/rid/3342882284.html,"i need a ride monday thru friday, 10:30am & 4pm. will pay $25 every 2 weeks.",2012-10-16T12:10:03-04:00,emailnotfound
will drive or ride with (avon park area of florida),scranton,http://scranton.craigslist.org/rid/3340911477.html,i have a blazer with a ball and hitch and willing to tow / drive and share or / drive with and share the cost of getting to florida. i am ex military and a widower and i am trying to relocate to florida . i am hopeing to find someone who will work wi [...],2012-10-15T15:10:47-04:00,emailnotfound
leaving for florida 24th or 25th (scranton area),scranton,http://scranton.craigslist.org/rid/3337448905.html,"i live in naples florida and will be headed home around the 24th or 25th but can change the date. if you are in a 50 mile radius of scranton and need a ride,and are willing to help out with gas,shoot me a quick e-mail and let me know. i wont give out [...]",2012-10-13T22:01:41-04:00,emailnotfound
wb to western or central mass,scranton,http://scranton.craigslist.org/rid/3337368528.html,"leaving from wb tomorrow evening, 10/14, around 5-7ish. going to western or central ma. if you want to come along, please help pay for gas and tolls. thanks! ",2012-10-13T21:04:52-04:00,emailnotfound
new england bound and back,scranton,http://scranton.craigslist.org/rid/3331137404.html,"i travel to and from new england,, 81-84 mass turnpike/495 78-95 looking to meet up with some one who needs a ride or can drop of and pick up as i can do the same ...i usually will stay days at a time but am very flexible , i have safe dependable set [...]",2012-10-11T08:34:18-04:00,emailnotfound
rides in/around w.b.casino runs (w.b.),scranton,http://scranton.craigslist.org/rid/3295624744.html,"cheap,reliable,comfortable rides around town.casino runs drop off/pick up.call (570)472-8046 anytime.thanks.",2012-10-11T05:31:06-04:00,emailnotfound
ride offer to places on the way to detroit (ct-to-detroit and back),scranton,http://scranton.craigslist.org/rid/3317016981.html,"headed to mi (north of flint) early morning friday, 5oct. need someone to help drive manual transmission. returning to ct monday, 8oct, evening. i can drop you off and pick you up along the way. ",2012-10-04T19:47:34-04:00,emailnotfound
