title,postingFrom,permalink,shortDescription,postingDate,mailToLink
ride needed sf/bay area to slo 11/25,slo,http://slo.craigslist.org/rid/3417777007.html,"i am looking for a ride from san francisco the sunday after thanksgiving back to slo. i can take bart and meet anywhere along the way that would be conveinantfor a pickup. will most definitely chip in on gas. thank you!!! 
jamie",2012-11-17T22:38:34-08:00,emailnotfound
offer: delivery or ride,slo,http://slo.craigslist.org/rid/3417772609.html,"using only half of my 16 ft. truck, from little rock, ar to santa rosa, ca 11/26-12/1. open to sharing options and/or riders for companionship and to offset moving costs. ",2012-11-17T22:32:49-08:00,emailnotfound
ride needed: slo to sd (encinitas),slo,http://slo.craigslist.org/rid/3417466931.html,"i am a second year at cal poly and need a ride tuesday (11-20-12) after 4:00pm. i have money for gas, so let me know if you're headed south. my phone number is (three 6 0) five 3 6 - two five 8 1.",2012-11-17T18:06:11-08:00,emailnotfound
ride offered - san luis obispo to martinez on wed 11/21 (san luis obispo),slo,http://slo.craigslist.org/rid/3417134262.html,"i'm offering a ride from san luis obispo to martinez. 
leaving november 21st. contact me on zimride: http://www.zimride.com/ride/share?ride=539378 
i drive a volvo . 
his name is sam",2012-11-17T14:56:45-08:00,emailnotfound
slo to northern calif 11/19 (slo),slo,http://slo.craigslist.org/rid/3416974357.html,"leaving slo on monday to northern california, can stop anywhere along the 101-5 northbound. but will be staying the night in brookings, oregon with a friend. so i'd like to drop off someone south of there. driving a small toyota truck, can deliver go [...]",2012-11-17T13:40:51-08:00,emailnotfound
ag to slo rideshare available (ag to slo or slo to ag),slo,http://slo.craigslist.org/rid/3369385124.html,i drive my children to school m-f from arroyo grande (mesa) to slo. looking to give someone a ride either way or both ways to help out with gas. sometimes i even go from ag to slo then back home so i could take someone from slo to ag if that works to [...],2012-11-17T12:41:35-08:00,emailnotfound
rideshare wanted 11/20 or 11/21 (slo to oc),slo,http://slo.craigslist.org/rid/3416811261.html,"im looking for someone offering a rideshare for 2 people, from san luis obispo to orange county on tuesday (11/20) night or any time wednesday (11/21). we are nice, sociable, cal poly students with minimal luggage. obviously willing to pitch in for g [...]",2012-11-17T12:30:23-08:00,emailnotfound
slo to bay area tomorrow- $30 - returning sunday after the raider game (slo),slo,http://slo.craigslist.org/rid/3415539638.html,"i am going to oakland to watch the saints play. leaving tomorrow in the evening. i have a big truck so there is plenty of room for your stuff. i can take up to 4 people. i am a 22-year old student at poly. going back sunday evening after the game, th [...]",2012-11-16T22:01:12-08:00,emailnotfound
need ride to san diego 11/20 or 11/21 (cal poly),slo,http://slo.craigslist.org/rid/3415357922.html,need a ride to sd mon tue or wed week of thanksgiving. have cash for gas,2012-11-16T19:25:54-08:00,emailnotfound
cheap travel to any state,slo,http://slo.craigslist.org/rid/3415115610.html,"we are a wholesale travel agency that specializes in providing the best price for travel on greyhound or amtrak. since we are an online only travel booker, we are able to further discount travel tickets b/c we have very low operating costs. we specia [...]",2012-11-16T16:56:30-08:00,emailnotfound
ride offer: slo to la/oc area tues 11/20 (long beach),slo,http://slo.craigslist.org/rid/3415000692.html,i am a first graduate student at cal poly who will be heading down to long beach for thanksgiving with a friend around 4:30pm on 11/20 (tuesday). i have a small suv that can comfortably seat another 2people. i will be taking the 101s to the 405s and  [...],2012-11-16T15:57:27-08:00,emailnotfound
ride offered - san luis obispo to sacramento on sat 11/24 (san luis obispo),slo,http://slo.craigslist.org/rid/3414890298.html,"i'm offering a ride from san luis obispo to sacramento. 
leaving november 24th. but dates are slightly flexible both earlier and later. contact me on zimride: http://www.zimride.com/ride/share?ride=537918 ",2012-11-16T15:04:21-08:00,emailnotfound
ride offered - san luis obispo to santa maria on sat 11/17 (san luis obispo),slo,http://slo.craigslist.org/rid/3414889434.html,"i'm offering a ride from san luis obispo to santa maria. 
leaving november 17th returning november 17th. contact me on zimride: http://www.zimride.com/ride/share?ride=537898 
i drive a mazda truck!. ",2012-11-16T15:03:58-08:00,emailnotfound
wanted: slo to petaluma 11/23 (slo),slo,http://slo.craigslist.org/rid/3414812392.html,"hello i am a 24 year old college student trying to plan his thanksgiving. i have a way down to slo but have to be back for work before my ride, thus this post. i am smart and funny and enjoy conversation , but most importantly i have money. i am down [...]",2012-11-16T14:29:32-08:00,emailnotfound
ride needed saturday 11/17 from slo to los angeles (slo - l.a.),slo,http://slo.craigslist.org/rid/3408359685.html,looking for a ride early saturday morning from san luis obispo down to los angeles. preferably on the westside off of the 405. i can throw down for gas money and am not a bad travel partner. i need to leave by 9:30 a.m. at the latest. email me if you [...],2012-11-16T13:22:35-08:00,emailnotfound
la to slo (san luis obispo),slo,http://slo.craigslist.org/rid/3413857157.html,"my friend and i are driving to san luis obispo today (friday, 11/16). we plan on leaving torrance around 1 pm, stopping in downtown for lunch, then heading to slo. let me know if you are interested. 
we are also driving back sunday night if you need  [...]",2012-11-16T08:25:22-08:00,emailnotfound
"need ride from slo to bay area 11/16, 11/17, or 11/18 (slo)",slo,http://slo.craigslist.org/rid/3413174883.html,"i'd like a ride back to the bay area anytime this friday-sunday. i'm in the south bay (saratoga) but you can just drop me off by 101. i don't have too much stuff with me and can chip in for gas! 
please email me, i'll should reply quickly. 
thanks!",2012-11-15T21:57:06-08:00,emailnotfound
ride wanted from slo to sac 11/21 (slo),slo,http://slo.craigslist.org/rid/3413076708.html,"college student needs ride from slo to sac for thanksgiving 11/21/12 pm. willing to share costs. call jeremy 916-607-7524 
november 21 wed wednesday afternoon night north highway five 5",2012-11-15T20:31:55-08:00,emailnotfound
slo to orange county (slo),slo,http://slo.craigslist.org/rid/3412814331.html,i am going back to orange county next wednesday morning! anyone want a share please text me !!! 7144088149,2012-11-15T17:45:18-08:00,emailnotfound
"ride offered - slo to the bay and sacramento (sun 11/18) (san luis obispo, ca)",slo,http://slo.craigslist.org/rid/3412743190.html,"hello. 
i'll be leaving slo on sunday (11/18) at anytime. i'll be cruising through the east bay to drop off a bike, but i can hit up s.f. if you need too. then i'm heading straight to sac after. 
i have room for 4 max. let me know if you're in. 
(916 [...]",2012-11-15T17:06:13-08:00,emailnotfound
rideshare/carpool app (ios/android),slo,http://slo.craigslist.org/rid/3345453095.html,"hello ride-sharers/carpoolers, 
best carpool/rideshare app (ios and android) 
28 counties, 249 cities and growing.... 
using android/ios device? post your ride on your android phone and check back later on your ipad! truly cross platform with all you [...]",2012-11-15T16:58:30-08:00,emailnotfound
travel deals to any city or state,slo,http://slo.craigslist.org/rid/3412708106.html,"this is a limited time offer** 
we are a wholesale travel agency that specializes in providing the best price for travel on amtrak as well as greyhound bus lines. since we are an online only travel booker, we are able to further discount travel ticke [...]",2012-11-15T16:47:45-08:00,emailnotfound
vegas to slo & back 11/16 (vegas - slo),slo,http://slo.craigslist.org/rid/3412221570.html,"i'm driving from vegas to norcal and am looking for rideshare(s) that can chip in for gas (equal shares). i'm willing to drop off anywhere between pismo beach and burlingame/san francisco. small cargo is ok. i'm looking to leave today/tomorrow. 
i am [...]",2012-11-15T13:06:06-08:00,emailnotfound
"slo to irvine (uc irvine, newport beach)",slo,http://slo.craigslist.org/rid/3411689332.html,"hey, i'm headin to irvine this friday (tomorrow) around 7:15pm. asking 25buck for gas please. you can talk to me or sleep in the car, listen to music it's all good. no spam no weirdos please. 
email and leave your text numbaa thankyou!",2012-11-15T09:41:40-08:00,emailnotfound
