title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need a ride to o'hare sat. 17th (elkhart),southbend,http://southbend.craigslist.org/rid/3411413341.html,"hi, 
i am flying out to new york city to help with hurricane sandy relief efforts on saturday and may need a ride. i fly out at 6pm but i would be happy to leave here at 6am if that is when you are leaving. 
about me: i am a 25 yr. old male who flew  [...]",2012-11-15T10:55:28-05:00,emailnotfound
ride offerd to nashville (in to tn),southbend,http://southbend.craigslist.org/rid/3403835230.html,"i need someone to help me drive my car to nashville. from south bend, or indy. if you can help with gas that would be nice but i will pay for the gas in return for the help. i need to leave sometime this week and am unsure of my return date. my origi [...]",2012-11-12T08:11:05-05:00,emailnotfound
ride offered - south bend to indianapolis on tue 11/6 (south bend),southbend,http://southbend.craigslist.org/rid/3390424197.html,"i'm offering a ride from south bend to indianapolis. 
leaving november 6th returning november 7th. contact me on zimride: http://www.zimride.com/ride/share?ride=518659 ",2012-11-06T10:27:42-05:00,emailnotfound
elkhart east to granger (elkhart),southbend,http://southbend.craigslist.org/rid/3381037723.html,5;30 am till work ends daily i work in granger and drive there daily email me and maybe we can ride together,2012-11-02T05:58:05-04:00,emailnotfound
ride to o'hare airport sunday morning,southbend,http://southbend.craigslist.org/rid/3372668900.html,i need to be there by 6:00 a.m. chicago time. i will pay you $80 cash.,2012-10-29T12:50:07-04:00,emailnotfound
"carpool laporte to mc, for transfer students of st. joes (fish lake/laporte to michigan city india)",southbend,http://southbend.craigslist.org/rid/3326925004.html,im looking to start a carpool of sorts. is your child going to queen of all saints or st. stanislaus after the closing of st. joes? are there people going to michigan city schools daily?/ looking for other parents who would like to get a carpool goin [...],2012-10-29T06:22:18-04:00,emailnotfound
headed to oregon (la porte),southbend,http://southbend.craigslist.org/rid/3370597085.html,"hi. my name is sarah, and i'm headed back to oregon. i have room for a couple of people in my car. i'm wanting to trade a ride there, for gas to get there. please email me, as my phone is off at the moment if this is something you would like to do. t [...]",2012-10-28T12:56:31-04:00,emailnotfound
plymouth to south bend (post office),southbend,http://southbend.craigslist.org/rid/3364323332.html,"i need a ride to the south side of south bend if anyone is heading that way. 
i can throw a little for gas ",2012-10-25T13:53:53-04:00,emailnotfound
ride to virginia asap (elkhart),southbend,http://southbend.craigslist.org/rid/3359180013.html,me and my aunt are in a tight situation. we have a place to stay in virginia and just need a ride. if anyone is heading that way and can help please contact me. ,2012-10-23T12:06:52-04:00,emailnotfound
moving to houston tx need a driver,southbend,http://southbend.craigslist.org/rid/3355457902.html,"moving to houston tx need a driver 
moving from nw ind to houston tx need someone to drive my car while i drive uhaul, one way, i buy gas, would like to drive straight down but will see call if sirous 219-252-6431 
really just looking for someone int [...]",2012-10-21T20:02:15-04:00,emailnotfound
"ride offered south bend to pittsburgh (three rivers, michigan)",southbend,http://southbend.craigslist.org/rid/3354125450.html,"i am driving from southern michigan, to pittsburgh on 10/24 or 10/25. let me know if you need a ride to pittsburgh or anywhere along the way, and we can figure out a gas price, and i can pick you up most anyplace within reason. 
hannah",2012-10-21T08:46:19-04:00,emailnotfound
sb&gt; i-80west&gt; san francisco 10/21 (i-80 west),southbend,http://southbend.craigslist.org/rid/3342810245.html,"i'm leaving tomorrow morning! sunday the 21st from south bend driving a jeep liberty to my home in oakland, ca. 
i'm pretty flexible on plans like where to stay, taking turns driving, etc. i need to be back by at least noon-ish on wednesday. 
i'm a 3 [...]",2012-10-20T14:59:59-04:00,emailnotfound
ride to new orleans the 1st week of november,southbend,http://southbend.craigslist.org/rid/3349576573.html,"looking to split the costs of travel to new orleans, louisiana around the first week of november. i'm a college-aged female who is likes most kinds of music and can talk about a variety of topics. my travel date is flexible, but an ideal time to leav [...]",2012-10-19T08:46:16-04:00,emailnotfound
florida please + help with research and communication,southbend,http://southbend.craigslist.org/rid/3286600301.html,"i need someone to help me with research and communication in florida. in exchange i will pay for all of the gas to get us there in your vehicle. please tell me what kind of vehicle you have (make, model, year) and when you plan on leaving to head to  [...]",2012-10-19T08:33:00-04:00,emailnotfound
warsaw to south bend on 10/20,southbend,http://southbend.craigslist.org/rid/3348916237.html,"looking for a ride to south bend from warsaw, north webster or syracuse. need a ride to the nd football game vs byu saturday october 20th. will pay for gas!",2012-10-18T20:25:43-04:00,emailnotfound
ride to sturgis michigan (south bend airport),southbend,http://southbend.craigslist.org/rid/3329861390.html,need a ride from south bend airport to sturgis michigan on thursday oct 12. around 10am. will pay.,2012-10-10T16:14:47-04:00,emailnotfound
ride to sturgis (south bend airport ),southbend,http://southbend.craigslist.org/rid/3329762949.html,will pay for ride from south bend airport to sturgis michigan. need ride around 10am thursday october 11. ,2012-10-10T15:36:18-04:00,emailnotfound
headed to lake tahoe (columbia city),southbend,http://southbend.craigslist.org/rid/3322449386.html,"im headed to lake tahoe , cali ,, leaving soon , looking for someone to pitch in ion gas ... txt or leave msg .. 26zero47nine860two",2012-10-07T12:00:03-04:00,emailnotfound
ride to indianapolis or louisville (.ouisville),southbend,http://southbend.craigslist.org/rid/3321711661.html,"need a ride home for fall break for my son who is a notre dame student, willing to pay leave next friday or saturday oct 12 or 13",2012-10-06T22:23:24-04:00,emailnotfound
need ride to share (mishawaka---chicago),southbend,http://southbend.craigslist.org/rid/3310918038.html,"need ride early sunday october 7th to chicago/oak park, illinois",2012-10-02T10:28:07-04:00,emailnotfound
