title,postingFrom,permalink,shortDescription,postingDate,mailToLink
i will take you anywhere in the us if you compensate 4 time and gas:)  (saint robert (willing to travel)),springfield,http://springfield.craigslist.org/rid/3417353115.html,"i would be willing to take you where you need to go! 
my name is codie rayl im 21 (im a girl) im happily engaged, and i have driven as a profession for the passed year or so. the distance would be no problem. i drive a 2004 saturn ion (fits up to 3 p [...]",2012-11-17T18:55:07-06:00,emailnotfound
needing round trip ride to denver co. over christmas holiday,springfield,http://springfield.craigslist.org/rid/3416728501.html,"hi, i'm needing a ride to denver and back over the christmas holiday. can share expenses and driving. very flexible on times and dates, 
call mike @ 417-683-2169 thanks",2012-11-17T13:56:08-06:00,emailnotfound
ride needed to nashville - end of november,springfield,http://springfield.craigslist.org/rid/3414231424.html,couple needs a ride to nashville (tn) last days of november (28 or 29 or 30). you can collect us around springfield (mo) or let us know where. ,2012-11-16T12:41:41-06:00,emailnotfound
i'm going to k.c. monday 6:am (branson),springfield,http://springfield.craigslist.org/rid/3413728209.html,"it will be me, my wife and uncle. we are taking him to see family in kansas city. you will be riding in newer comfortable suv. 30.00 each person 2 pieces of luggage each. you will be in 3rd row seat so please be able to step into back knowing that. 2 [...]",2012-11-16T09:33:45-06:00,emailnotfound
do you have a truck &trailer or panel truck? i need help.. (springfield),springfield,http://springfield.craigslist.org/rid/3383042738.html,"christian woman looking for someone who has a truck and trailer or panel truck. 
i just got back home from egypt a few months ago,everything i own is in storage in linn creek,mo.been there 
for 2 1/2 years. 
i don't have a lot of extra money,but can  [...]",2012-11-15T20:14:30-06:00,emailnotfound
"going east? i need a ride. (springfield, mo)",springfield,http://springfield.craigslist.org/rid/3412533885.html,"i would like to find a ride east to help with hurricane sandy recovery. if you're going or know someone, i'll help with gas. j",2012-11-15T17:22:34-06:00,emailnotfound
rides in branson (branson),springfield,http://springfield.craigslist.org/rid/3402123641.html,will give rides in branson [email me] i can do dr app shopping so on [airport runs ] 417-559-9100 i know branson has gone crazy on cab prices ,2012-11-15T12:50:55-06:00,emailnotfound
room in uhaul (anywhere along highway 70),springfield,http://springfield.craigslist.org/rid/3400870008.html,we will be moving from california to st. louis and will have room in our uhaul. do you have something that needs to go to st louis or anywhere along highway 70? let us know and maybe we can help each other out. ,2012-11-13T07:55:29-06:00,emailnotfound
i need a ride for marionville to sprinfeild (marionville),springfield,http://springfield.craigslist.org/rid/3403569948.html,i have to be in springfeild at 8 every morning for work and am looking for some one to maybe car pool with ill pay gas give me ur price please just a ride the in the morning is all thank you my number is 655 6248,2012-11-12T00:20:28-06:00,emailnotfound
ride needed to nashville - end of november,springfield,http://springfield.craigslist.org/rid/3403117551.html,couple needs a ride to nashville (tn) last days of november (28 or 29). you can collect us around springfield (mo) or let us know where. ,2012-11-11T18:45:19-06:00,emailnotfound
need a ride to kansas city (springfield),springfield,http://springfield.craigslist.org/rid/3402876801.html,hello me and my partner are looking for a ride to kansas city. we can split gas cost and we don't have any baggage. you can email us or call or text 760 8four53nine76,2012-11-11T16:37:06-06:00,emailnotfound
"fresno california (springfield, mo)",springfield,http://springfield.craigslist.org/rid/3399907579.html,i need a ride t0 fresno ca ...if your going that way and want s0me c0mpany call ....im a 45 yr old wht male sorry i i dont have any money n0w ,2012-11-10T10:00:18-06:00,emailnotfound
"heading north to minnesota (nixa,mo)",springfield,http://springfield.craigslist.org/rid/3396193427.html,"i am heading to albert lea minnesota for thanks giving, i have a f150 truck and can haul something north or back from that area if you want. all i ask for is to help with gas. if its a big load then the gas will go fast, we can come to an agreement a [...]",2012-11-08T16:17:58-06:00,emailnotfound
going to denver and back  (branson west ),springfield,http://springfield.craigslist.org/rid/3393234236.html,we are going to denver for christmas looking for anyone who needs ride that direction leaving the 17 or 18 and returning around the 27th 9562664489 or 5053999158 ,2012-11-07T12:30:49-06:00,emailnotfound
need ride from columbia to rolla/houston (columbia),springfield,http://springfield.craigslist.org/rid/3389760645.html,need ride from columbia mo. to rolla mo. or if possible to houston mo. will pay for gas and make u laugh. lol,2012-11-05T21:57:25-06:00,emailnotfound
heading to idaho (springfield),springfield,http://springfield.craigslist.org/rid/3389722760.html,"leaving for boise,id going thru ogden,ut",2012-11-05T21:31:08-06:00,emailnotfound
i need a ride to george's in cassville mo! (aurora mo),springfield,http://springfield.craigslist.org/rid/3389714845.html,im looking to carpool to george's in cassville from aurora missouri for the morning shift! if you would like to share the fuel cost just let me know! 417-440-8471!!! shift is 7:14-4:14 monday through friday email or txt is ok too! please respond asap [...],2012-11-05T21:25:48-06:00,emailnotfound
