title,postingFrom,permalink,shortDescription,postingDate,mailToLink
wanted:  carpool/transport from ogilvie to foley (ogilvie),stcloud,http://stcloud.craigslist.org/rid/3411183122.html,"i am a female healthcare professional in foley and looking to carpool or receive transport from ogilvie to foley on various, regularly scheduled days per month-- i work a block schedule. i will pay for gas and am willing to negotiate monetary reimbur [...]",2012-11-15T07:57:06-06:00,emailnotfound
box truck space 11/17 pm (st. cloud- msp),stcloud,http://stcloud.craigslist.org/rid/3408468025.html,"over 20' of box truck space available returning to twin cities saturday late afternoon. 
load and unload help available. 
rates negotiable. please email. 
evan",2012-11-13T23:30:28-06:00,emailnotfound
"desperately need a ride from alexandria, mn to st. cloud mn (alexandria, mn to st. cloud, mn)",stcloud,http://stcloud.craigslist.org/rid/3400186968.html,"tuesday,november 13th i need to be there by 10:30 for a legal matter . please help!!!!!!!!!!!! 
320-305-4978 ",2012-11-10T11:49:18-06:00,emailnotfound
ride east....,stcloud,http://stcloud.craigslist.org/rid/3391337333.html,"i will be going east towards milwaukee, with some stops along the way.. leaving from alexandra area at 5:00 am.... let me know?! ",2012-11-06T15:13:58-06:00,emailnotfound
offering and looking for a ride to fargo (bassnectar),stcloud,http://stcloud.craigslist.org/rid/3376278748.html,so i am planning on going to fargo for the weekend. leaving sometime thursday afternoon but i am flexible. let me know if you want a ride or if your going as well. 320 237 6589,2012-10-30T22:00:20-05:00,emailnotfound
need ride,stcloud,http://stcloud.craigslist.org/rid/3360944583.html,hello i am desperately needing a ride to st cloud from the cities please help me,2012-10-24T01:28:22-05:00,emailnotfound
please help me (las vegas - mn),stcloud,http://stcloud.craigslist.org/rid/3344551932.html,please help me i need a ride from las vegas nv back to mn after nov. 14th. my dad is very sick and i need to get back there. it would be me and my small dog and 1 suitcase. thanks!!!,2012-10-17T00:21:26-05:00,emailnotfound
need a ride east? ,stcloud,http://stcloud.craigslist.org/rid/3334318328.html,"i am going east towards milwaukee wisconsin, i have to be close to there by 7:00am monday morning. i will be leaving sunday as such can leave as late as is necessary so long as i can make my timeline! let me know..... attach a picture or two and put  [...]",2012-10-12T13:27:58-05:00,emailnotfound
ride to minneapolis  (st cloud),stcloud,http://stcloud.craigslist.org/rid/3323687331.html,"i am a student at scu and need a ride to minneapolis 10/12 or 10/13 and 
back to st cloud on sunday 10/14 
i pay fro gus pls eamil thanks. pls email me",2012-10-07T21:42:06-05:00,emailnotfound
north carolina-ride and/or haul (round trip fr mpls),stcloud,http://stcloud.craigslist.org/rid/3315418625.html,"driving a truck and trailer to asheville nc area, leaving around oct 31, offering ride either direction; and/or hauling of ??? on return trip in early nov. large enclosed trailer capable of hauling atvs, motorcycles, furniture, what have you. email i [...]",2012-10-04T07:24:29-05:00,emailnotfound
